nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_choose_same1,dummy_choose_same2,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol
-8.76589106885e+18,42124609,0,1,0,0,0,0,0,1,0,0,13220,80,63,1,.14285715,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,.068176366,0,
-8.72718870260e+18,3595417,0,0,1,0,0,1,0,0,0,0,3290,100,37,1,.2857143,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,.10637749,0,
-8.72718870260e+18,3595416,0,0,1,0,0,1,0,0,0,0,4430,100,37,1,.2857143,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,.10951598,0,
-8.65980505593e+18,42124598,0,1,0,0,0,0,0,1,0,0,8510,100,30,1,.42857143,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,.060559522,0,
-8.62202788211e+18,42125178,0,0,0,0,0,0,0,1,0,0,2750,95,62,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,.065044731,0,
-8.62202788211e+18,42125177,0,0,0,0,0,0,0,1,0,0,4950,95,62,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,.064176872,0,
-8.56676139076e+18,80116972,1,0,0,0,0,0,0,0,0,1,1060,100,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,-.0073775062,0,
-8.54678362188e+18,42123805,0,0,1,0,0,0,0,1,0,0,1490,100,53,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,.13169621,0,
-8.54678362188e+18,42123807,0,0,1,0,0,0,0,1,0,0,910,100,53,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,.13225371,0,
-8.54678362188e+18,42123803,0,0,1,0,0,0,0,1,0,0,450,100,53,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,.11371198,0,
-8.54678362188e+18,42123806,0,0,1,0,0,0,0,1,0,0,690,100,53,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,.12362083,0,
-8.54678362188e+18,42123804,0,0,1,0,0,0,0,1,0,0,5040,100,53,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,.11341452,0,
-8.54678362188e+18,42123801,0,0,1,0,0,0,0,1,0,0,1920,100,53,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,.12562181,0,
-8.45201452786e+18,42124102,1,0,0,0,0,0,0,1,0,0,1000,100,25,1,.14285715,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,.0065375096,0,
-8.44605529017e+18,80117604,0,0,1,0,0,0,0,0,0,1,430,100,24,1,.2857143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,.017303698,0,
-8.44162038923e+18,10462608,0,0,0,1,0,0,0,0,0,0,880,100,55,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,.064904645,0,
