NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-914972513898e7,10463033,497,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5.7037826,100,43,0,-0.26883677,1,1,1,1,0,1,-1.1883998,0.0012477938606394218,1.1786773172033752e-4,0.33262936242014146
-914729183109e7,42124415,228,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.26883677,1,1,1,1,0,0,-1.1287999,0.0012477938606394218,1.1786773172033752e-4,0.2895364196262346
-910705168816e7,5522747,101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9401712,100,40,0.14285715,-0.6986354,1,1,0,1,0,0,-1.2936053,0.0012477938606394218,1.1786773172033752e-4,0.26066444823620827
-910323975224e7,10463800,530,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.9963174,100,39,0,0.35536999,0,1,1,0,0,1,-1.2420943,0.0012477938606394218,1.1786773172033752e-4,0.3998902903384058
-9.0883933711600005e+018,42124511,199,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.635304,100,43,0,-0.26883677,1,1,1,1,0,0,-1.6655134,0.0012477938606394218,1.1786773172033752e-4,0.35798859204826666
-9.0883933711600005e+018,42124847,228,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6.1737862,90,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.2927905849120957
-9.0883933711600005e+018,42124914,234,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.7334018,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.29357083796233957
-9.0883933711600005e+018,42125580,256,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6.4297194,90,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.2574425721565614
-908821747816e7,80117247,389,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5496092,100,72,0.14285715,-0.014401549,1,1,0,0,1,0,-2.2142136,0.0012477938606394218,1.1786773172033752e-4,0.2003962525844247
-908383493402e7,42124335,220,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.6962128,100,43,0,-0.26883677,1,1,1,1,0,1,-1.2544727,0.0012477938606394218,1.1786773172033752e-4,0.4401038152587476
-908383493402e7,42126016,252,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.2370591,100,43,0,-0.26883677,1,1,1,1,0,0,-1.350554,0.0012477938606394218,1.1786773172033752e-4,0.3409491547733281
-908131838248e7,80118911,434,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0900769,50,60,0.2857143,-0.36501375,1,1,1,0,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.27047770466214255
-907261225358e7,3595411,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5366917,100,33,0,-0.50223994,1,1,0,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.32409633615610034
-9.0665660440399995e+018,5514273,101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9120231,100,47,0,-0.72341174,1,1,1,0,1,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.265145637096562
-9.0663882190799995e+018,78133920,314,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5390272,100,43,0,-0.26883677,1,1,1,1,0,1,-1.2369413,0.0012477938606394218,1.1786773172033752e-4,0.30822287941073373
-904801744929e7,42123488,187,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9177055,100,43,0,-0.26883677,1,1,1,1,0,1,-1.2406731,0.0012477938606394218,1.1786773172033752e-4,0.26189409377829753
-904801744929e7,42123489,187,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2160883,100,43,0,-0.26883677,1,1,1,1,0,1,-1.2406731,0.0012477938606394218,1.1786773172033752e-4,0.26043963824931055
-904042802465e7,78133911,314,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3395376,100,56,0,-0.20849626,1,1,1,1,0,1,-1.2369416,0.0012477938606394218,1.1786773172033752e-4,0.33903891905100564
-902162038152e7,80117244,389,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7319307,80,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.19107258128743038
-902056606811e7,42125102,234,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2298388,100,39,0.5714286,-0.26883677,1,1,1,1,0,0,-1.2008913,0.0012477938606394218,1.1786773172033752e-4,0.27739819315753095
-900651609038e7,10462052,465,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.6916566,100,43,0,-0.26883677,1,1,1,1,0,0,-1.0334795,0.0012477938606394218,1.1786773172033752e-4,0.3621066474164201
-899104389128e7,80118770,429,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8119736,80,45,0,0.023628585,1,1,0,0,0,1,-1.2395182,0.0012477938606394218,1.1786773172033752e-4,0.164527005558108
-898926676097e7,3595974,21,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.4250774,100,23,0,-0.26883677,1,1,1,1,0,0,-1.6655143,0.0012477938606394218,1.1786773172033752e-4,0.3347475103692528
-897484405105e7,78134670,336,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5.857933,100,43,0,-0.26883677,1,1,1,1,0,1,-1.3945999,0.0012477938606394218,1.1786773172033752e-4,0.36643061338710564
-897484405105e7,78134672,336,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7.6591716,100,43,0,-0.26883677,1,1,1,1,0,1,-1.8998828,0.0012477938606394218,1.1786773172033752e-4,0.37664119850167804
-897336807299e7,42125660,260,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.877296,80,37,0.33333334,-0.60011268,1,0,0,1,0,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.3959712697393696
-89545334567e8,78134682,336,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8134446,90,38,0,-0.26883677,1,1,1,0,0,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.3779149990464815
-894540556633e7,3594094,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9373746,90,35,0.2857143,0.2269356,1,1,1,1,0,0,-2.6655142,0.0012477938606394218,1.1786773172033752e-4,0.31095969930483897
-894540556633e7,3594093,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0955992,90,35,0.2857143,0.39281446,1,1,1,1,0,0,-2.6655135,0.0012477938606394218,1.1786773172033752e-4,0.31478527683851376
-894223235242e7,42126012,252,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.426549,100,43,0,-0.26883677,1,1,1,1,0,0,-1.2240653,0.0012477938606394218,1.1786773172033752e-4,0.35594474764534756
-893330962448e7,3592047,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.4134588,100,43,0,-0.26883677,1,1,1,1,0,1,-1.4455409,0.0012477938606394218,1.1786773172033752e-4,0.2549647328257194
-893330962448e7,3592046,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.9660244,100,43,0,-0.26883677,1,1,1,1,0,1,-1.4455566,0.0012477938606394218,1.1786773172033752e-4,0.25084767066320773
-893172895562e7,78134579,334,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.2344108,100,45,0,-0.56444448,1,0,1,1,1,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.3060363070159968
-8.9197058346800005e+018,42124846,228,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6846118,100,43,0,-0.26883677,1,1,1,1,0,0,-1.2395248,0.0012477938606394218,1.1786773172033752e-4,0.27427377780260764
-888315713377e7,78133246,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1092477,100,60,0,-0.58517939,0,0,1,0,0,0,-1.473911,0.0012477938606394218,1.1786773172033752e-4,0.39001928975640626
-885398201991e7,10463421,515,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.6463904,100,43,0,-0.47459349,0,0,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.39010457326296255
-885155055418e7,42123492,187,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0867748,100,43,0,-0.26883677,1,1,1,1,0,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.2892051831029929
-885155055418e7,42123493,187,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0402546,100,43,0,-0.26883677,1,1,1,1,0,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.28882052859268037
-883156548718e7,42124332,220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8023949,100,43,0.14285715,-0.44223574,1,1,1,0,0,1,-1.9285047,0.0012477938606394218,1.1786773172033752e-4,0.4379390415886871
-883156548718e7,42124331,220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2930179,100,43,0.14285715,-0.24525468,1,1,1,0,0,1,-1.928517,0.0012477938606394218,1.1786773172033752e-4,0.44632290339747743
