NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_5,def_c,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20786,100,57,0,-0.36342201,1,1,1,1,0,0,0,0.07680431386092457,0.005798389339686577,NA
-921795913329e7,42125560,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.029973,100,43,0,-0.27357095,1,1,1,1,0,0,1,0.043298195308854086,0.013729137060524792,0.35013378077826285
-920924936431e7,42124669,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1388669,100,50,0.2857143,-0.27237317,1,1,0,1,1,1,1,0.020373202777617595,0.008384759920708166,0.5246971076937489
-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0391569,100,74,0,0.38085529,1,1,1,1,1,0,0,0.04839318998494313,0.01675778766953256,0.26107682067038224
-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8240461,100,74,0,0.17350678,1,1,1,1,1,0,0,0.05713077614082835,0.01411456299456888,0.2494578606776817
-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0614872,100,74,0,0.40504596,1,1,1,1,1,0,0,0.048315656094480956,0.018848013765199373,0.26553357537915206
-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4846697,100,74,0,0.98216599,1,1,1,1,1,0,0,0.01623165589810747,0.01832525792873879,0.2828265304862744
-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7706451,100,74,0,0.1285812,1,1,1,1,1,0,0,0.05228191221635561,0.014010041930597671,0.2615794693849839
-919254357393e7,10463882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.27357095,1,1,1,1,0,0,0,0.0606860204519081,0.0055558414223800595,0.627331274231326
-919139368339e7,80117650,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.0900769,70,37,0.42857143,-0.41525912,1,1,1,0,0,1,1,-0.0015307610017749895,0.006081155602285729,0.4740283699458252
-919139368339e7,80118883,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.6962128,70,37,0,-0.17504825,1,1,1,0,0,0,1,-0.015608098646771354,0.00738461116458716,0.5926191114241058
-918983174523e7,10463572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8669333,90,43,0,-0.27357095,1,1,1,1,0,0,1,0.00793483629200474,0.004097510279625345,0.6755789102081338
-918733416171e7,78133242,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8.5310965,100,43,0,-0.27357095,1,1,1,1,0,0,0,0.04050019951714652,0.008759047901649365,0.622585927244471
-917719051673e7,78133232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5231752,80,43,0,-0.27357095,1,1,1,1,0,0,1,0.03765871664406267,0.008309027105965509,0.596022899045451
-917467215167e7,10462066,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.4134588,100,52,0,-0.61915183,0,1,0,1,0,1,1,-0.051694656771064745,0.006986227017914185,0.5518834037003285
-917467215167e7,10462721,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6.9177055,100,52,0,-0.27357095,0,1,0,1,0,1,0,-0.011061174563553166,0.006287562176726962,0.7289624697658702
-917467215167e7,10463546,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5.9914646,100,52,0,-0.27357095,0,1,0,1,0,1,1,-0.030323936815725764,0.015202914657570128,0.5653065128303572
