NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_8,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20786,100,57,0,-0.36342201,1,1,1,1,0,0,-1.1983111,0.010406956749139253,1.743042025067387e-4,0.3667509641077266
-921795913329e7,42125560,254,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.029973,100,42,0,-0.27415663,1,1,1,1,0,0,-1.9288812,0.0111814086375527,1.6990135341341355e-4,0.4141117570130537
-920046646976e7,42123980,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8240461,100,74,0,0.17350678,1,1,1,1,1,0,-1.1648319,0.011173129784721021,1.875207063907973e-4,0.3712487783721137
-920046646976e7,42123978,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0614872,100,74,0,0.40504596,1,1,1,1,1,0,-1.090142,0.011096443030579559,1.842627475840263e-4,0.37368227223753425
-920046646976e7,42123981,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7706451,100,74,0,0.1285812,1,1,1,1,1,0,-1.0901434,0.011149921406803745,1.9772938670814473e-4,0.37152530464527356
-920046646976e7,42123979,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4846697,100,74,0,0.98216599,1,1,1,1,1,0,-1.0901425,0.011096443030579559,1.842627475840263e-4,0.3704043470980261
-920046646976e7,42123982,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0391569,100,74,0,0.38085529,1,1,1,1,1,0,-1.0901418,0.011096443030579559,1.842627475840263e-4,0.37349972386221475
-919254357393e7,10463882,536,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.521461,100,42,0,-0.27415663,1,1,1,1,0,0,-1.2369599,0.010542796664366508,1.694781900036939e-4,0.5026908511033817
-919139368339e7,80118883,434,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.6962128,70,37,0,-0.17504825,1,1,1,0,0,0,-1.4285715,0.012106455717216864,1.4815564029073083e-4,0.6341039638472903
-918983174523e7,10463572,525,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8669333,90,42,0,-0.27415663,1,1,1,1,0,0,-1.4285715,0.01075046366155979,1.6489377649454607e-4,0.4348804102894407
