NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,OC,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,fee,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-919802276126e7,5514252,0,0,0,1,0,0,0,1,0,0,0,0,990,80,47,1,1,0.42857143,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1767.1349,470.0762271002013,5607.822543824768,0.9414299745254244
-919802276126e7,5514253,0,0,0,1,0,0,0,1,0,0,0,0,840,80,47,1,1,0.42857143,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1095.2252,436.3553311192244,7039.665760026813,0.9416334776334773
-919802276126e7,5514251,0,0,0,1,0,0,0,1,0,0,0,0,4120,80,47,1,1,0.42857143,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,6713.8809,1425.193639106558,50922.82705150891,0.9346847805270548
-917722071823e7,5524248,0,1,0,0,0,0,0,1,0,0,0,0,1040,100,43,1,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1372.4332,510.2184721010362,2281.722270734341,0.9020359076864182
-917645643954e7,5514144,0,0,0,1,0,0,0,1,0,0,0,0,1970,100,49,1,1,0.14285715,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,2029.9399,644.509981682007,2795.417381141743,0.9178356064984491
-91606667828e8,78132464,0,0,0,0,1,0,0,0,0,1,0,0,2080,0,54,1,1,0.71428573,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,2971.4285,720.8469287297672,9287.837874125731,0.9081179840690711
-905397584862e7,78132482,0,0,0,0,1,0,0,0,0,1,0,0,3720,100,39,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,5314.2856,1371.1329861748977,79792.73907039053,0.8624521714785899
-902248674659e7,3591867,0,0,1,0,0,0,1,0,0,0,0,0,1530,100,45,1,1,0.14285715,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,3719.2622,533.0257469868442,8696.3371020988,0.9275953826000818
-902248674659e7,3591866,0,0,1,0,0,0,1,0,0,0,0,0,990,100,45,1,1,0.14285715,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,2406.5779000000002,482.75761440444927,7992.018897889422,0.9217756554889748
-902248674659e7,3591868,0,0,1,0,0,0,1,0,0,0,0,0,710,100,45,1,1,0.14285715,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1725.9358,440.9194959807967,7146.764362978588,0.9201094678236195
-90181022276e8,80117884,0,0,0,0,0,1,0,0,0,0,1,0,610,100,42,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,774.72284,425.7713707474035,3611.1340551898597,0.9264351017242397
-896701191091e7,80118618,0,0,1,0,0,0,0,0,0,0,1,0,800,100,46,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1142.8572,448.3577884887941,3487.69276749218,0.9257559403697677
-889904417702e7,3595237,0,1,0,0,0,0,1,0,0,0,0,0,550,100,37,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,698.52197,424.12358038194367,4034.9865554872863,0.9048036781632405
-8.8915331086000005e+018,42125786,0,0,0,0,1,0,0,0,1,0,0,0,1530,100,30,1,1,0.14285715,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1996.1899,539.5748006474024,3162.2096839120304,0.8926448524567668
-887874720489e7,42124998,1,0,0,0,0,0,0,0,1,0,0,0,1830,90,39,2,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,3302.8682,582.8314219452407,1366.733293901243,0.8861304867303309
-887105422019e7,3594345,0,0,1,0,0,0,1,0,0,0,0,0,910,90,29,1,1,0.14285715,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1300,470.56347245399473,5188.086445091943,0.8695627597089282
-880112004998e7,78134335,0,0,0,1,0,0,0,0,0,1,0,0,1280,90,37,1,1,0.2857143,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1828.5714,492.4817950901213,1927.9995392448545,0.9047797569052622
-871963952293e7,5522692,0,0,1,0,0,0,0,1,0,0,0,0,780,30,56,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1114.2858,442.46106691731717,5720.228455733759,0.8988036254819096
-871304440962e7,3586635,0,0,1,0,0,0,1,0,0,0,0,0,770,100,56,1,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,977.93073,462.88854221540015,9263.79428624862,0.9185036465332735
-871304440962e7,3586634,0,0,1,0,0,0,1,0,0,0,0,0,500,100,56,1,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,635.01855,401.777529552995,4767.851700873495,0.9274967842133849
-871304440962e7,10462663,0,0,0,0,0,1,0,0,0,0,0,1,730,100,56,2,2,0.14285715,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,929.948,418.6323897678412,3805.9057167491374,0.9090921042603199
-868683694237e7,5514231,0,0,1,0,0,0,0,1,0,0,0,0,6280,90,48,1,1,0.2857143,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,7991.2935,1552.328840132555,101454.88202965423,0.9287465335542251
