NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_4,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-922258806166e7,78133041,294,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.884438,-6.017993011293663e-4,2.845251292711248e-4,0.6192784129090759
-921820905645e7,5521308,107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1983111,-6.017993011293663e-4,2.845251292711248e-4,0.6428230382599219
-921795913329e7,42125560,254,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.9288812,-6.017993011293663e-4,2.845251292711248e-4,0.6730273364472296
-920046646976e7,42123978,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.090142,-6.017993011293663e-4,2.845251292711248e-4,0.6589255246834925
-920046646976e7,42123981,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901434,-6.017993011293663e-4,2.845251292711248e-4,0.6589255246834925
-920046646976e7,42123982,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901418,-6.017993011293663e-4,2.845251292711248e-4,0.6589255246834925
-920046646976e7,42123980,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.1648319,-6.017993011293663e-4,2.845251292711248e-4,0.6589255246834925
-920046646976e7,42123979,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901425,-6.017993011293663e-4,2.845251292711248e-4,0.6589255246834925
-920046646976e7,42125569,255,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.8715554,-6.017993011293663e-4,2.845251292711248e-4,0.49080412261215595
-919254357393e7,10463882,536,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2369599,-6.017993011293663e-4,2.845251292711248e-4,0.534352214600362
