NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-408216996236e7,80117233,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3742.8572,-249.16138225631678,165553.218221372,0.5055712821039371
-407683868296e7,5521302,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182.2266,35.771381978941335,60473.16936077721,6.022968783906948e-4
-407683868296e7,5521303,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6477.7832,53.2441206386426,109509.9602760692,6.572605051839585e-4
-406338271304e7,3591003,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1172.1371,239.0643944281802,852294.8855998054,0.5329276886723918
-406015328424e7,42124518,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,515.61731,45.0618780722954,136219.77252374354,0.6387287262022611
-406015328424e7,42124338,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,870.39917,-279.6553234181885,326390.87383762124,0.7740475809400597
-406015328424e7,42124420,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,424.58957,-24.30260532885648,19998.177304450874,0.1707253279203866
-406015328424e7,42125561,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,153.29228,591.09207707889,190207.36876228414,0.5242830521877299
-406015328424e7,42125957,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,414.28571,-487.6676220076314,429086.0419188569,0.8441721475692545
-405691837996e7,80119082,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5227.2593,599.46437673096,141228.43646830958,0.7757548783489521
-40419238528e8,80117425,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21671.428,498.24469963630014,116374.69266737183,0.7753571433613257
-4.0385417838599997e+018,80119320,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2236.5483,-592.9453534276792,75965.19055657595,0.3030944376545969
