def_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,60,0,-0.063352287,1,0,42124383,0,-0.19418035977287054,0.004595401425386459
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0.22404926,1,1,80117915,0,-0.1893558624825383,0.00428985523333117
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2857143,0.39281446,1,1,3594093,1,-0.2198716937593747,0.0018037976409721577
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2857143,0.2269356,1,1,3594094,1,-0.21428746085012407,0.006182721046993819
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.66666669,-0.68135637,1,1,42124022,0,-0.14861482863997422,0.003107554353629956
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,-0.56444448,1,1,78134579,0,-0.12031822917009678,0.005305924421892907
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.5954359,0,0,3595323,0,-0.2678693307145637,0.004229301823557279
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.14285715,-0.50223994,1,1,42124589,0,-0.04818727258587681,0.007483347529011522
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.14285715,-0.43657961,1,0,5514473,0,-0.05846750888434627,0.004454520006053735
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.14285715,0.23039143,1,0,5514472,0,-0.18385467626297933,0.003970681476060293
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,-0.63988668,1,1,3595237,1,-0.1779639993465724,0.009292574379933343
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.14285715,-0.30121744,0,1,42125786,1,-0.0960338707697723,0.0059074607582630285
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,-0.58517939,0,0,78133246,1,-0.08798855048045062,0.005032925632359453
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.30987504,1,1,78133302,0,-0.09922946064558398,0.008280333239428356
1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,39,0,-0.10827782,1,1,42124998,1,-0.09558437958129942,0.006661064963836591
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.14285715,-0.43877992,1,0,3594345,1,-0.05282740209667101,0.005227880758671838
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-0.64047229,0,0,3586696,0,-0.11213266570258179,0.007475554646865053
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.57826775,1,1,42124869,0,-0.123814599614113,0.00302457510968447
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,-0.65886146,1,0,42123588,0,-0.13500603624423418,0.008851615063811519
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0.14285715,0.2610026,1,0,3594348,1,-0.25554827633493693,0.006278900903079247
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,-0.18531172,1,0,78134958,0,-0.15656425037730617,0.009192923038487186
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,0,-0.54312402,1,0,78134815,0,-0.06617846574469725,0.00337709782565888
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0.14285715,0.37040713,0,0,10462099,0,-0.1858954654501407,0.0015656202137628963
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,51,0,2.4893293,1,0,78134951,0,-0.21680887301772014,0.01402358712520034
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,0.14285715,-0.29834726,1,1,80117111,0,-0.11200231595954767,0.0067394661727801794
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,-0.22164965,0,1,78134335,1,-0.15208941696638908,0.0063020990562974825
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0.14285715,-0.13879445,1,0,10462438,0,-0.1626654601414716,0.0023473287651891894
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,-0.36501375,0,1,80117948,0,-0.06912463458775198,0.0043258888126881815
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,-0.52584499,0,0,42123800,1,-0.12531754116910263,0.007210853884521428
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,-0.21827805,0,0,42123799,1,-0.11762678325719578,0.005999814611507399
0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0.14285715,3.9110193,1,1,42124609,0,-0.31426983726949864,0.007188903977983828
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,-0.66753316,0,0,80118817,0,-0.08652708205017247,0.0066061024323550415
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0.14285715,0.25862351,1,1,78134238,0,-0.12321383065919105,0.008762354536927898
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,2.7813478,0,1,10463611,0,-0.18621685834399682,0.003398481189841277
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,1.8379117,0,1,10463612,0,-0.18639060975892824,0.004274767552192979
1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,60,0,-0.58863521,1,0,80117050,0,-0.13650813850473795,0.0027845926476503967
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,0.00230808,1,1,5524168,0,-0.2482575639466448,0.002738076443955894
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,0.57597232,1,1,5524167,0,-0.3002751585504883,0.004045557893907822
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,-0.10827782,1,1,5524169,0,-0.26629076959039183,0.0019161265084524947
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-0.31158489,1,0,78133298,0,-0.07648355604072739,0.003599479426210797
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,0.32599312,1,1,3595417,1,-0.23966444016036537,0.0020395808704273787
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,0.71995533,1,1,3595416,1,-0.28358101681571013,0.004254543751751027
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-0.438252,1,1,5522692,1,-0.05727563253452305,0.008714918443520993
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.38819829,0,1,3592119,1,-0.07098568060939413,0.004828146416738246
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.45040283,0,1,3592117,1,-0.07359652608606064,0.0034909974468691177
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.48841673,0,1,3592118,1,-0.07975625694885947,0.0028212922182259425
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,1,-0.56790036,1,1,3586634,1,-0.20483767074334563,0.006655697329723401
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,1,-0.47459349,1,1,3586635,1,-0.17438745634932915,0.0080052026693227165
0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,56,0.14285715,-0.43817136,1,1,10462663,0,0.005209053882047989,0.006305543899010261
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,-0.74356091,1,0,3594124,1,-0.07522099629777078,0.005887981731091983
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0.14285715,-0.37724522,0,1,78136307,0,-0.05458996694228966,0.004115919404972953
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.2857143,-0.58863521,1,0,42124966,0,-0.25365447981072126,0.002478433791493243
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,0.65200007,1,1,5514230,1,-0.32172443094760184,0.005117959157138299
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,1.429557,1,1,5514231,1,-0.35183908169907646,0.005370881284174315
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.23614272,0,1,3595825,0,-0.09750116331274986,0.0010753653176456854
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.60880059,0,1,42124334,0,-0.10820677903100404,0.0030825212632501105
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.42857143,2.233088,1,1,42124598,0,-0.23564516161724877,0.004815454080682735
1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-0.49474272,0,0,42126610,0,-0.09937115004043845,0.001123681958926285
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,1.0010368,0,1,10462467,0,-0.15806232646148985,0.0025662987216488876
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-0.3801316,1,0,3591780,1,-0.03806041835223087,0.003315994953828421
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,-0.43817136,1,1,80118831,0,-0.04613316899472593,0.0021864348033812987
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0.41411877,0,1,10463191,0,-0.20445198967396983,0.004183263262233694
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0.051258817,0,1,10463192,0,-0.16547317272098963,0.00603358446761093
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.2096566,0,1,42125178,1,-0.2536984296608762,0.004399195415708209
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.9699344,0,1,42125177,1,-0.29818002648697417,0.005123437321229267
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,-0.23614272,1,1,5514262,1,-0.1002113495041003,0.005873909705428598
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.5714286,-0.77811903,1,1,3594510,1,-0.1510341679711553,0.003322617504093635
0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0.15436365,1,1,42124516,0,-0.15799547394697663,0.005979817916039442
1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,-0.56040311,0,1,5521228,0,-0.06746967809520416,0.0025865493559402448
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,60,0.2857143,-0.60245842,0,0,80118678,0,-0.2163620149824272,0.0012828065417727734
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,60,0,-0.55221301,0,0,80116702,0,-0.072165342605055,0.0015015229755701875
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,-0.3944068,0,1,80116972,1,-0.07081482955902905,0.005775265050539075
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0.45156324,1,0,80118823,0,-0.18900900264756962,0.0031007067897956967
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.2857143,-0.12210101,1,1,5522908,1,-0.24141243967912568,0.0015181486877401235
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.2857143,-0.17393814,1,1,5522909,1,-0.22610843567798083,0.0017374149347430146
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-0.04952905,1,1,78132468,1,-0.1849316067575434,0.005410209459898498
0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,27,0,-0.23614272,1,1,78132716,0,-0.05954007048318712,0.001888265013120062
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.14285715,-0.67444474,1,1,42123803,1,-0.1412588777566234,0.005941557674098129
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.14285715,0.91177136,1,1,42123804,1,-0.33536167862212746,0.0038794985309604886
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.14285715,-0.31504065,1,1,42123805,1,-0.16097659862697414,0.00344887075699434
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.14285715,-0.16644092,1,1,42123801,1,-0.26294415674615973,0.0056490120855401445
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.14285715,-0.59150535,1,1,42123806,1,-0.18878515853759598,0.01014137987073745
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.14285715,-0.5154776,1,1,42123807,1,-0.11666059487299354,0.008782689535577742
