NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_2,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1983111,0.13768678939032214,0.0013584908933917178,0.3220946194835374
-921795913329e7,42125560,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.9288812,0.07450083588453552,8.617331001898798e-4,0.12469697574144865
-9.2161115336399995e+018,5522598,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2369466,0.13768678939032214,0.0013584908933917178,0.31869371616480413
-9.2161115336399995e+018,5522597,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2369428,0.13768678939032214,0.0013584908933917178,0.31490040767068905
-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.1648319,0.11879493677890546,0.0010181967377376523,0.19857477013856342
-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.090142,0.11879493677890546,0.0010181967377376523,0.19625724340415263
-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901418,0.11879493677890546,0.0010181967377376523,0.19551649245191394
-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901434,0.11879493677890546,0.0010181967377376523,0.1920786189950486
-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901425,0.11879493677890546,0.0010181967377376523,0.19663178634624212
-919802276126e7,5514253,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2705119,0.13863971101837647,0.0012017278575991636,NA
-919802276126e7,5514252,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.9179957,0.13863971101837647,0.0012017278575991636,NA
-919802276126e7,5514251,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.6804355,0.13863971101837647,0.0012017278575991636,NA
-919509556883e7,78133856,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.2395222,0.25958650899425295,0.0037778824027881078,0.5919790958907288
-919509556883e7,78133857,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.2395294,0.25958650899425295,0.0037778824027881078,0.5967424098566926
-919254357393e7,10463882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2369599,0.009463850655515816,0.0026951006195831424,0.48310702486530577
-919139368339e7,80118883,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.4285715,0.15181585429561884,0.0029578752946997043,0.26457494477256654
-918983174523e7,10463572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.06996938628171516,0.001430642089699908,0.502643246228571
-918733416171e7,78133242,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-1.1390748,0.059884210921757025,0.0030199570304898457,0.5685680535668117
-917719051673e7,78133232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.14732561110686276,0.0016258993800445265,0.45916844641295557
-917645643954e7,5514144,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0231776,0.13863971101837647,0.0012017278575991636,NA
-917467215167e7,10463059,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,-1.4285715,0.19316091344908884,0.002770865441441856,0.8055553189649729
-917467215167e7,10463060,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,-1.2395177,0.19316091344908884,0.002770865441441856,0.8198210240620014
-916988485595e7,80117265,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.9110745,0.04373958421348602,9.669469822326319e-4,0.18482316257412137
-916546731528e7,3591934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8870052,0.15369536935549294,8.712348673197795e-4,NA
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8921523,0.16709720759320562,0.002506177055196304,0.2709994813632233
-916243522626e7,5514239,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.21449996652166844,0.0022012023928130323,0.4935212730757889
-91606667828e8,78132464,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.12039250056346998,0.0024286536432998936,0.642022674216871
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.2630417,0.052857007651659293,0.003173093120260123,0.7039275548746724
-914729183109e7,42124415,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1287999,0.18555213920586117,0.0012800680390967333,0.3135248422803026
-914589712554e7,42124272,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.1206387235800623,8.078129912720347e-4,0.8240498957450278
-913800883817e7,42125494,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2395148,0.15557701121111903,4.327000386939572e-4,0.23844964992418524
-913496022584e7,3594276,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2369387,0.09357253534023849,0.0017880487077943804,NA
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2936053,0.13768678939032214,0.0013584908933917178,0.3232665794746682
-9.0883933711600005e+018,42124511,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.6655134,0.09404423124736572,0.0016686620278880241,0.3072696980755087
-9.0883933711600005e+018,42124847,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.4285715,0.14399947588480735,0.0013282521324746496,0.20120116283943099
-9.0883933711600005e+018,42124914,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.4285715,0.1390589817017796,0.0018506905985037929,0.38580269318406113
-9.0883933711600005e+018,42125580,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.4285715,0.08815933826105095,0.0017765354204525448,0.3063492882892649
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.2142136,0.05883729093832909,0.0016025463468773973,0.362799565822446
