NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_6,def_c,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-922258806166e7,78133041,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0900769,100,47,0,-0.41525912,1,1,0,0,0,1,1,-0.0017026168692834724,0.015858823437195683,0.6369949586169313
-921820905645e7,5521308,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20786,100,57,0,-0.36342201,1,1,1,1,0,0,0,0.02126601553084283,0.010524516650244278,0.1319688963208906
-921795913329e7,42125560,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.029973,100,43,0,-0.253137035,1,1,1,1,0,0,1,0.03520688543694177,0.009057837612689364,0.5374191690703469
-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0391569,100,74,0,0.38085529,1,1,1,1,1,0,0,0.014638393219914015,0.007383199627754404,0.45616570382830957
-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8240461,100,74,0,0.17350678,1,1,1,1,1,0,0,0.02937266700266864,0.00600305693206518,0.4506587990121448
-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0614872,100,74,0,0.40504596,1,1,1,1,1,0,0,0.022750455246007946,0.010956156734730898,0.4368374912084108
-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4846697,100,74,0,0.98216599,1,1,1,1,1,0,0,3.6960101474877295e-4,0.01295496844521558,0.479435289493712
-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7706451,100,74,0,0.1285812,1,1,1,1,1,0,0,0.012871710299352128,0.007577907522234695,0.47263565159415966
-920046646976e7,42125569,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.8240461,90,74,0.14285715,0.12326135,1,1,1,1,0,1,1,0.047464318842332674,0.007899241484558062,0.6441685344134536
-919254357393e7,10463882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.253137035,1,1,1,1,0,0,0,0.10316177784437662,0.008792940928119336,0.43534655810908346
