sum_porcp_c,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
0,1,40,1,2185.3254,0,0.5714286,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514239,1,0.6092633400745793,0.5097051411775311,0.09554597251537074,0.01165935041841614,0.07189529627248875,0.0017671736969080021
1.1118377,1,35,1,7859.9443,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117937,0,0.713822552630976,0.541153138257659,0.16468583938373146,0.006319431134256192,0.1011456479911029,0.0015935666054623446
0,1,54,1,3720.8042,0,0.71428573,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78132464,1,0.7179671271082474,0.565199504714744,0.11541158709620296,0.0051143696015627646,0.12341467993065217,0.01687311145647654
0,1,49,1,921.75452,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133284,0,0.6696371484469481,0.5784772761397726,0.11270170943286864,0.009166348324331216,0.06889612015763139,0.003947997975160661
1.2630417,0,45,1,742.36084,1,0.2857143,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78133121,1,0.6974512362532288,0.6865051774714916,0.07298281555763658,0.010294127363065632,0.053556409062264235,0.00331620547841977
1.1828593,1,22,1,7076.2041,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42125021,0,0.5424889740635522,0.6728555873629201,-0.13133353969611578,0.023166292399159173,-0.06861281878286966,0.01731524386880216
1.1957333,1,21,0,1030.5311,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591005,0,0.5331597876439377,0.6447598802383762,0.038118840579612824,0.012250001561976927,-0.07957582525784104,0.0016389618086851505
0,1,35,1,1113.6893,1,0.2857143,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,78134822,0,0.5513721349191046,0.792389711654388,0.02628309627967555,0.013899083410021345,-0.1626348942958689,0.013236811661603207
1.1519333,1,35,1,873.77081,1,0.42857143,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78134259,0,0.5590772253154168,0.6274760953842194,0.08832074581137889,0.005915917465269365,0.019669416297683512,0.006046760658914103
1.2369388,1,33,0,1841.1552,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594276,1,0.6638950485164716,0.6673364380313981,0.03941754718630234,0.004245665479890538,-0.05152409463639347,0.0013736465566510127
0.2421111,1,49,1,1010.8088,1,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522964,0,0.7083952302481342,0.6153484544039127,0.11245011735946508,0.0059817149553162636,0.08302444166145909,0.006187728982410055
0.24209678,1,49,1,1282.7164,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522963,0,0.7505824151940987,0.6046942338,0.08077814553702134,0.005514452102635617,0.06585460299323546,0.002971857178970647
0,1,32,1,2886.7378,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522811,0,0.6253458399644936,0.576168824466976,0.07574169934078177,0.007734575077181786,-0.018766376351316134,0.017600870982387988
