NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_3,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1983111,0.0032280486905432873,2.0052489874575077e-4,0.522499893957957
-921795913329e7,42125004,201,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.944618,0.0032280486905432873,2.0052489874575077e-4,0.5122025891061512
-921795913329e7,42125560,254,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.9288812,0.0032280486905432873,2.0052489874575077e-4,0.6872843534329803
-921470677922e7,5521269,105,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2481337,0.0032280486905432873,2.0052489874575077e-4,0.4572102269386889
-921470677922e7,5521267,105,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2481327,0.0032280486905432873,2.0052489874575077e-4,0.4572102269386889
-921470677922e7,5521268,105,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2481358,0.0032280486905432873,2.0052489874575077e-4,0.4572102269386889
-920046646976e7,42123978,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.090142,0.0032280486905432873,2.0052489874575077e-4,0.7143626471569231
-920046646976e7,42123981,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901434,0.0032280486905432873,2.0052489874575077e-4,0.7143626471569231
-920046646976e7,42123982,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901418,0.0032280486905432873,2.0052489874575077e-4,0.7143626471569231
-920046646976e7,42123980,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.1648319,0.0032280486905432873,2.0052489874575077e-4,0.7143626471569231
-920046646976e7,42123979,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901425,0.0032280486905432873,2.0052489874575077e-4,0.7143626471569231
-919509556883e7,78134087,319,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.2507305,0.0032280486905432873,2.0052489874575077e-4,0.6592281017234043
-919254357393e7,10463882,536,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2369599,0.0032280486905432873,2.0052489874575077e-4,0.4249417750097029
-919139368339e7,80118883,434,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.30232803987905654
-918983174523e7,10463572,525,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.6114398029700644
-918733416171e7,78131744,285,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.3064826,0.0032280486905432873,2.0052489874575077e-4,0.37846060683013605
-918733416171e7,78131743,285,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.4750354,0.0032280486905432873,2.0052489874575077e-4,0.37846060683013605
-918733416171e7,78133242,299,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-1.1390748,0.0032280486905432873,2.0052489874575077e-4,0.5019827819928341
-918733416171e7,78135078,350,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,-1.2715981,0.0032280486905432873,2.0052489874575077e-4,0.3589391700390613
-917722071823e7,5524545,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.9706805,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5524544,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.165549,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5514576,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.9706947,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5524548,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.293941,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5524543,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.1655529,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5524549,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.3049045,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5524547,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.2214999,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5524550,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.3880939,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5523042,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.2905674,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917722071823e7,5524542,112,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.1655321,0.0032280486905432873,2.0052489874575077e-4,0.4297456345462848
-917719051673e7,78133232,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.5290651848682895
-917015649395e7,42125031,231,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.5191125865268473
-916988485595e7,80117265,389,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.9110745,0.0032280486905432873,2.0052489874575077e-4,0.44339326349002534
-916546731528e7,3591934,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8870052,0.0032280486905432873,2.0052489874575077e-4,0.4777485290559515
-916516169086e7,3595471,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8921523,0.0032280486905432873,2.0052489874575077e-4,0.4568544701168165
-915634713117e7,78133121,296,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.2630417,0.0032280486905432873,2.0052489874575077e-4,0.4908355250588321
-915384904715e7,42125947,270,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2343242,0.0032280486905432873,2.0052489874575077e-4,0.5269864779499285
-915384904715e7,42125949,270,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2343376,0.0032280486905432873,2.0052489874575077e-4,0.5269864779499285
-914972513898e7,10462855,488,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1650212,0.0032280486905432873,2.0052489874575077e-4,0.42571934153329805
-914972513898e7,10464047,551,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-1.16224,0.0032280486905432873,2.0052489874575077e-4,0.4638019412897179
-914972513898e7,10464049,551,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-1.1622393,0.0032280486905432873,2.0052489874575077e-4,0.4638019412897179
-914972513898e7,10464048,551,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-1.1648111,0.0032280486905432873,2.0052489874575077e-4,0.4638019412897179
-914729183109e7,42124415,228,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1287999,0.0032280486905432873,2.0052489874575077e-4,0.5210669983484361
-9.1369247177200005e+018,78134259,324,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.1519332,0.0032280486905432873,2.0052489874575077e-4,0.38037816711836847
-913235681189e7,5522964,109,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.6706825,0.0032280486905432873,2.0052489874575077e-4,0.40524285612762134
-913235681189e7,5522963,109,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.6706682,0.0032280486905432873,2.0052489874575077e-4,0.40524285612762134
-910705168816e7,5522747,101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2936053,0.0032280486905432873,2.0052489874575077e-4,0.5281503491701459
-9.0883933711600005e+018,42124511,199,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.6655134,0.0032280486905432873,2.0052489874575077e-4,0.5710660088033145
-9.0883933711600005e+018,42124847,228,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.516908566101295
-9.0883933711600005e+018,42124914,234,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.5602885744606595
-9.0883933711600005e+018,42125580,256,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.7195487322500387
-908821747816e7,80117247,389,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.2142136,0.0032280486905432873,2.0052489874575077e-4,0.43634124527983037
-908383493402e7,42126016,252,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.350554,0.0032280486905432873,2.0052489874575077e-4,0.5108760783767983
-908131838248e7,80118911,434,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.0032280486905432873,2.0052489874575077e-4,0.3024026479964658
