NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_2,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20786,100,57,0,-0.36342201,1,1,1,1,0,0,-1.1983111,0.11397811311236584,0.001238987612125993,0.38630748646602575
-921795913329e7,42125560,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.029973,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.9288812,0.07711438111627769,8.163809877917696e-4,0.2016491444997836
-9.2161115336399995e+018,5522597,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.467371,100,61,1,-0.22518964,1,1,1,0,0,1,-1.2369428,0.17194120978806005,0.001151049643318628,0.3318688432016552
-9.2161115336399995e+018,5522598,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6200733,100,61,1,-0.5707705,1,1,1,0,0,1,-1.2369466,0.11920813591881356,0.0011081228189022128,0.33262820388772446
-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7706451,100,74,0,0.1285812,1,1,1,1,1,0,-1.0901434,0.09779586958489866,0.003592153095229342,0.33983744116470094
-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4846697,100,74,0,0.98216599,1,1,1,1,1,0,-1.0901425,0.14973140250799055,0.003848974878818377,0.35059203587628623
-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0614872,100,74,0,0.40504596,1,1,1,1,1,0,-1.090142,0.07304233316906494,0.0038248406181969384,0.325756435894721
-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8240461,100,74,0,0.17350678,1,1,1,1,1,0,-1.1648319,0.09859745269681702,0.002955256842774472,0.3208814664873176
-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0391569,100,74,0,0.38085529,1,1,1,1,1,0,-1.0901418,0.07715296926680648,0.004547360198076619,0.3223972592801787
-919802276126e7,5514252,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8977051,80,47,0.42857143,-0.48783112,1,1,0,1,0,1,-1.9179957,0.13610066108866056,0.001357285287029018,NA
-919802276126e7,5514253,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7334018,80,47,0.42857143,-0.53966826,1,1,0,1,0,1,-1.2705119,0.12157686135811609,6.839132091615096e-4,NA
-919802276126e7,5514251,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3236084,80,47,0.42857143,0.59383696,1,1,0,1,0,1,-1.6804355,0.18297077155844885,0.001453134139583416,NA
-919509556883e7,78133857,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.2344108,90,43,0,-0.26227961499999997,1,1,1,1,0,1,-1.2395294,0.1280243088425721,0.001415736998997146,0.6690596378268424
-919509556883e7,78133856,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.3588309,90,43,0,-0.26227961499999997,1,1,1,1,0,1,-1.2395222,0.15448111183638283,9.871109321979627e-4,0.5763456734291332
-919254357393e7,10463882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.2369599,0.04827780067991224,7.513264230638813e-4,0.6427729421890581
-919139368339e7,80118883,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.6962128,70,37,0,-0.17504825,1,1,1,0,0,0,-1.4285715,0.06581817864478014,0.001014227837720517,0.4060374312869147
-918983174523e7,10463572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8669333,90,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.4285715,0.08729976017462676,7.836439404145236e-4,0.610998924984953
-918733416171e7,78133242,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8.5310965,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.1390748,0.026306615289196155,6.790312810677595e-4,0.6005807013637487
-917719051673e7,78133232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5231752,80,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.4285715,0.02932073646276895,5.479259239164085e-4,0.42552696021266406
-917645643954e7,5514144,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5857887,100,49,0.14285715,-0.0096511254,1,0,1,1,0,1,-1.0231776,0.13671243867773467,0.0012667580198474472,NA
-917467215167e7,10463060,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7.426549,100,52,0,-0.26227961499999997,0,1,0,1,0,1,-1.2395177,0.08561020818157679,0.002163909132695636,0.7126417546860175
-917467215167e7,10463059,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7.7956467,100,52,0,-0.26227961499999997,0,1,0,1,0,1,-1.4285715,0.07854274836352614,0.0015399878925328803,0.7013239593837448
-916988485595e7,80117265,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.0709057,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.9110745,0.0359849684572949,3.2330353123646887e-4,0.2676906926629534
-916546731528e7,3591934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3138523,80,54,0,0.6692791,1,1,1,1,0,0,-1.8870052,0.16878134123168897,0.0032975438758587553,0.2596759613713721
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21524,100,48,0,-0.19400316,1,1,1,1,1,0,-1.8921523,0.13213847212979973,0.0018265060900292099,0.3215235957071756
-916243522626e7,5514239,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0210838,50,40,0.5714286,-0.35364023,1,1,0,0,0,1,-1.4285715,0.16489800418137243,0.0013334303664688345,0.3768352669449642
-91606667828e8,78132464,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.6401234,0,54,0.71428573,-0.021882573,1,0,1,0,1,1,-1.4285715,0.14716482572556605,0.00104908817995835,0.5004009498072803
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.1737862,100,45,0.2857143,-0.66407734,1,1,1,1,0,0,-1.2630417,0.08074085988672616,0.0013092266756830923,0.5682246222057101
-914729183109e7,42124415,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.1287999,0.07134896402562622,2.6437975814976305e-4,0.3820332812894854
-914589712554e7,42124272,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4595642,100,43,0,-0.26227961499999997,1,1,1,1,0,1,-1.4285715,0.09950842946725004,5.563786886791012e-4,0.6678440942899497
-913800883817e7,42125494,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6108527,90,43,0,-0.26227961499999997,1,1,1,1,0,1,-1.2395148,0.12326998237414948,0.0013412922374425565,0.36653656074737373
-913496022584e7,3594276,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2930179,100,33,1,-0.42732227,0,1,0,1,0,1,-1.2369387,0.12625050763854012,0.0025926576440458444,0.7743981693400066
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9401712,100,40,0.14285715,-0.6986354,1,1,0,1,0,0,-1.2936053,0.07188777374044146,0.0011026001051078925,0.294853469600724
-9.0883933711600005e+018,42124511,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.635304,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.6655134,0.09410191940192034,9.267077983756202e-4,0.34879744963031284
-9.0883933711600005e+018,42124847,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6.1737862,90,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.4285715,0.09589566563564517,2.2193321725868945e-4,0.3913477305740396
-9.0883933711600005e+018,42124914,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.7334018,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.4285715,0.0682098210094252,1.9102980206124988e-4,0.3912792314711123
-9.0883933711600005e+018,42125580,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6.4297194,90,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.4285715,0.0923563286464808,5.163619128001912e-4,0.45236651002955924
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5496092,100,72,0.14285715,-0.014401549,1,1,0,0,1,0,-2.2142136,0.1556144520270864,0.004845513375224412,0.4698853017018244
-908383493402e7,42126016,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.2370591,100,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.350554,0.06816030500289147,4.851628320363881e-4,0.2704952071144637
-908131838248e7,80118911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0900769,50,60,0.2857143,-0.36501375,1,1,1,0,0,0,-1.4285715,0.07463227664892497,0.003465517978842623,0.5193906643304844
-907261225358e7,3595411,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5366917,100,33,0,-0.50223994,1,1,0,1,0,0,-1.4285715,0.07249994127340895,3.9908399328617526e-4,0.5445978698814948
-9.0665660440399995e+018,5514273,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9120231,100,47,0,-0.72341174,1,1,1,0,1,0,-1.4285715,0.08126941322476075,2.699565101341128e-4,0.29460187371370616
-906608816771e7,5520097,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7275352,100,43,0,-0.26227961499999997,1,1,1,1,0,1,-1.4713085,0.12026390567862047,9.215388675960474e-4,NA
-906279448722e7,42124954,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5175209,100,36,0.2857143,-0.104822,1,1,1,1,0,1,-1.0847554,0.15151698731652516,0.002646943048340885,0.6065167725918484
-905397584862e7,78132482,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.2214794,100,39,0,0.53230226,0,1,1,1,0,1,-1.4285715,0.09258127156232246,9.840909258149854e-4,0.544670308868535
-904655897558e7,78133694,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7.9759083,100,59,0,-0.26227961499999997,1,1,1,1,0,1,-1.1390755,0.0698238633944255,0.0022348140764345053,0.5002209560893909
-904497771033e7,42123900,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2930179,80,43,0,-0.26227961499999997,1,1,1,1,0,1,-1.4285715,0.08691276654740726,0.001069600110084728,0.5905372280331879
-902248674659e7,3591866,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8977051,100,45,0.14285715,-0.39856571,0,1,1,1,0,1,-1.4285715,0.12587217492915392,0.0013451780509940153,0.6724296293012733
-902248674659e7,3591868,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5652652,100,45,0.14285715,-0.49532834,0,1,1,1,0,1,-1.4285715,0.1059601532686763,0.00160900388399018,0.6413160417180971
-902248674659e7,3591867,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3330231,100,45,0.14285715,-0.21195203,0,1,1,1,0,1,-1.4285715,0.15547475948113648,8.101673432873874e-4,0.6296250626584368
-902162038152e7,80117244,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7319307,80,43,0,-0.26227961499999997,1,1,1,1,0,0,-1.4285715,0.08137697761742715,9.808995713632637e-4,0.33613462203054223
-902056606811e7,42125102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2298388,100,39,0.5714286,-0.26227961499999997,1,1,1,1,0,0,-1.2008913,0.11626975030822452,8.97667956563847e-4,0.236313002653408
