fc_admin_disc,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
5922.6885,0,35,1,7855.5923,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117937,0,6842.685078563818,7108.993285994378,-458.4526658856458,72934.91757633998,-564.250513121645,46039.2122413849
2971.4285,1,54,1,3716.0354,0,0.71428573,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78132464,1,3265.6097270929486,3192.011035609452,-195.08287939718568,7751.491426036782,-121.08606358032607,12708.023923374863
471.42856,0,49,1,919.04535,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133284,0,566.0615316275099,654.6113888339952,0.6949021460188574,4671.090986757397,-45.45425666678735,757.6729154037018
622.72986,0,45,1,743.24646,1,0.2857143,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78133121,1,557.3479474911245,558.8998101674466,-69.64373901062999,1103.3200130418504,-37.30741055818204,2600.2951442610906
4850.5962,0,22,1,7072.3433000000005,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42125021,0,6015.475665423836,6477.041382632482,-340.95913819165014,75214.16308014344,-472.155547256185,26738.405645071474
369.58987,0,21,0,1032.7535,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591005,0,665.3939518965519,788.4206977545059,-76.7847288246347,3084.232132756462,-57.99379871950875,1908.9009066918443
355.75577,0,35,1,871.09698,1,0.42857143,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78134259,0,620.6419932578375,657.8872025998078,-96.99451062299117,5883.0988831072855,-40.90266930004677,1999.1712639386747
642.85712,0,35,1,1110.839,1,0.2857143,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,78134822,0,718.674606763211,778.2456020610766,-36.80688364247686,3587.995572560064,-34.045746367155104,1800.0106177306247
1873.1395,1,33,0,1842.1567,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594276,1,1364.870805049816,1366.2367408669975,-95.42238368619118,6346.143864491318,-124.43212792413003,3765.617730305268
1007.1403,0,49,1,1286.5815,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522963,0,927.3255251223376,931.1091913997307,-72.20447629760162,859.2559528408965,-106.73338431846983,2950.6583404030484
730.99414,0,49,1,1014.8739,1,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522964,0,624.3487896312216,709.5276442623084,-57.86085001329478,687.3198898530056,-79.85672590008849,1195.1941020338138
2172.5603,0,32,1,2890.1721,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522811,0,2210.6502338432642,2638.4037374136155,-220.66613062491783,15944.778285819888,-149.9495167345626,6793.221140643308
507.43491,0,40,1,583.41846,1,0.14285715,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522747,1,488.6114134361001,485.3247561705915,3.60149150516192,882.8783748493322,-45.82156105548073,755.5050097139076
3793.8093,0,39,0,5458.0806,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10463800,0,4841.367613761051,4588.708380081674,-63.01793272190387,18147.822044930163,124.0826009246945,67042.42592679492
4640.3003,0,72,1,3747.9209,0,0.14285715,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80117247,1,3242.088609176706,3329.274489905323,-309.31670886379277,32054.53592354627,-221.24733759415568,22787.770548311335
1714.2858,0,60,1,2124.8171,0,0.2857143,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118911,1,1646.874568162376,1604.1347605911221,-50.238162811975414,8607.410477990881,-97.79864953229146,4762.242066854963
1297.8629,0,48,0,1558.3574,1,0.2857143,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78132608,0,1142.1752281315394,1162.5047901269093,-86.0431257267,721.9934022887419,-95.5912625526175,1040.7426087357471
2285.6479,0,39,1,2645.1877,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133307,0,2136.969609027268,2197.7268801584637,-50.98296068170665,2268.8723364519014,-43.494133903453246,912.1831884343583
985.71429,0,33,1,1494.4261,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595411,1,1081.1719470239793,1086.9932635870987,17.38911533052903,2661.274597020315,-3.6269656648213817,2985.8647667177333
3610.7134,0,65,1,3991.1567,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124894,0,3262.7258733685085,3395.835003364734,-317.55765282966496,17211.54776940124,-275.15566427729254,17336.800058667097
10485.382,0,64,1,13792.249,1,0.14285715,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80118783,0,12050.682452567195,13117.53844844828,-1446.4709881146196,483803.3369652618,-1493.919745729661,109517.04492527187
71.428574,0,47,1,471.52698,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514273,1,385.4925463883475,422.6840452898507,-63.15815617119815,438.79298025239495,-60.414358096397706,1961.7060340813096
2098.968,1,36,1,3332.4482,1,0.2857143,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124954,1,2615.25538247116,3001.7935814756206,-221.94119258289737,6584.649120725684,-160.10610389228117,3934.9965235959417
471.42856,0,27,1,503.50446,1,0.14285715,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133514,0,427.4468160291535,447.0811579943152,-35.163939491423584,454.2223927795135,-48.07022776109132,490.07881836196526
5314.2856,1,39,0,6276.709,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78132482,1,5262.229224923052,5575.064538298941,-199.37004575140182,8933.954963924685,-243.9470027672023,10244.842498999787
2283.0874,0,40,1,2021.8704,0,0.14285715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522954,0,1486.768600961826,1579.7859803930396,-88.882023736685,5118.417667846529,-109.20300814256487,2017.0302198809034
