NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_5,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20786,100,57,0,-0.36342201,1,1,1,1,0,0,-1.1983111,0.012246840667862108,1.0890766055573035e-4,0.44664383590105194
-921795913329e7,42125560,254,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.029973,100,43,0,-0.27357095,1,1,1,1,0,0,-1.9288812,0.0119944462537221,9.07047198279168e-5,0.506500620103117
-920924936431e7,42124669,217,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1388669,100,50,0.2857143,-0.27237317,1,1,0,1,1,1,-2.0726588,0.011852089618168879,8.816055462723658e-5,0.4116299536750598
-920046646976e7,42123980,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8240461,100,74,0,0.17350678,1,1,1,1,1,0,-1.1648319,0.012435774878300832,9.92997180264076e-5,0.4517497117932989
-920046646976e7,42123978,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0614872,100,74,0,0.40504596,1,1,1,1,1,0,-1.090142,0.012538506977119302,9.483249156897326e-5,0.45022844999561357
-920046646976e7,42123981,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7706451,100,74,0,0.1285812,1,1,1,1,1,0,-1.0901434,0.01241920230931775,1.0116826043565948e-4,0.4513057311846828
-920046646976e7,42123979,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4846697,100,74,0,0.98216599,1,1,1,1,1,0,-1.0901425,0.012681561596830244,9.484534512488203e-5,0.444121564328917
-920046646976e7,42123982,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0391569,100,74,0,0.38085529,1,1,1,1,1,0,-1.0901418,0.012538506977119302,9.483249156897326e-5,0.4504940542452815
-919254357393e7,10463882,536,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.27357095,1,1,1,1,0,0,-1.2369599,0.012433967611359526,1.0411948599563712e-4,0.588456807539935
-919139368339e7,80117650,402,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.0900769,70,37,0.42857143,-0.41525912,1,1,1,0,0,1,-1.4285715,0.012895415802301666,9.639477379300969e-5,0.4675682408977054
-919139368339e7,80118883,434,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.6962128,70,37,0,-0.17504825,1,1,1,0,0,0,-1.4285715,0.013028006249760896,1.1461276566670555e-4,0.6643799238512381
-918983174523e7,10463572,525,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8669333,90,43,0,-0.27357095,1,1,1,1,0,0,-1.4285715,0.012148290811753516,9.653531375408772e-5,0.6434397065606562
-918733416171e7,78133242,299,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8.5310965,100,43,0,-0.27357095,1,1,1,1,0,0,-1.1390748,0.012145673738948625,1.2056342825817368e-4,0.5895710984895532
-917719051673e7,78133232,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5231752,80,43,0,-0.27357095,1,1,1,1,0,0,-1.4285715,0.012169247251690737,7.979154918535549e-5,0.6054655775340925
-917467215167e7,10462066,471,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.4134588,100,52,0,-0.61915183,0,1,0,1,0,1,-1.4285715,0.013187025603937499,6.827083247121164e-5,0.39311291274105215
-917467215167e7,10462721,481,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6.9177055,100,52,0,-0.27357095,0,1,0,1,0,1,-1.4713068,0.012936613445363883,7.068049092759856e-5,0.6023102884473295
-917467215167e7,10463546,497,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5.9914646,100,52,0,-0.27357095,0,1,0,1,0,1,-1.4285715,0.013072795673011256,5.4985913209289035e-5,0.44838923742854764
-916988485595e7,80117265,389,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.0709057,100,43,0,-0.27357095,1,1,1,1,0,0,-1.9110745,0.013046461129619569,6.99779061726455e-5,0.6393022348481491
-916546731528e7,3591934,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3138523,80,54,0,0.6692791,1,1,1,1,0,0,-1.8870052,0.013126344012607141,7.265008845980315e-5,0.43651364998415676
-916516169086e7,3595471,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21524,100,48,0,-0.19400316,1,1,1,1,1,0,-1.8921523,0.012256503252230131,1.253934582220655e-4,0.5707942553054709
-9.1582848411599995e+018,78133284,300,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7990928,80,49,0,-0.62664908,1,1,1,0,0,1,-1.4285715,0.011810279339408914,1.6567798363674644e-4,0.6356913132975487
-915634713117e7,78133121,296,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.1737862,100,45,0.2857143,-0.66407734,1,1,1,1,0,0,-1.2630417,0.012345876750212561,1.3307995651769838e-4,0.6502614063109149
-915634713117e7,78134163,321,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.6463904,100,45,0,-0.27357095,1,1,1,1,0,1,-1.1931558,0.012387613683276061,1.205224696605819e-4,0.4526565973288617
-914972513898e7,10463033,497,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5.7037826,100,43,0,-0.27357095,1,1,1,1,0,1,-1.1883998,0.01240689759125391,1.4137864358816798e-4,0.435782956606502
-914729183109e7,42124415,228,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.27357095,1,1,1,1,0,0,-1.1287999,0.01180118679743768,1.1222579247821114e-4,0.4143193541878425
-913936589531e7,42125021,213,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2890368,100,22,0,0.70440662,1,1,1,1,1,1,-1.1828592,0.012730840475076157,1.1214936959613209e-4,0.43503518292410276
-910705168816e7,5522747,101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9401712,100,40,0.14285715,-0.6986354,1,1,0,1,0,0,-1.2936053,0.012489815925541364,1.1056263247198218e-4,0.44259933248091965
-910323975224e7,10463800,530,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.9963174,100,39,0,0.35536999,0,1,1,0,0,1,-1.2420943,0.013286809560077224,9.09310130399632e-5,0.5227969312219252
-909453318405e7,78136113,352,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.4614682,90,43,0,-0.27357095,1,1,1,1,0,1,-1.902462,0.011461392779022878,1.2141857984717175e-4,0.6575151513890406
