NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_6,fc_admin,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-818532793363e7,3592229,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3552.4397,433.8198234971634,369845.59132303257,0.7011425122100973
-818357770357e7,78134483,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2883.27,-636.8458060669481,229564.9545030092,0.7424657815341698
-818357770357e7,78135112,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1937.9597,-425.0177074174612,423400.609531957,0.7401612309187688
-818031046703e7,80119009,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7471.4287,159.062254423833,176274.9070923851,0.5772533717215763
-817439335232e7,5523077,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1906.7257,955.7396878199175,423311.70625701756,0.9994425863991081
-814320513831e7,80116706,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2127.5403,210.34060053234043,246799.51401984278,0.36063606550713584
-813887751944e7,78132633,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,5528.5713,37.685552106971414,138371.6038329893,0.7283367368209961
-812909902336e7,42124786,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462.48,-135.87089583494006,477771.69354846695,0.6768041625432729
-8.1251325230000005e+018,5521165,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,945.74994,971.6141559679428,457845.3073521443,0.9994720965309201
-812306230095e7,78136413,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1671.4286,-194.00332572828867,81670.67744795229,0.4477903583121439
-812306230095e7,78136411,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3757.1428,-172.52006618596545,51928.45825864858,0.44320051550558653
