NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
344729471036e7,80117095,384,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-1.6655166,0.00945649810321272,2.0676106306089306e-4,0.469681179130434
344729471036e7,80117096,384,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-1.6655167,0.00945649810321272,2.0676106306089306e-4,0.469681179130434
344729471036e7,80117607,400,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-1.4738879,0.009222357548042206,2.091700944624453e-4,0.6939750155195548
34507303322e8,80117520,398,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2395194,0.009556610707043153,2.1397685228736004e-4,0.3357357438933776
346321535387e7,80117082,384,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1.2266419,0.01076542387765241,1.6372051470803825e-4,0.517812536753459
346321535387e7,80119459,456,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.8869605,0.010915108556649514,1.9701256702688423e-4,0.3694938008741277
346365652123e7,80119392,453,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.2214651,0.009165509202491354,2.1784587033352548e-4,0.5545991186888704
349356590407e7,42126037,252,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2694242,0.00898305132373888,2.045300440133175e-4,0.5223883235163812
3.4952716900600003e+018,5524604,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.8844315,0.008949818580093154,2.133833933947186e-4,0.4564394878880045
349634130764e7,80118874,434,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.00909612563344059,2.353729891998425e-4,0.6613013239902191
3.4971758964999997e+018,42124778,226,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.4285715,0.009443353318257115,2.0147178031594282e-4,0.6843767767006622
351471360124e7,78136124,352,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.7001548,0.008429169017560622,2.6913688951950553e-4,0.6469525054785594
351471360124e7,78136125,352,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.7001767,0.008429169017560622,2.6913688951950553e-4,0.6469525054785594
351682818373e7,10462596,475,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1.0077271,0.0104549744375294,1.8052099097165395e-4,0.5890709994400137
351820965832e7,80118760,429,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1.2291923,0.010337349160225148,1.8203149698858373e-4,0.5461185393059742
3.5346711196999997e+018,80117394,393,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.00909612563344059,2.353729891998425e-4,0.5188096913478062
355543998343e7,42123504,187,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2343681,0.00898305132373888,2.045300440133175e-4,0.40301352913135785
355543998343e7,42123503,187,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.00898305132373888,2.045300440133175e-4,0.40301352913135785
357167985361e7,10463319,510,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-1.4285715,0.009016998128157191,2.1766151698828564e-4,0.37952034764541076
357167985361e7,10463321,510,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-1.4285715,0.009016998128157191,2.1766151698828564e-4,0.37952034764541076
357167985361e7,10463320,510,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-1.4285715,0.009016998128157191,2.1766151698828564e-4,0.37952034764541076
357888503971e7,80119380,453,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.009165509202491354,2.1784587033352548e-4,0.5545991186888704
358092982687e7,3592048,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.6804358,0.00936583605912998,2.1532654054988776e-4,0.39585033106754614
