eff_cost_loan,def_c,fc_admin_disc,fc_survey_disc,fc_admin,fc_survey,dias_primer_pago,pro_2,pro_3,pro_4,pro_5,pro_6,pro_7,pro_8,pro_9,fee,NombrePignorante,prenda,fecha_inicial,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7
1.884438,1,2121.8889,2301.573,2261.3257,2441.0098,93,,,1,,1,,,,,-9.22258806166e+18,78133041,9/25/2012,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1983111,0,1666.6844,1699.0255,1617.7201,1617.72,76,0,0,0,0,0,0,0,0,,-9.21820905645e+18,5521308,9/21/2012,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1545267,0,2650.363,,2586.1396,2586.1399,49,,,,,,,,,,-9.21820905645e+18,5514973,10/18/2012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.944618,1,772.591,858.3053,836.18573,921.90002,100,,1,,,,,,,,-9.21795913329e+18,42125004,9/22/2012,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.9288812,1,2019.4579,,2179.6357,,98,0,0,0,0,0,0,0,0,,-9.21795913329e+18,42125560,11/24/2012,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.2369466,0,954.63934,973.89886,927.70996,927.71002,92,1,,,,,,,,1,-9.21611153364e+18,5522598,9/7/2012,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2369428,0,2227.4863,2278.7659,2164.6499,2164.6499,92,1,,,,,,,,1,-9.21611153364e+18,5522597,9/7/2012,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1545281,0,1689.446,,1639.4301,1639.4301,61,,,,,,,,,,-9.21611153364e+18,5486073,11/9/2012,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2481337,0,4417.7856,4548.6206,4293.5806,4293.5801,99,,1,,,,,,,,-9.21470677922e+18,5521269,9/19/2012,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2481327,0,1836.4624,1898.5658,1784.8298,1784.83,99,,1,,,,,,,,-9.21470677922e+18,5521267,9/19/2012,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2481358,0,6138.6763,6315.332,5966.0898,5966.0898,99,,1,,,,,,,,-9.21470677922e+18,5521268,9/19/2012,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0726588,1,2410.2854,4390.2852,2611.55,4591.5498,91,,,,1,,,,1,,-9.20924936431e+18,42124669,10/11/2012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4285715,1,571.42859,,571.42859,,106,,,,,,,,,,-9.20768115385e+18,5486462,12/26/2012,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8973073,1,1880.7297,,2011.1458,,91,,,,,,,,,,-9.20682714058e+18,5524346,10/1/2012,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.921881,1,1497.075,,1614.38,,102,,,,,,,,,,-9.20682714058e+18,5524824,10/11/2012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.9218645,1,1033.688,,1114.6814,,102,,,,,,,,,,-9.20682714058e+18,5524825,10/11/2012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.892151,1,2779.4326,,2970.6772,,92,,,,,,,,,,-9.20226890419e+18,3596724,10/22/2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2317872,0,596.43939,,578.93994,578.94,93,,,,,,,,,,-9.20181378974e+18,5524128,10/6/2012,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1545274,0,1070.5852,,1050.6201,1050.62,37,,,,,,,,,,-9.20181378974e+18,5525961,11/17/2012,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2317696,0,2582.8457,,2512.8101,2512.8101,85,,,,,,,,,,-9.20181378974e+18,5526671,12/24/2012,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0901434,0,2642.844,2718.6421,2583.6396,2583.6399,34,0,0,0,0,0,0,0,0,,-9.20046646976e+18,42123981,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0901418,0,3456.8801,3541.8862,3379.4397,3379.4399,34,0,0,0,0,0,0,0,0,,-9.20046646976e+18,42123982,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1648319,0,3002.4673,3139.3667,2912.0803,2912.0801,56,0,0,0,0,0,0,0,0,,-9.20046646976e+18,42123980,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0901425,0,5397.1963,5504.1504,5276.2905,5276.29,34,0,0,0,0,0,0,0,0,,-9.20046646976e+18,42123979,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.090142,0,3534.9387,3620.8281,3455.7498,3455.75,34,0,0,0,0,0,0,0,0,,-9.20046646976e+18,42123978,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.8715554,1,4404.9434,5833.5146,4678.8887,6107.46,91,,,1,,1,,,,,-9.20046646976e+18,42125569,11/26/2012,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.9179957,1,1767.1348,1910.9329,1898.8157,2042.6139,105,1,,,,,,,,1,-9.19802276126e+18,5514252,9/13/2012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6804355,1,6713.8804,7392.5508,6923.3945,7602.0645,100,1,,,,,,,,1,-9.19802276126e+18,5514251,9/13/2012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2705119,0,1095.2253,1120.141,1067.23,1067.23,105,1,,,,,,,,1,-9.19802276126e+18,5514253,9/13/2012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2395222,0,2004.369,2054.8945,1946.05,1946.05,97,1,,,,,,,,1,-9.19509556883e+18,78133856,10/17/2012,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.2395294,0,651.10364,808.57465,632.16003,632.15997,97,1,,,,,,,,1,-9.19509556883e+18,78133857,10/17/2012,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.2507305,0,2148.6848,1969.854,2088.7197,2088.72,100,,1,,,,,,,,-9.19509556883e+18,78134087,10/24/2012,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1.2369599,0,318.30356,,309.24002,309.23999,93,0,0,0,0,0,0,0,0,,-9.19254357393e+18,10463882,12/3/2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4285715,1,1714.2858,2300,1714.2858,2300,108,,,,1,,,,1,,-9.19139368339e+18,80117650,10/12/2012,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1.4285715,1,3142.8572,3008.7588,3142.8572,3008.7588,108,0,0,0,0,0,0,0,0,,-9.19139368339e+18,80118883,11/20/2012,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1.4285715,1,1371.4286,2000,1371.4286,2000,109,0,0,0,0,0,0,0,0,,-9.18983174523e+18,10463572,11/17/2012,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4285715,1,5900,,5900,,106,,,,,,,,,,-9.18893339671e+18,5527813,12/20/2012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4750354,0,3382.3528,3647.7969,3333.5798,3333.5801,91,,1,,,,,,,,-9.18733416171e+18,78131743,9/13/2012,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
