NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_6,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-922258806166e7,78133041,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0900769,100,47,0,-0.41525912,1,1,0,0,0,1,2121.8889,-16.694821839542982,1852.3018308401997,0.6385565594089894
-921820905645e7,5521308,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20786,100,57,0,-0.36342201,1,1,1,1,0,0,1666.6844,24.884942185147487,2154.1239057599128,0.1365734800385619
-921795913329e7,42125560,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.029973,100,43,0,-0.253137035,1,1,1,1,0,0,2019.4579,-18.946856235373424,5193.503769574414,0.5636342996210579
-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0391569,100,74,0,0.38085529,1,1,1,1,1,0,3456.8801,181.66478730593786,29477.911794982345,0.42417159530440673
-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8240461,100,74,0,0.17350678,1,1,1,1,1,0,3002.4673,104.43667297344122,15974.163861228484,0.44318637316416
-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0614872,100,74,0,0.40504596,1,1,1,1,1,0,3534.9387,205.0383869747674,19592.705576932545,0.43957836263796296
-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4846697,100,74,0,0.98216599,1,1,1,1,1,0,5397.1963,318.3160761951586,58910.527728466266,0.46933607017263956
-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7706451,100,74,0,0.1285812,1,1,1,1,1,0,2642.844,77.26763457943441,10479.65242135664,0.4622881054158759
-920046646976e7,42125569,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.8240461,90,74,0.14285715,0.12326135,1,1,1,1,0,1,4404.9434,84.0119444355524,6328.496770050309,0.6477508335558008
-919254357393e7,10463882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.253137035,1,1,1,1,0,0,318.30356,12.520417375785259,188.69904461631438,0.44338039382158556
-919139368339e7,80118883,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.6962128,70,37,0,-0.17504825,1,1,1,0,0,0,3142.8572,-43.455963840147334,6375.226519684752,0.3062554269654083
-918983174523e7,10463572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8669333,90,43,0,-0.253137035,1,1,1,1,0,0,1371.4286,-11.991043771574434,2036.6458550438233,0.48394929293856664
-918733416171e7,78133242,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8.5310965,100,43,0,-0.253137035,1,1,1,1,0,0,5940.4712,687.8318983673779,70474.66113009828,0.5276350281827454
-918733416171e7,78134840,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7.1467724,100,43,0,-0.253137035,1,1,1,1,0,1,2287.6619,-22.272400436675255,6663.566265136263,0.6610115586121572
-917719051673e7,78133232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5231752,80,43,0,-0.253137035,1,1,1,1,0,0,7185.7144,631.5860884837556,62781.88388520495,0.4295355104616092
-916988485595e7,80116767,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.8671055,100,43,0,-0.253137035,1,1,1,1,0,1,3902.3423,-45.60039808165379,8846.376088706098,0.8166869280452307
-916988485595e7,80117265,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.0709057,100,43,0,-0.253137035,1,1,1,1,0,0,5694.0679,149.5538714229887,23837.48942649975,0.28162792653621455
-916546731528e7,3591934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3138523,80,54,0,0.6692791,1,1,1,1,0,0,7223.5503,225.63218929201975,23794.64005962989,0.595388621776123
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21524,100,48,0,-0.19400316,1,1,1,1,1,0,2411.7019,-60.394559698661396,1978.0656393500935,0.531739436243624
-916287647658e7,80118452,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.673223,100,43,0.14285715,0.00230808,1,1,1,1,0,1,3809.1545,34.92259983491139,8414.636718407864,0.6110556411071105
-916242845313e7,80117937,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5030947,100,35,0,0.87375742,1,0,0,0,0,1,5922.689,68.6849923255369,97641.26031122862,0.3160034026188164
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.1737862,100,45,0.2857143,-0.66407734,1,1,1,1,0,0,622.72992,-2.5303163686697334,837.3852347066995,0.5666946811402478
-914972513898e7,10463141,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.7579064,100,43,0,-0.253137035,1,1,1,1,0,1,2781.4934,-50.65309557802169,2716.6611606388897,0.3849132814110373
-914972513898e7,10463140,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.9010072,100,43,0,-0.253137035,1,1,1,1,0,1,3209.4155,-10.686623576956958,9870.595793933022,0.3811277065217803
-914972513898e7,10463142,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.3132205,100,43,0,-0.253137035,1,1,1,1,0,1,1783.0045,-60.39513352594812,3382.3921409967256,0.44482479273343556
-914729183109e7,42124415,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521461,100,43,0,-0.253137035,1,1,1,1,0,0,290.04068,6.0409144322239365,780.9086970208593,0.20144197193508429
-914177455903e7,5522659,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.779922,100,43,0,-0.253137035,1,1,1,1,0,1,1563.3911,34.647918829311436,2337.450536827847,NA
-913911686849e7,80118687,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.49224,100,43,0,-0.253137035,1,1,1,1,0,1,942.85712,22.358736881053602,695.010349097963,0.5423067561095568
-913719072709e7,3591005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7037826,100,21,0,-0.6041308,0,1,1,1,0,1,369.5899,-4.961536758332558,1105.6290582572929,NA
-9.1369247177200005e+018,78134822,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.1092477,100,35,0.2857143,-0.58517939,1,1,1,1,0,1,642.85712,10.88255868048616,309.2439719567727,0.6625664185745449
-913320573381e7,3586602,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3198647,100,43,0.14285715,-0.18597798,1,1,1,1,1,1,1764.9235,-85.72449517369574,1726.1509768817782,NA
-911886012368e7,5522811,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1228666,100,32,1,-0.20258719,1,1,0,1,0,1,2172.5601,-25.940492736501763,1362.4228903399958,NA
-910910706359e7,78134713,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.84588,100,43,0,-0.253137035,1,1,1,1,0,1,1525.3992,32.62037414256096,597.6319979217237,0.7499212171821716
-910889120573e7,3595873,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5930448,100,43,0,-0.253137035,1,1,1,1,0,1,1771.7628,60.216712545947544,1662.0752360557208,0.42981607417468565
-910889120573e7,3595874,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36518,100,43,0,-0.253137035,1,1,1,1,0,1,2435.7373,-137.12480851424021,640.2946346360586,0.573790490085771
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9401712,100,40,0.14285715,-0.6986354,1,1,0,1,0,0,507.43497,1.1340164077270365,136.31663015411,0.164555552855995
-9.0883933711600005e+018,42124511,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.635304,100,43,0,-0.253137035,1,1,1,1,0,0,3356.6106,-33.2769646564076,12406.224859468753,0.26276684978303305
-9.0883933711600005e+018,42124847,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6.1737862,90,43,0,-0.253137035,1,1,1,1,0,0,685.71429,-24.112240013669066,389.9561739635276,0.23346006335719677
-9.0883933711600005e+018,42124914,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.7334018,100,43,0,-0.253137035,1,1,1,1,0,0,1200,32.34513904770154,2829.2358105446497,0.22612645191109224
-9.0883933711600005e+018,42125580,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6.4297194,90,43,0,-0.253137035,1,1,1,1,0,0,885.71429,33.412477852771644,787.6628452422594,0.6660406757216669
-9.0883933711600005e+018,42126055,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6.6463904,90,43,0,-0.253137035,1,1,1,1,0,1,1100,46.88777031007414,2012.0561058595458,0.557259323049166
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5496092,100,72,0.14285715,-0.014401549,1,1,0,0,1,0,4640.2993,-64.41074120636353,13355.44819093739,0.388649961685719
-908383493402e7,42126016,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.2370591,100,43,0,-0.253137035,1,1,1,1,0,0,2063.5842,-131.85604829707282,5795.518117692174,0.23666026291389938
-908131838248e7,80118911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0900769,50,60,0.2857143,-0.36501375,1,1,1,0,0,0,1714.2858,7.533379205378014,1488.658442072335,0.40624748903916763
-907894248321e7,78132608,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5930448,100,48,0.2857143,-0.48841673,0,1,1,1,0,1,1297.8628,37.98137664845494,975.0145931699984,0.701457693658182
-9.0749799942799995e+018,3595850,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6894646,100,43,0,-0.253137035,1,1,1,1,0,1,8485.7139,584.0991208279462,225611.23272589996,0.7136038013910991
-9.0749799942799995e+018,3595849,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1047039,100,43,0,-0.253137035,1,1,1,1,0,1,4728.5713,209.29809420881702,25754.636793723286,0.691205160349816
-9.0749799942799995e+018,3595848,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.947504,100,43,0,-0.253137035,1,1,1,1,0,1,2205.3086,-244.76047629035958,8871065.658145815,0.6753114626873393
-907261225358e7,3595411,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5366917,100,33,0,-0.50223994,1,1,0,1,0,0,985.71429,7.615346613147899,377.4059311426742,NA
-906700482945e7,80118783,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0167561,100,64,0.14285715,2.157141,1,1,1,1,0,1,10485.383,600.9422544300186,842331.1577008271,0.6387132589122104
-9.0665660440399995e+018,5514273,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9120231,100,47,0,-0.72341174,1,1,1,0,1,0,71.428574,3.482905414738124,189.3062281164106,0.15719618731150106
-906608816771e7,5524509,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.49224,100,43,0,-0.253137035,1,1,1,1,0,1,842.14392,47.873229414278356,373.9042720361327,NA
-906209189113e7,78133514,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7990928,100,27,0.14285715,-0.71591449,1,0,0,1,0,1,471.42856,1.5157054734198938,937.5219242835822,0.6535384893656974
-905294117521e7,80116809,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.2344108,100,43,0,-0.253137035,1,1,1,1,0,1,1239.8928,49.360009723516896,441.7153474153697,0.5148619867959111
-905294117521e7,80116808,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.363028,100,43,0,-0.253137035,1,1,1,1,0,1,1410.0721,51.13780081278656,638.1020140569017,0.5196503580468073
-904655897558e7,78133050,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.5857887,100,59,0,-0.14916186,1,1,1,1,0,1,2395.6484,-32.26791505952831,6159.593988246021,0.7504886930980822
-902162038152e7,80117244,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7319307,80,43,0,-0.253137035,1,1,1,1,0,0,3257.1428,-114.18389508631157,5669.091902581715,0.28205352430593444
-902056606811e7,42125102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2298388,100,39,0.5714286,-0.253137035,1,1,1,1,0,0,1707.3179,-96.66191172128636,3863.545584809029,0.1620139596881973
-9.0113190887600005e+018,5514183,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5606818,100,36,0.14285715,-0.65083975,1,1,1,1,0,1,371.42856,0.7323720640907451,223.95899889267469,NA
-9.0113190887600005e+018,5514184,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.363028,100,36,0.14285715,-0.54025388,1,1,1,1,0,1,750.58203,0.5441087301413334,631.2877226447403,NA
-900900841802e7,3594496,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8405466,100,82,0,-0.50683802,1,1,1,1,0,1,979.31396,15.11309440844973,3872.1993169926454,0.589979900692119
-90072415871e8,10463051,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,7.9266024,90,24,0,-0.253137035,0,1,0,1,0,1,3957.1428,-25.060253851925854,1422.434250210048,0.4733435188675723
-900651609038e7,10462052,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.6916566,100,43,0,-0.253137035,1,1,1,1,0,0,2286.4226,-7.542559589577213,5174.624314434137,0.42365195164584385
-898926676097e7,3591006,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2728772,100,23,1,-0.7521683,1,1,1,1,0,1,1289.6012,15.514473185081012,246.14863864333358,NA
-898926676097e7,3595974,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.4250774,100,23,0,-0.253137035,1,1,1,1,0,0,7394.2759,345.9762080478553,35082.56269494288,0.4507364803806014
-898624982367e7,42123627,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3395376,100,43,0,-0.253137035,1,1,1,1,0,1,2291.1189,-145.31107005981258,7169.802285854247,0.23971572979082695
-898624982367e7,42123626,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7275352,100,43,0,-0.253137035,1,1,1,1,0,1,3427.0469,-96.52035072794737,6392.314105126817,0.30402357044843314
-897484405105e7,78134484,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.9401712,100,43,0,-0.253137035,1,1,1,1,0,1,675.22028,-11.563802326093654,1342.032743405432,0.821996977680967
-897484405105e7,78134936,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,6.9275579,40,43,0,-0.253137035,1,1,1,1,0,1,1282.6829,-54.8853751889184,5095.431207447822,0.6559358295516633
-897006696037e7,3592101,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6870804,50,66,0.14285715,0.095806524,1,1,1,0,0,1,2747.0613,14.970104218850311,4737.911035643352,NA
-896805923566e7,10463539,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.4616404,100,43,0,-0.253137035,1,1,1,1,0,1,3109.8672,-29.367457754688814,9454.956438516361,0.4026842479840715
-895213074623e7,5524576,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.7355251,100,43,0,-0.253137035,1,1,1,1,0,1,8885.7139,634.5880597220762,194871.20902923416,0.8732416067983589
-895213074623e7,5524577,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.5606818,100,43,0,-0.253137035,1,1,1,1,0,1,367.80835,34.49236196979187,1668.601550471778,0.8599458745052897
-895025461256e7,42124383,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.5806999,100,60,0,-0.063352287,1,1,0,0,0,1,2383.4817,-14.433850131594687,12784.22492493878,0.5565867327530333
-895025461256e7,42125462,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,7.4500794,100,60,0,-0.253137035,1,1,0,0,0,1,2154.4175,-61.66233022901856,7805.132016835576,0.5451146269610327
-895025461256e7,42125463,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6.363028,100,60,0,-0.253137035,1,1,0,0,0,1,659.15277,-22.43459958767962,3771.5780956064054,0.4542636563672697
-894720006497e7,5522667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1777825,70,50,0.14285715,-0.23773447,1,1,1,1,0,1,1871.4286,-59.80561915490047,1847.9315828527028,NA
-8.9454394518799995e+018,80117915,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8594131,100,48,0,0.22404926,1,1,1,1,0,1,3078.6597,0.7313032519170751,21040.16907103876,0.22229142142555675
-894540556633e7,3594093,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0955992,90,35,0.2857143,0.39281446,1,1,1,1,0,0,7982.6689,113.77088495761421,24975.05714401239,0.3544727054170883
-894540556633e7,3594094,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9373746,90,35,0.2857143,0.2269356,1,1,1,1,0,0,6814.4751,-61.56483857197108,8999.238942444937,0.29290650697100745
