sum_porcp_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
1.216298,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,-0.38128665,1,1,5524248,0,-0.024974407744029068,0.0026755335338538885
1.0231776,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.14285715,-0.0096511254,1,1,5514144,1,0.14458843779401975,0.0013213087039577803
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,52,0,-0.61915183,0,1,10462066,0,0.10408102162849459,0.005299902994976539
0.45843381,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0.6692791,1,1,3591934,1,0.2146385582995926,0.001400279867642951
0.46358085,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-0.19400316,1,1,3595471,1,0.12651071373648776,0.009001514582765942
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.5714286,-0.35364023,1,0,5514239,1,0.08441778806030584,0.009839324779929711
1.1118377,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0.87375742,1,0,80117937,0,0.15660404764555635,0.004913439427817602
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0.71428573,-0.021882573,1,0,78132464,1,0.11608994624388441,0.010827208699638696
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,-0.62664908,1,0,78133284,0,0.09467154932935215,0.00818114460899995
1.2630417,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45,0.2857143,-0.66407734,1,1,78133121,1,0.07048819206404441,0.00427797040853668
1.1828593,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.70440662,1,1,42125021,0,-0.1163870204862297,0.024003423189708585
1.1957333,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,-0.6041308,0,1,3591005,0,0.052466994438298394,0.014591883834973141
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,35,0.2857143,-0.58517939,1,1,78134822,0,0.03889886200806604,0.006880576167478218
1.1519333,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,35,0.42857143,-0.63701648,1,1,78134259,0,0.07396815524943001,0.004630250935732314
1.2369388,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,-0.42732227,0,1,3594276,1,0.04666603125847639,0.011852316974362261
