prenda,val_pren,genero,edad,pres_antes,ahorros,cta_tanda,rec_cel,prestamo,des_c,faltas,tentado,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_educacion2,dummy_educacion3,dummy_educacion4,dummy_educacion5,dummy_plan_gasto2,dummy_plan_gasto3
78133041,1895.252563476563,1,47,1,0,0,0,1200,0,0,1,1,0,0,0,0,1,0,0,0,0
5514973,,1,57,1,,,,2240,1,,0,,,,,,,,,0,1
5521308,2135.21484375,1,57,1,0,1,1,1350,1,0,0,1,0,0,0,,,,,0,1
42125004,700,,,,,,,430,0,,,0,1,0,0,,,,,,
42125560,,,,,,,,1130,0,,,,,,,,,,,,
5522597,2775.11474609375,1,61,1,,0,0,1750,1,1,0,1,0,0,0,1,0,0,0,0,1
5522598,1175.365356445313,1,61,1,,0,0,750,1,1,0,1,0,0,0,1,0,0,0,0,1
5486073,,1,61,1,,,,1420,1,,0,,,,,1,0,0,0,0,1
5521267,2351.0947265625,1,50,1,0,0,0,1430,1,,0,0,0,0,1,0,1,0,0,1,0
5521268,7710.2548828125,1,50,1,0,0,0,4780,1,,0,0,0,0,1,0,1,0,0,1,0
5521269,5566.5908203125,1,50,1,0,0,0,3440,1,,0,0,0,0,1,0,1,0,0,1,0
42124669,3780,1,50,1,0,0,1,1260,0,.2857143,1,0,0,0,0,0,0,0,1,0,0
5486462,,,,,,,,400,0,,,,,,,,,,,,
5524824,,,,,,,,840,0,,,,,,,,,,,,
5524825,,,,,,,,580,0,,,,,,,,,,,,
5524346,,,,,,,,1060,0,,,,,,,,,,,,
3596724,,,,,,,,1570,0,,,,,,,,,,,,
5526671,,,,,,,,2040,1,,,,,,,,,,,,
5524128,,,,,,,,470,1,,,,,,,,,,,,
5525961,,,,,,,,910,1,,,,,,,,,,,,
42123980,4620.74462890625,1,74,1,1,1,0,2500,1,0,0,0,1,0,0,0,0,0,1,0,1
42123982,5580.59423828125,1,74,1,1,1,0,3100,1,0,0,0,1,0,0,0,0,0,1,0,1
42123979,8364.158203125,1,74,1,1,1,0,4840,1,0,0,0,1,0,0,0,0,0,1,0,1
42125569,5000,1,74,1,1,0,0,2500,0,.14285715,0,0,1,0,0,0,0,0,1,0,1
