prenda,val_pren,genero,edad,pres_antes,ahorros,cta_tanda,rec_cel,prestamo,des_c,faltas,tentado,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_educacion2,dummy_educacion3,dummy_educacion4,dummy_educacion5,dummy_plan_gasto2,dummy_plan_gasto3
42123978,5692.57666015625,1,74,1,1,1,0,3170,1,0,0,0,1,0,0,0,0,0,1,0,1
42123981,4412.77685546875,1,74,1,1,1,0,2370,1,0,0,0,1,0,0,0,0,0,1,0,1
5514252,1559.30517578125,1,47,1,0,0,0,990,0,.42857143,1,1,0,0,0,0,0,0,1,1,0
5514251,6566.5205078125,1,47,1,0,0,0,4120,0,.42857143,1,1,0,0,0,0,0,0,1,1,0
5514253,1319.3427734375,1,47,1,0,0,0,840,1,.42857143,1,1,0,0,0,0,0,0,1,1,0
78133856,2500,,,,,,,1570,1,,,0,1,0,0,,,,,,
78133857,1530,,,,,,,510,1,,,0,1,0,0,,,,,,
78134087,1500,,,,,,,1670,1,,,0,1,0,0,,,,,,
10463882,,,,,,,,250,1,,,,,,,,,,,,
80117650,2300,1,37,1,0,1,1,1200,0,.42857143,1,1,0,0,0,0,1,0,0,0,1
80118883,3007.227294921875,1,37,1,,,,2200,0,,1,0,0,1,0,0,1,0,0,0,1
10463572,2000,,,,,,,960,0,,,0,1,0,0,,,,,,
5527813,,,,,,,,4130,0,,,,,,,,,,,,
78134840,3000,,,,,,,1270,0,,,1,0,0,0,,,,,,
78135078,,,,,,,,5150,1,,,,,,,,,,,,
78131743,4000,,,,,,,2260,1,,,0,0,0,1,,,,,,
78133242,,,,,,,,5070,1,,,,,,,,,,,,
78131744,,,,,,,,2590,1,,,,,,,,,,,,
3601026,,,,,,,,1670,0,,,,,,,,,,,,
3601028,,,,,,,,1030,0,,,,,,,,,,,,
3596405,,,,,,,,660,0,,,,,,,,,,,,
5524549,,1,43,1,,,,1570,1,,1,,,,,0,0,1,0,0,0
5524547,,1,43,1,,,,400,1,,1,,,,,0,0,1,0,0,0
5524548,,1,43,1,,,,1700,1,,1,,,,,0,0,1,0,0,0
5514576,1000,1,43,1,,,,730,0,,1,0,0,0,1,0,0,1,0,0,0
5523042,,1,43,1,,,,2450,1,,1,,,,,0,0,1,0,0,0
5524545,,1,43,1,,,,1100,0,,1,,,,,0,0,1,0,0,0
5524248,2052.5166015625,1,43,1,0,1,1,1040,1,0,1,0,1,0,0,0,0,1,0,0,0
5524544,,1,43,1,,,,1020,1,,1,,,,,0,0,1,0,0,0
5524542,,1,43,1,,,,620,1,,1,,,,,0,0,1,0,0,0
5524543,,1,43,1,,,,850,1,,1,,,,,0,0,1,0,0,0
5524550,900,1,43,1,,,,850,1,,1,0,0,0,0,0,0,1,0,0,0
78133232,9000,,,,,,,5030,0,,,0,0,0,1,,,,,,
5514144,2000,1,49,0,0,0,0,1970,1,.14285715,1,0,1,0,0,0,0,1,0,0,1
10462721,3000,0,52,1,,,,1010,1,,0,0,0,1,0,0,0,1,0,1,0
10463059,,0,52,1,,,,2430,0,,0,,,,,0,0,1,0,1,0
10462066,951.4004516601563,0,52,1,1,0,1,610,0,0,0,1,0,0,0,0,0,1,0,1,0
10463546,,0,52,1,,,,400,0,,0,,,,,0,0,1,0,1,0
10463060,,0,52,1,,,,1680,1,,0,,,,,0,0,1,0,1,0
3594866,,,,,,,,1020,1,,,,,,,,,,,,
42125031,1847.260131835938,,,1,0,1,0,1170,0,0,0,1,0,0,0,,,,,0,1
80116767,,,,,,,,2610,1,,,,,,,,,,,,
80117265,4000,,,,,,,3200,0,,,0,1,0,0,,,,,,
3591934,1800,1,54,1,0,,0,4080,0,0,1,0,1,0,0,0,0,0,1,0,1
3595471,500,1,48,1,0,0,0,1360,0,0,1,0,1,0,0,0,0,0,1,0,1
80118452,4500,1,,1,0,0,1,2150,0,.14285715,1,0,1,0,0,0,0,0,1,0,1
5514239,1900,1,40,1,0,1,1,1120,0,.5714286,1,0,1,0,0,0,1,0,0,1,0
5525146,,1,40,1,,,,800,0,,1,,,,,0,1,0,0,1,0
80117937,7862.3173828125,1,35,0,0,0,0,4930,1,0,1,1,0,0,0,1,0,0,0,0,0
78132464,2500,1,54,0,0,0,0,2080,0,.71428573,0,0,1,0,0,0,1,0,0,0,1
5525872,,,,,,,,1120,0,,,,,,,,,,,,
3597995,,,,,,,,5510,0,,,,,,,,,,,,
5523878,,,,,,,,480,0,,,,,,,,,,,,
5523877,,,,,,,,710,0,,,,,,,,,,,,
78133284,990,1,49,1,0,1,1,330,0,0,1,0,1,0,0,0,1,0,0,,
5525616,,,,,,,,300,1,,,,,,,,,,,,
78134163,1000,1,45,1,,,,770,1,,1,0,1,0,0,0,0,0,1,0,1
78133121,300,1,45,1,0,1,1,480,1,.2857143,1,1,0,0,0,0,0,0,1,0,1
42125949,1200,,,,,,,770,1,,,0,1,0,0,,,,,,
42125947,1110,,,,,,,370,1,,,0,1,0,0,,,,,,
10464049,,,,,,,,2340,1,,,,,,,,,,,,
10462855,500,,,,,,,470,1,,,0,1,0,0,,,,,,
10464048,,,,,,,,2700,1,,,,,,,,,,,,
10463033,500,,,,,,,300,1,,,0,1,0,0,,,,,,
10463140,,,,,,,,2700,1,,,,,,,,,,,,
10464047,4500,,,,,,,1500,1,,,1,0,0,0,,,,,,
10463142,4500,,,,,,,1500,1,,,0,0,1,0,,,,,,
10463141,7020,,,,,,,2340,1,,,0,0,1,0,,,,,,
3598898,,,,,,,,2440,0,,,,,,,,,,,,
42124415,,,,,,,,250,1,,,1,0,0,0,,,,,,
42124272,,,,,,,,4720,0,,,,,,,,,,,,
3595082,,,,,,,,1530,0,,,,,,,,,,,,
5522659,,,,,,,,880,0,,,,,,,,,,,,
5527591,,,,,,,,1070,0,,,,,,,,,,,,
5527477,,,,,,,,2110,1,,,,,,,,,,,,
5526412,,,,,,,,2040,1,,,,,,,,,,,,
5527606,,,,,,,,2870,1,,,,,,,,,,,,
5523977,,,,,,,,2880,0,,,,,,,,,,,,
42125021,7078.365234375,1,22,1,1,1,1,3980,1,0,0,0,1,0,0,0,0,0,1,0,1
80118687,,,,,,,,660,0,,,0,1,0,0,,,,,,
42125494,2000,,,,,,,2020,1,,,0,0,0,0,,,,,,
3591005,1020.935180664063,0,21,1,1,0,1,300,1,0,1,0,0,0,0,0,0,0,1,0,1
3601451,,0,21,1,,,,7810,0,,1,,,,,0,0,0,1,0,1
78134259,868.7020263671875,1,35,1,0,0,0,300,1,.42857143,1,0,1,0,0,0,0,0,1,0,1
78134822,1108.664428710938,1,35,1,0,0,0,450,0,.2857143,1,0,1,0,0,0,0,0,1,0,1
3594276,1500,0,33,1,0,0,0,1470,1,1,1,0,0,1,0,0,0,1,0,1,0
3601403,,0,33,1,,,,1470,1,,1,,,,,0,0,1,0,1,0
3586602,2956.6318359375,1,,1,0,0,,1510,1,.14285715,1,0,0,0,0,0,0,1,0,0,1
5522964,1350,1,49,1,0,0,1,450,0,.14285715,1,1,0,0,0,0,0,1,0,0,1
5522963,1860,1,49,1,0,0,1,620,0,1,1,1,0,0,0,0,0,1,0,0,1
5528081,,,,,,,,3310,0,,,,,,,,,,,,
5528082,,,,,,,,2000,0,,,,,,,,,,,,
5525922,,,,,,,,2850,0,,,,,,,,,,,,
5525217,,,,,,,,620,0,,,,,,,,,,,,
5523927,,,,,,,,1570,0,,,,,,,,,,,,
3595095,,,,,,,,1230,0,,,,,,,,,,,,
3595096,,,,,,,,690,0,,,,,,,,,,,,
3601819,,,,,,,,1800,0,,,,,,,,,,,,
5522811,1500,1,32,1,0,0,1,1240,0,1,1,0,0,0,0,0,0,1,0,0,0
3597271,,,,,,,,2760,0,,,,,,,,,,,,
78134713,2000,,,,,,,940,0,,,0,1,0,0,,,,,,
3596960,,,,,,,,1410,1,,,,,,,,,,,,
3594637,,,,,,,,660,0,,,,,,,,,,,,
3595873,,,,,,,,730,0,,,,,,,,,,,,
3595874,,,,,,,,1580,1,,,,,,,,,,,,
5522747,583.4581298828125,1,40,1,0,0,0,380,1,.14285715,0,1,0,0,0,0,0,0,1,1,0
10463800,1000,0,39,1,0,0,0,2970,1,0,1,0,1,0,0,0,1,0,0,0,1
5525179,,,,,,,,3440,0,,,,,,,,,,,,
78136114,2730,,,,,,,910,0,,,0,1,0,0,,,,,,
78136113,1920,,,,,,,640,0,,,0,1,0,0,,,,,,
78136110,,,,,,,,440,0,,,,,,,,,,,,
78136115,3930,,,,,,,1310,0,,,0,1,0,0,,,,,,
3601813,,,,,,,,2120,0,,,,,,,,,,,,
42126055,770,,,,,,,770,0,,,0,0,0,1,,,,,,
42124628,3500,,,,,,,1640,0,,,0,1,0,0,,,,,,
42125580,1860,,,,,,,620,0,,,0,1,0,0,,,,,,
42124847,600,,,,,,,480,0,,,1,0,0,0,,,,,,
42124914,,,,,,,,840,0,,,,,,,,,,,,
42124631,3180,,,,,,,1060,0,,,0,1,0,0,,,,,,
42124627,3500,,,,,,,1190,0,,,0,1,0,0,,,,,,
42124511,4000,,,,,,,2070,0,,,0,0,0,1,,,,,,
80117247,5000,1,72,1,0,0,0,1900,0,.14285715,1,0,1,0,0,1,0,0,0,0,0
3595043,,,,,,,,4810,0,,,,,,,,,,,,
3595048,,,,,,,,4010,1,,,,,,,,,,,,
42124335,1500,,,,,,,2200,1,,,0,0,0,1,,,,,,
42126016,600,,,,,,,1390,1,,,1,0,0,0,,,,,,
80118911,2127.846435546875,1,60,1,0,0,0,1200,0,.2857143,0,1,0,0,0,0,1,0,0,0,1
78132608,1200,0,48,1,1,1,0,730,0,.2857143,1,0,1,0,0,0,0,0,1,0,1
78133307,2644.423828125,1,39,1,1,0,0,1410,0,0,0,0,1,0,0,0,1,0,0,0,1
5525635,,,,,,,,3210,0,,,,,,,,,,,,
3594770,,,,,,,,12650,0,,,,,,,,,,,,
3594771,,,,,,,,7460,0,,,,,,,,,,,,
3596726,,,,,,,,14350,0,,,,,,,,,,,,
3595849,9930,,,,,,,3310,0,,,1,0,0,0,,,,,,
3598377,,,,,,,,6120,0,,,,,,,,,,,,
3598129,,,,,,,,3650,0,,,,,,,,,,,,
3595848,50000,,,,,,,20900,1,,,1,0,0,0,,,,,,
3598130,,,,,,,,4230,0,,,,,,,,,,,,
3595850,17820,,,,,,,5940,0,,,1,0,0,0,,,,,,
3598376,,,,,,,,4770,0,,,,,,,,,,,,
3595411,1492.604248046875,1,33,1,1,0,0,690,0,0,1,0,1,0,0,0,0,0,1,0,0
5486331,,,,,,,,7000,1,,,,,,,,,,,,
5527688,,,,,,,,3940,0,,,,,,,,,,,,
5514746,,,,,,,,1530,0,,,,,,,,,,,,
5523431,,,,,,,,2920,0,,,,,,,,,,,,
5523668,,,,,,,,4430,0,,,,,,,,,,,,
78133561,,,,,,,,630,0,,,,,,,,,,,,
78133560,,,,,,,,1770,0,,,,,,,,,,,,
78133559,,,,,,,,1000,0,,,,,,,,,,,,
3596984,,,,,,,,2550,0,,,,,,,,,,,,
42124894,2000,1,65,1,0,0,1,2030,0,0,0,0,1,0,0,1,0,0,0,0,0
80118783,13803.3056640625,1,64,1,1,0,0,8240,1,.14285715,0,0,1,0,0,0,0,0,1,0,1
5528567,,,,,,,,1800,0,,,,,,,,,,,,
5514273,150,1,47,1,1,1,0,50,0,0,1,0,1,0,0,0,1,0,0,0,1
78133920,2000,,,,,,,1880,1,,,1,0,0,0,,,,,,
5520097,,,,,,,,2270,1,,,,,,,,,,,,
5524509,,,,,,,,660,1,,,0,0,1,0,,,,,,
5524340,,,,,,,,1480,1,,,,,,,,,,,,
5524987,,,,,,,,1200,1,,,,,,,,,,,,
5525639,,,,,,,,2920,1,,,,,,,,,,,,
5525787,,,,,,,,2220,1,,,,,,,,,,,,
42124954,5520,1,36,1,1,1,0,1840,1,.2857143,1,0,1,0,0,0,0,0,1,0,1
3599128,,,,,,,,3030,0,,,,,,,,,,,,
78133514,400,1,27,0,1,1,0,330,0,.14285715,1,1,0,0,0,0,0,1,0,1,0
3598817,,,,,,,,11630,1,,,,,,,,,,,,
3598816,,,,,,,,13090,1,,,,,,,,,,,,
78133605,11000,0,,0,1,0,0,4780,0,.2857143,1,0,1,0,0,0,0,0,1,0,1
5525768,,,,,,,,380,0,,,,,,,,,,,,
78132482,5000,0,39,1,1,0,0,3720,0,0,0,1,0,0,0,0,0,0,1,0,1
5526020,,,,,,,,770,1,,,,,,,,,,,,
5523995,,,,,,,,680,1,,,,,,,,,,,,
80116808,,,,,,,,580,0,,,,,,,,,,,,
80116809,,,,,,,,510,0,,,,,,,,,,,,
5523279,,1,40,1,,,,1090,0,,0,,,,,1,0,0,0,0,1
5522954,1500,1,40,1,0,0,0,1280,0,.14285715,0,1,0,0,0,1,0,0,0,0,1
5523045,,1,40,1,,,,1580,0,,0,,,,,1,0,0,0,0,1
42123489,4000,,,,,,,3700,1,,,1,0,0,0,,,,,,
42123488,3030,,,,,,,1010,1,,,1,0,0,0,,,,,,
3594843,,,,,,,,5410,1,,,,,,,,,,,,
3594840,,,,,,,,4680,1,,,,,,,,,,,,
3594842,,,,,,,,5370,1,,,,,,,,,,,,
3594838,,,,,,,,2940,1,,,,,,,,,,,,
3594839,,,,,,,,4240,1,,,,,,,,,,,,
3594841,,,,,,,,6240,1,,,,,,,,,,,,
78133050,3127.0595703125,1,59,1,0,0,0,1970,1,0,0,1,0,0,0,0,0,0,1,0,1
78133694,6000,1,59,1,,,,2910,1,,0,0,1,0,0,0,0,0,1,0,1
42123900,,,,,,,,1470,0,,,0,1,0,0,,,,,,
5527560,,,,,,,,2480,0,,,,,,,,,,,,
5527558,,,,,,,,2850,0,,,,,,,,,,,,
5527559,,,,,,,,3220,0,,,,,,,,,,,,
78133911,1000,1,56,1,1,1,0,1540,1,0,1,0,1,0,0,0,0,1,0,0,1
42124192,,,,,,,,560,0,,,1,0,0,0,,,,,,
3597867,,,,,,,,100,1,,,,,,,,,,,,
3601434,,,,,,,,4930,0,,,,,,,,,,,,
3601437,,,,,,,,1500,0,,,,,,,,,,,,
3591868,2130,0,45,1,1,1,1,710,0,.14285715,1,0,1,0,0,0,0,1,0,0,1
3598720,,0,45,1,,,,3540,0,,1,,,,,0,0,1,0,0,1
3591867,4590,0,45,1,1,1,1,1530,0,.14285715,1,0,1,0,0,0,0,1,0,0,1
3591866,2970,0,45,1,1,1,1,990,0,.14285715,1,0,1,0,0,0,0,1,0,0,1
3598981,,,,,,,,1200,0,,,,,,,,,,,,
80117244,1500,,,,,,,2280,0,,,0,0,0,0,,,,,,
42125102,,1,39,1,0,0,0,1380,1,.5714286,0,,,,,,,,,0,1
80117884,1000,1,42,0,0,0,1,610,1,0,1,0,1,0,0,0,0,1,0,0,1
80118301,7560,1,70,1,,,,2520,0,,,0,1,0,0,,,,,,
80117999,6600,1,70,1,,,,2200,0,,,0,1,0,0,,,,,,
80118302,1350,1,70,1,,,,450,0,,,0,1,0,0,,,,,,
5525653,,,,,,,,3380,0,,,,,,,,,,,,
5514183,780,1,36,1,0,1,,260,0,.14285715,0,0,1,0,0,0,0,0,1,0,1
5514184,1500,1,36,1,0,1,,580,1,.14285715,0,0,1,0,0,0,0,0,1,0,1
3596390,,1,82,1,,,,5990,1,,1,,,,,0,0,0,1,0,1
3598121,,1,82,1,,,,4560,1,,1,,,,,0,0,0,1,0,1
3594496,2805,1,82,1,0,0,0,935,1,,1,1,0,0,0,0,0,0,1,0,1
10463051,3500,0,24,1,,,,2770,0,,1,1,0,0,0,0,0,0,1,1,0
10462474,3000,0,24,1,0,0,1,1500,1,.14285715,1,1,0,0,0,0,0,0,1,1,0
10462052,,,,,,,,2190,1,,,,,,,,,,,,
78135143,5000,1,42,,,,,3860,0,,,0,1,0,0,,,,,,
3595575,,,,,,,,980,0,,,,,,,,,,,,
3595574,,,,,,,,670,0,,,,,,,,,,,,
78136290,3000,0,37,1,1,0,0,1610,0,0,1,0,1,0,0,0,0,1,0,0,1
5523269,,,,,,,,1000,1,,,,,,,,,,,,
3602066,,,,,,,,1330,0,,,,,,,,,,,,
80118770,3500,1,45,1,0,0,0,2470,1,0,1,1,0,0,0,0,1,0,0,0,0
3596180,,,,,,,,3640,0,,,,,,,,,,,,
3595974,,1,23,1,,,,4560,0,,1,,,,,0,0,0,1,0,1
3591006,500,1,23,1,0,0,1,530,0,1,1,0,0,1,0,0,0,0,1,0,1
42123627,4620,,,,,,,1540,1,,,0,0,0,1,,,,,,
42123626,6810,,,,,,,2270,1,,,0,0,0,1,,,,,,
3601462,,,,,,,,490,0,,,,,,,,,,,,
3601464,,,,,,,,300,1,,,,,,,,,,,,
3598140,,,,,,,,490,0,,,,,,,,,,,,
3601463,,,,,,,,1540,1,,,,,,,,,,,,
3598141,,,,,,,,1260,0,,,,,,,,,,,,
3598143,,,,,,,,430,0,,,,,,,,,,,,
3598142,,,,,,,,530,0,,,,,,,,,,,,
3599267,,,,,,,,3050,0,,,,,,,,,,,,
78134672,500,,,,,,,2120,0,,,0,1,0,0,,,,,,
78134936,1000,,,,,,,1020,1,,,1,0,0,0,,,,,,
78134484,600,,,,,,,380,0,,,0,1,0,0,,,,,,
78134670,500,,,,,,,350,1,,,0,1,0,0,,,,,,
42125660,1039.53564453125,1,37,0,0,0,1,970,0,.33333334,0,0,0,1,0,0,0,1,0,1,0
78133652,215.5157623291016,1,20,1,0,1,0,150,0,.14285715,1,1,0,0,0,0,0,1,0,0,1
3601319,,1,66,1,,,,2230,1,,0,,,,,1,0,0,0,0,1
3592101,5000,1,66,1,1,0,0,2180,1,.14285715,0,0,0,0,0,1,0,0,0,0,1
10463539,,,,,,,,1740,0,,,1,0,0,0,,,,,,
80118618,1820.809814453125,1,46,1,1,1,1,800,0,0,1,0,0,0,0,1,0,0,0,0,0
3599187,,,,,,,,1900,0,,,,,,,,,,,,
78133294,500,1,25,1,1,1,0,860,1,.14285715,1,1,0,0,0,0,1,0,0,1,0
80117824,,,,,,,,2350,0,,,,,,,,,,,,
80117823,,,,,,,,1880,0,,,,,,,,,,,,
80117822,,,,,,,,510,0,,,,,,,,,,,,
5524706,,,,,,,,1950,0,,,,,,,,,,,,
5524659,,,,,,,,910,0,,,,,,,,,,,,
5524044,,,,,,,,1820,0,,,,,,,,,,,,
5523115,,,,,,,,910,1,,,,,,,,,,,,
5528365,,,,,,,,1910,0,,,,,,,,,,,,
5524658,,,,,,,,1950,0,,,,,,,,,,,,
5528364,,,,,,,,3220,0,,,,,,,,,,,,
5523598,,,,,,,,1660,1,,,,,,,,,,,,
5524458,,,,,,,,1600,1,,,,,,,,,,,,
78136109,1200,1,38,1,0,0,0,880,0,0,0,1,0,0,0,0,1,0,0,0,1
78134682,1500,1,38,1,,,,910,0,,0,1,0,0,0,0,1,0,0,0,1
5523692,,,,,,,,2560,0,,,,,,,,,,,,
5524576,6200,,,,,,,6220,0,,,0,1,0,0,,,,,,
5524577,780,,,,,,,260,1,,,0,1,0,0,,,,,,
5524533,,,,,,,,1640,0,,,,,,,,,,,,
80117655,3000,1,56,1,0,0,1,2970,0,,0,0,1,0,0,0,0,0,1,0,0
42124366,2000,1,60,1,,,,1830,1,,1,0,1,0,0,0,1,0,0,0,0
42125463,,1,60,1,,,,580,1,,1,,,,,0,1,0,0,0,0
42125462,,1,60,1,,,,1720,1,,1,,,,,0,1,0,0,0,0
42124367,2000,1,60,1,,,,970,1,,1,0,1,0,0,0,1,0,0,0,0
42124383,500,1,60,1,0,0,0,1960,1,0,1,0,1,0,0,0,1,0,0,0,0
42126080,700,1,60,1,,,,1350,1,,1,0,1,0,0,0,1,0,0,0,0
3591835,,,,,,,,1900,1,,,,,,,,,,,,
3591834,,,,,,,,1100,1,,,,,,,,,,,,
3591836,,,,,,,,1570,1,,,,,,,,,,,,
5522667,2717.042724609375,1,50,1,0,1,1,1310,0,.14285715,1,0,1,0,0,,,,,0,1
80117915,5000,1,48,1,1,0,0,2590,1,0,1,0,1,0,0,0,0,0,1,0,1
3594094,2000,1,35,1,0,0,0,2800,0,.2857143,1,0,1,0,0,0,0,0,1,0,1
3597468,,1,35,1,,,,2800,0,,1,,,,,0,0,0,1,0,1
3598959,,1,35,1,,,,2450,0,,1,,,,,0,0,0,1,0,1
3598957,,1,35,1,,,,2330,0,,1,,,,,0,0,0,1,0,1
3597467,,1,35,1,,,,3280,0,,1,,,,,0,0,0,1,0,1
3598958,,1,35,1,,,,2660,0,,1,,,,,0,0,0,1,0,1
3594093,2000,1,35,1,0,0,0,3280,0,.2857143,1,0,1,0,0,0,0,0,1,0,1
42124022,1000,1,37,1,0,1,1,430,0,.66666669,1,1,0,0,0,0,0,1,0,1,0
3594438,,,,,,,,1650,0,,,,,,,,,,,,
80118499,1000,,,,,,,830,0,,,0,1,0,0,,,,,,
42126012,,,,,,,,1680,1,,,,,,,,,,,,
3591065,,,,,,,,910,0,,,,,,,,,,,,
5526665,,,,,,,,510,1,,,,,,,,,,,,
3592047,1830,,,,,,,610,1,,,0,1,0,0,,,,,,
3591822,,,,,,,,1200,1,,,,,,,,,,,,
3592158,,,,,,,,730,1,,,,,,,,,,,,
3592324,1500,,,,,,,780,0,,,0,1,0,0,,,,,,
3592046,3000,,,,,,,1060,1,,,0,1,0,0,,,,,,
3592157,1980,,,,,,,660,1,,,0,1,0,0,,,,,,
3591820,,,,,,,,910,1,,,,,,,,,,,,
3591821,,,,,,,,620,1,,,,,,,,,,,,
3601247,,,,,,,,1420,0,,,,,,,,,,,,
78134579,1000,1,45,0,0,0,0,510,0,0,1,0,1,0,0,0,0,1,0,0,1
3599538,,,,,,,,1840,0,,,,,,,,,,,,
3599537,,,,,,,,970,0,,,,,,,,,,,,
3599535,,,,,,,,1430,0,,,,,,,,,,,,
3599532,,,,,,,,2880,0,,,,,,,,,,,,
3599534,,,,,,,,1870,0,,,,,,,,,,,,
3599533,,,,,,,,2950,0,,,,,,,,,,,,
3599536,,,,,,,,1500,0,,,,,,,,,,,,
3597992,,,,,,,,1140,0,,,,,,,,,,,,
3597990,,,,,,,,1360,0,,,,,,,,,,,,
3599045,,,,,,,,1790,0,,,,,,,,,,,,
3599042,,,,,,,,2920,0,,,,,,,,,,,,
3599044,,,,,,,,1100,0,,,,,,,,,,,,
3599043,,,,,,,,840,0,,,,,,,,,,,,
3597989,,,,,,,,580,0,,,,,,,,,,,,
5523560,,,,,,,,760,1,,,,,,,,,,,,
3601196,,,,,,,,2510,0,,,,,,,,,,,,
3595323,11203.0830078125,0,52,1,0,1,0,6760,1,0,1,0,1,0,0,0,1,0,0,0,0
42124846,,,,,,,,800,1,,,,,,,,,,,,
80117934,,,,,,,,2300,0,,,0,1,0,0,,,,,,
3597236,,,,,,,,760,1,,,,,,,,,,,,
42124589,500,1,38,1,0,0,0,690,1,.14285715,1,0,1,0,0,0,0,1,0,0,1
3594748,,,,,,,,1060,0,,,,,,,,,,,,
3597508,,,,,,,,1020,0,,,,,,,,,,,,
3597509,,,,,,,,1210,0,,,,,,,,,,,,
5514473,2640,1,37,1,0,0,1,880,0,.14285715,1,0,1,0,0,0,1,0,0,0,0
5514472,3000,1,37,1,0,0,1,2810,0,.14285715,1,0,1,0,0,0,1,0,0,0,0
3595237,1200,1,37,1,0,0,0,550,1,1,0,1,0,0,0,0,0,1,0,0,1
5524759,,,,,,,,450,0,,,,,,,,,,,,
5524761,,,,,,,,660,0,,,,,,,,,,,,
5521188,,,,,,,,660,1,,,,,,,,,,,,
5526504,,,,,,,,4580,1,,,,,,,,,,,,
5525800,,,,,,,,660,0,,,,,,,,,,,,
42125786,2500,0,30,1,0,1,0,1530,1,.14285715,1,1,0,0,0,0,0,0,1,1,0
78134239,200,,,,,,,150,0,,,0,0,0,0,,,,,,
78136138,600,,,,,,,470,0,,,0,1,0,0,,,,,,
78134424,500,,,,,,,1020,0,,,0,1,0,0,,,,,,
78134929,2000,,,,,,,1700,0,,,0,1,0,0,,,,,,
78131784,200,,,,,,,580,0,,,0,1,0,0,,,,,,
78131756,,,,,,,,1580,0,,,1,0,0,0,,,,,,
3586687,240,,,,,,,80,0,,,0,0,0,0,,,,,,
78133246,1350,0,60,0,0,0,0,450,1,0,1,0,1,0,0,0,0,0,0,0,1
80119606,,,,,,,,2000,1,,,,,,,,,,,,
80119607,,,,,,,,2000,1,,,,,,,,,,,,
3601822,,,,,,,,1130,0,,,,,,,,,,,,
3601241,,,,,,,,980,0,,,,,,,,,,,,
78133302,3000,1,39,1,1,1,1,3040,0,0,1,0,1,0,0,0,0,1,0,1,0
42125288,1800,1,39,1,,,,1310,1,,1,0,1,0,0,0,0,0,1,1,0
42124998,2000,1,39,1,1,1,1,1830,0,0,1,0,1,0,0,0,0,0,1,1,0
3596097,,,,,,,,1680,1,,,,,,,,,,,,
3596098,,,,,,,,510,0,,,,,,,,,,,,
3596099,,,,,,,,550,1,,,,,,,,,,,,
3598131,,,,,,,,2990,0,,,,,,,,,,,,
3596100,,,,,,,,230,1,,,,,,,,,,,,
10463828,1650,,,,,,,550,0,,,1,0,0,0,,,,,,
10463827,2500,,,,,,,1630,0,,,1,0,0,0,,,,,,
5525072,,,,,,,,970,0,,,,,,,,,,,,
3598513,,,,,,,,2750,0,,,,,,,,,,,,
3594345,1786.370971679688,1,29,0,0,0,0,910,0,.14285715,0,1,0,0,0,0,1,0,0,0,0
3586696,852.7045288085938,0,48,1,1,1,0,290,0,0,1,0,1,0,0,0,1,0,0,0,1
5527605,,,,,,,,5190,1,,,,,,,,,,,,
10462436,,,,,,,,2800,1,,,,,,,,,,,,
