NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_6,def_c,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-593321012025e7,42124508,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06138263416776735,0.009633994787055325,0.2150051881776831
-593029679947e7,42125723,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.054128725859611405,0.00581364408313955,0.5106862547100388
-5.9117442481999995e+018,42125571,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.05418524551958383,0.009718610032918084,0.404400066381419
-5.9024788386800005e+018,42123821,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049744075627560676,0.0073773625607896865,0.21539520677661728
-5.9024788386800005e+018,42125861,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.035524041247713495,0.004035388707899462,0.5720178855957975
-589242909201e7,78133541,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.13852515589915487,0.007169284717036395,0.4451152552237809
-587341664287e7,78132950,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.031360164386786196,0.0023004621895180285,0.40157231041027075
-587300695517e7,42123622,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.03301049780937312,0.00917043637448331,0.4388450329993716
-586881254855e7,78136267,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.0448747661225791,0.007933102714136766,0.7928204344896991
-586881254855e7,78136266,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.04376110786604553,0.008267958258291318,0.7921728020421046
-586779172119e7,42125113,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.010122595159012458,0.0045620529290668526,0.4864855224785419
-586571603709e7,5520167,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.033309976645937905,0.0012699872379916236,0.9993785405369766
-586571603709e7,5520162,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.030731645551497905,0.001301027407763213,0.9993998628257889
-586571603709e7,5520165,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.028730656448621564,0.0016445793424989,0.9993629894037357
-586571603709e7,5520166,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.032116807741160394,0.0015251349766978541,0.9987044328448994
