eff_cost_loan,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample
-1.884438,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-.41525912,1,0,78133041,0
-1.2369428,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,-.22518964,1,0,5522597,1
-1.2369466,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,-.5707705,1,0,5522598,1
-2.0726588,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,.2857143,-.27237317,1,1,42124669,0
-1.090142,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,.40504596,1,1,42123978,1
-1.0901425,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,.98216599,1,1,42123979,1
-1.1648319,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,.17350678,1,1,42123980,1
-1.8715554,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,74,.14285715,.12326135,1,1,42125569,0
-1.0901418,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,.38085529,1,1,42123982,1
-1.0901434,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,.1285812,1,1,42123981,1
-1.2705119,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,.42857143,-.53966826,1,1,5514253,1
-1.9179957,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,.42857143,-.48783112,1,1,5514252,1
-1.6804355,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,.42857143,.59383696,1,1,5514251,1
-1.4285715,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,.42857143,-.41525912,1,0,80117650,0
-1.2162979,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,-.38128665,1,1,5524248,0
-1.0231776,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.14285715,-.0096511254,1,1,5514144,1
-1.4285715,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,52,0,-.61915183,0,1,10462066,0
-1.8870052,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,.6692791,1,1,3591934,1
-1.8921523,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-.19400316,1,1,3595471,1
-1.4285715,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,.5714286,-.35364023,1,0,5514239,1
-1.1118376,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,.87375742,1,0,80117937,0
-1.4285715,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,.71428573,-.021882573,1,0,78132464,1
-1.4285715,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,-.62664908,1,0,78133284,0
-1.2630417,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45,.2857143,-.66407734,1,1,78133121,1
-1.1828592,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,.70440662,1,1,42125021,0
-1.1957333,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,-.6041308,0,1,3591005,0
-1.4285715,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,35,.2857143,-.58517939,1,1,78134822,0
-1.1519332,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,35,.42857143,-.63701648,1,1,78134259,0
-1.2369387,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,-.42732227,0,1,3594276,1
-1.6706825,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.14285715,-.60475916,1,1,5522964,0
-1.6706682,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,-.54601043,1,1,5522963,0
-1.4285715,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,-.20258719,1,1,5522811,0
-1.2936053,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,.14285715,-.6986354,1,1,5522747,1
-1.2420943,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,.35536999,0,0,10463800,0
-2.2142136,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,.14285715,-.014401549,1,0,80117247,1
-1.4285715,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,.2857143,-.36501375,1,0,80118911,1
-1.9073522,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,.2857143,-.48841673,0,1,78132608,0
-1.6680892,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,-.25342175,1,0,78133307,0
-1.4285715,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,-.50223994,1,1,3595411,1
-1.9024581,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,.037535995,1,0,42124894,0
-1.236943,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,.14285715,2.157141,1,1,80118783,0
-1.4285715,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-.72341174,1,0,5514273,1
-1.0847554,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,.2857143,-.104822,1,1,42124954,1
-1.4285715,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,.14285715,-.71591449,1,1,78133514,0
-1.4285715,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,.53230226,0,1,78132482,1
-1.9162042,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,.14285715,-.38761264,1,0,5522954,0
-1.1802843,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,59,0,-.14916186,1,1,78133050,0
-1.2369416,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-.20849626,1,1,78133911,0
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,.14285715,-.21195203,0,1,3591867,1
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,.14285715,-.39856571,0,1,3591866,1
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,.14285715,-.49532834,0,1,3591868,1
-1.2343607,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,-.52988642,1,1,80117884,1
-1.4285715,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,.14285715,-.65083975,1,1,5514183,0
-1.2593274,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,.14285715,-.54025388,1,1,5514184,0
-1.0669599,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24,.14285715,-.24189927,0,1,10462474,0
-1.4285715,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,-.18430561,0,1,78136290,0
-1.2395182,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,.023628585,1,0,80118770,0
