NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,OC,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,pago_frec_vol_fee,pago_frec_vol_promise,pago_frec_vol
-9.10889120573e+18,3595874,19,0,0,0,1,0,0,1,0,0,0,0,0,1580,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.10889120573e+18,3595873,19,0,0,0,1,0,0,1,0,0,0,0,0,730,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.10323975224e+18,10463800,530,0,0,0,0,0,1,0,0,0,0,0,1,2970,100,39,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,1,1
-9.09453318405e+18,78136114,352,0,1,0,0,0,0,0,0,0,1,0,0,910,90,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-9.09453318405e+18,78136115,352,0,1,0,0,0,0,0,0,0,1,0,0,1310,90,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-9.09453318405e+18,78136110,352,0,1,0,0,0,0,0,0,0,1,0,0,440,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-9.09453318405e+18,78136113,352,0,1,0,0,0,0,0,0,0,1,0,0,640,90,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-9.08839337116e+18,42124627,216,0,0,1,0,0,0,0,0,1,0,0,0,1190,90,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-9.08839337116e+18,42124628,216,0,0,1,0,0,0,0,0,1,0,0,0,1640,90,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-9.08839337116e+18,42124631,216,0,0,1,0,0,0,0,0,1,0,0,0,1060,90,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-9.08839337116e+18,42126055,261,0,1,0,0,0,0,0,0,1,0,0,0,770,90,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.08383493402e+18,42124335,220,1,0,0,0,0,0,0,0,1,0,0,0,2200,100,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-9.07894248321e+18,78132608,284,0,0,1,0,0,0,0,0,0,1,0,0,730,100,48,1,1,.2857143,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,,0
-9.07497999428e+18,3595848,19,0,0,0,1,0,0,1,0,0,0,0,0,20900,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.07497999428e+18,3595850,19,0,0,0,1,0,0,1,0,0,0,0,0,5940,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.07497999428e+18,3595849,19,0,0,0,1,0,0,1,0,0,0,0,0,3310,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.06700482945e+18,80118783,430,0,0,1,0,0,0,0,0,0,0,1,0,8240,100,64,1,1,.14285715,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,,0,0,0,,0
-9.06638821908e+18,78133920,314,0,0,0,1,0,0,0,0,0,1,0,0,1880,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-9.06608816771e+18,5524509,110,0,1,0,0,0,0,0,1,0,0,0,0,660,100,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.06209189113e+18,78133514,303,0,0,0,0,1,0,0,0,0,1,0,0,330,100,27,1,1,.14285715,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,,0
-9.05294117521e+18,80116808,375,0,1,0,0,0,0,0,0,0,0,1,0,580,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.05294117521e+18,80116809,375,0,1,0,0,0,0,0,0,0,0,1,0,510,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-9.04801744929e+18,42123488,187,0,0,0,1,0,0,0,0,1,0,0,0,1010,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-9.04801744929e+18,42123489,187,0,0,0,1,0,0,0,0,1,0,0,0,3700,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-9.04655897558e+18,78133050,294,0,1,0,0,0,0,0,0,0,1,0,0,1970,100,59,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,1,0,1,1,0,0,,0
-9.04042802465e+18,78133911,314,0,0,0,1,0,0,0,0,0,1,0,0,1540,100,56,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,,,1,1,0,1,0,,1,1
-9.01370389200e+18,80118302,413,0,0,0,1,0,0,0,0,0,0,1,0,450,100,70,1,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,0,0
-9.01370389200e+18,80117999,413,0,0,0,1,0,0,0,0,0,0,1,0,2200,100,70,1,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,0,0
-9.01370389200e+18,80118301,413,0,0,0,1,0,0,0,0,0,0,1,0,2520,100,70,1,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,0,0
-9.01131908876e+18,5514184,97,1,0,0,0,0,0,0,1,0,0,0,0,580,100,36,1,1,.14285715,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,,,,1,0,0,0,,0,,0
-9.01131908876e+18,5514183,97,1,0,0,0,0,0,0,1,0,0,0,0,260,100,36,1,1,.14285715,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,,,,1,0,0,0,,0,,0
-9.00900841802e+18,3594496,20,0,0,0,0,1,0,1,0,0,0,0,0,935,100,82,1,1,,1,1,0,0,0,0,,,,,,,,1,1,,0,0,1,1,1,0,0,0,,0
-9.00724158710e+18,10463051,498,0,1,0,0,0,0,0,0,0,0,0,1,2770,90,24,2,2,,0,1,1,,,,,,,,,,,1,0,,,,0,1,1,0,,0,,0
-9.00086245443e+18,78136290,363,1,0,0,0,0,0,0,0,0,1,0,0,1610,100,37,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,,,1,1,1,1,0,,0,0
-8.99104389128e+18,80118770,429,0,1,0,0,0,0,0,0,0,0,1,0,2470,80,45,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,,1,1
-8.98926676097e+18,3591006,16,1,0,0,0,0,0,1,0,0,0,0,0,530,100,23,1,2,1,1,1,1,1,0,0,,,,,1,,,1,1,1,0,0,1,1,1,0,1,0,,0
-8.98624982367e+18,42123626,192,0,0,1,0,0,0,0,0,1,0,0,0,2270,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.98624982367e+18,42123627,192,0,0,1,0,0,0,0,0,1,0,0,0,1540,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.97484405105e+18,78134484,331,0,0,1,0,0,0,0,0,0,1,0,0,380,100,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.97484405105e+18,78134672,336,0,1,0,0,0,0,0,0,0,1,0,0,2120,100,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-8.97484405105e+18,78134670,336,0,1,0,0,0,0,0,0,0,1,0,0,350,100,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-8.97484405105e+18,78134936,343,0,0,0,1,0,0,0,0,0,1,0,0,1020,40,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.97336807299e+18,42125660,260,1,0,0,0,0,0,0,0,1,0,0,0,970,80,37,1,1,.33333334,1,0,0,0,0,0,,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,,1,1
-8.97006696037e+18,3592101,11,0,1,0,0,0,0,1,0,0,0,0,0,2180,50,66,1,1,.14285715,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,0
-8.96805923566e+18,10463539,495,0,0,0,0,1,0,0,0,0,0,0,1,1740,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.96449096822e+18,78133294,300,0,1,0,0,0,0,0,0,0,1,0,0,860,75,25,1,1,.14285715,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,,0,0
-8.95453345670e+18,78134682,336,0,1,0,0,0,0,0,0,0,1,0,0,910,90,38,1,1,,1,1,0,,,,,,,,,,,0,0,,,,1,0,1,0,,,1,1
-8.95453345670e+18,78136109,352,0,1,0,0,0,0,0,0,0,1,0,0,880,90,38,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,1,0,0,,0,0
-8.95213074623e+18,5524576,114,0,0,0,0,0,1,0,1,0,0,0,0,6220,100,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.95213074623e+18,5524577,114,0,0,0,0,0,1,0,1,0,0,0,0,260,100,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.95207990519e+18,80117655,402,0,0,0,0,1,0,0,0,0,0,1,0,2970,100,56,1,1,,1,1,1,1,0,0,,,,,,,,1,0,,1,0,0,0,0,1,1,,0,0
-8.95025461256e+18,42124383,225,0,0,0,0,0,1,0,0,1,0,0,0,1960,100,60,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,0
-8.95025461256e+18,42125462,249,0,0,0,0,0,1,0,0,1,0,0,0,1720,,60,3,2,,1,1,0,,,,,,,,,,,0,0,,,,0,1,1,1,,0,,0
-8.95025461256e+18,42125463,249,0,0,0,0,0,1,0,0,1,0,0,0,580,,60,3,2,,1,1,0,,,,,,,,,,,0,0,,,,0,1,1,1,,0,,0
-8.94720006497e+18,5522667,98,0,1,0,0,0,0,0,1,0,0,0,0,1310,70,50,1,1,.14285715,1,1,0,0,0,1,0,0,0,0,1,0,0,,0,1,,,1,1,1,1,1,0,,0
