NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_7,fc_admin_disc,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666.6844,-906.2060215157884,57277.920212838035,NA
-921795913329e7,42125560,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019.4579,-517.612454794366,151344.5353290087,0.1351536041100413
-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3002.4673,-319.23877155675143,87826.57508458216,0.11000073095799953
-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2642.844,-319.23877155675143,87826.57508458216,0.09957700782266449
-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3456.8801,-319.23877155675143,87826.57508458216,0.1109807470756649
-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5397.1963,-319.23877155675143,87826.57508458216,0.10756392670825929
-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3534.9387,-319.23877155675143,87826.57508458216,0.10350234507819259
-919254357393e7,10463882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,318.30356,-1592.5088710786733,1678330.9980078153,0.31975021522949953
-919139368339e7,80118883,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3142.8572,-226.95578102985593,69905.62904932775,NA
-918983174523e7,10463572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1371.4286,-919.215535313076,137190.14949802696,0.26279020354437543
-918733416171e7,78133242,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5940.4712,-1084.5157948612,252255.1091356095,NA
-917722071823e7,5524248,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1372.4333,-224.6879312846788,100325.67881017276,NA
-917719051673e7,78133232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7185.7144,-1009.0603378692999,863708.6609324124,NA
-916988485595e7,80117265,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5694.0679,-509.23506803077225,130990.76441087517,NA
-916546731528e7,3591934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7223.5503,-1461.9073609666978,164112.15027043482,0.10527908456627286
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2411.7019,-1355.3613974868756,200179.1093501986,0.1558452310529197
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,622.72992,-548.2093047972292,104083.47110693507,NA
-914729183109e7,42124415,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.04068,-516.6599648422987,91241.79469134648,0.11770488314280547
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.43497,-906.2060215157884,57277.920212838035,NA
-9.0883933711600005e+018,42124511,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3356.6106,-906.9166895197435,164649.67921619746,0.11901556204726822
-9.0883933711600005e+018,42124847,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,685.71429,-934.0390978904878,131338.8262109711,0.14488513572471023
-9.0883933711600005e+018,42124914,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1200,-924.9818605033669,130012.29169686406,0.21290314926096676
-9.0883933711600005e+018,42125580,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,885.71429,-834.7822662605046,222720.09096143543,0.2085084744993297
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4640.2993,-816.866378373708,35348.42447895532,NA
-908383493402e7,42126016,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2063.5842,-450.0425690617134,103958.19954902797,NA
-908131838248e7,80118911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1714.2858,-427.86106486546754,115077.71667112858,NA
-907261225358e7,3595411,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985.71429,-1191.1082155340991,184575.31711717835,NA
