des_c,dias_al_desempenyo,num_p,sum_porcp_c,ref_c,reincidence,t_producto,NombrePignorante,fecha_inicial,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_choose_same1,dummy_choose_same2,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,dummy_choose_same3,dummy_trabajo9,pro_2,pro_3,pro_4,pro_5
1,99,1,1.2481328,0,1,3,-9.21470677922e+18,9/19/2012,0,0,1,0,0,0,0,1,0,0,0,0,1430,50,50,1,,0,0,0,0,1,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,0,1,,,0,0,0,0,1,0,,1,,
0,,3,.50068605,1,1,,-9.21470677922e+18,12/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,3440,,50,2,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,0,1,,,0,0,0,0,1,0,,,,
0,,3,.50068462,1,1,,-9.21470677922e+18,12/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,4820,,50,2,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,0,1,,,0,0,0,0,1,0,,,,
0,,3,1.3090278,0,1,,-9.21470677922e+18,12/27/2012,0,0,0,1,0,0,0,1,0,0,0,0,1440,,50,2,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,0,1,,,0,0,0,0,1,0,,,,
0,,28,.64408731,1,0,5,-9.20924936431e+18,10/11/2012,0,0,0,1,0,0,0,0,1,0,0,0,1260,100,50,1,.2857143,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,,,,1
0,,0,0,0,0,,-9.20768115385e+18,12/26/2012,0,0,1,0,0,0,0,1,0,0,0,0,400,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,3,.46873584,1,0,,-9.20682714058e+18,10/1/2012,1,0,0,0,0,0,0,1,0,0,0,0,1060,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,3,.49329308,1,0,,-9.20682714058e+18,10/11/2012,0,0,0,1,0,0,0,1,0,0,0,0,580,,,2,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,3,.49330953,1,0,,-9.20682714058e+18,10/11/2012,0,0,0,1,0,0,0,1,0,0,0,0,840,,,2,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,3,.46357962,1,0,,-9.20226890419e+18,10/22/2012,1,0,0,0,0,0,1,0,0,0,0,0,1570,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,93,1,1.2317872,0,1,,-9.20181378974e+18,10/6/2012,0,0,0,0,0,1,0,1,0,0,0,0,470,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,37,1,1.1545274,0,1,,-9.20181378974e+18,11/17/2012,0,0,0,0,0,1,0,1,0,0,0,0,910,,,2,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,85,1,1.2317697,0,1,,-9.20181378974e+18,12/24/2012,1,0,0,0,0,0,0,1,0,0,0,0,2040,,,3,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,2,.2317647,1,1,,-9.20181378974e+18,1/12/2013,0,0,0,0,0,1,0,1,0,0,0,0,510,,,4,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,34,1,1.090142,0,0,1,-9.20046646976e+18,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,3170,100,74,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,62,3,1.164832,1,0,1,-9.20046646976e+18,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,2500,100,74,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,34,1,1.0901434,0,0,1,-9.20046646976e+18,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,2370,100,74,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,34,1,1.0901419,0,0,1,-9.20046646976e+18,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,3100,100,74,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,34,1,1.0901426,0,0,1,-9.20046646976e+18,9/25/2012,0,1,0,0,0,0,0,0,1,0,0,0,4840,100,74,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
0,,3,.44298398,1,0,4,-9.20046646976e+18,11/26/2012,1,0,0,0,0,0,0,0,1,0,0,0,2500,90,74,2,.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,,,1,0,0,0,1,0,,,1,
0,,3,.48942423,1,0,2,-9.19802276126e+18,9/13/2012,0,0,0,1,0,0,0,1,0,0,0,0,990,80,47,1,.42857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,,,
1,105,1,1.2705119,0,0,2,-9.19802276126e+18,9/13/2012,0,0,0,1,0,0,0,1,0,0,0,0,840,80,47,1,.42857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,,,
0,,1,.25186411,1,0,2,-9.19802276126e+18,9/13/2012,0,0,0,1,0,0,0,1,0,0,0,0,4120,80,47,1,.42857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,,,
1,97,1,1.2395294,0,0,2,-9.19509556883e+18,10/17/2012,0,0,1,0,0,0,0,0,0,1,0,0,510,90,,1,,0,0,1,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
1,97,1,1.2395223,0,0,2,-9.19509556883e+18,10/17/2012,0,0,1,0,0,0,0,0,0,1,0,0,1570,90,,1,,0,0,1,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
1,100,1,1.2507305,0,0,3,-9.19509556883e+18,10/24/2012,0,0,1,0,0,0,0,0,0,1,0,0,1670,100,,2,,0,0,1,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
1,93,1,1.2369599,0,0,1,-9.19254357393e+18,12/3/2012,1,0,0,0,0,0,0,0,0,0,0,1,250,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,0
0,,0,0,0,0,5,-9.19139368339e+18,10/12/2012,0,0,0,0,1,0,0,0,0,0,1,0,1200,70,37,1,.42857143,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,,,1,1,0,0,1,0,,,,1
0,,0,0,0,0,1,-9.19139368339e+18,11/20/2012,0,1,0,0,0,0,0,0,0,0,1,0,2200,70,37,2,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,0,0,,,1,1,0,0,1,0,0,0,0,0
0,,0,0,0,0,1,-9.18983174523e+18,11/17/2012,0,0,0,0,0,1,0,0,0,0,0,1,960,90,,1,,0,0,1,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,0
0,,0,0,0,0,,-9.18893339671e+18,12/20/2012,0,0,0,1,0,0,0,1,0,0,0,0,4130,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,187,3,1.4750354,1,1,3,-9.18733416171e+18,9/13/2012,0,0,0,1,0,0,0,0,0,1,0,0,2260,100,,1,,0,0,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
1,117,3,1.3064827,1,1,3,-9.18733416171e+18,9/13/2012,0,0,0,1,0,0,0,0,0,1,0,0,2590,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
