dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,faltas,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,dummy_choose_same3,dummy_trabajo9,pro_3,reincidence,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
1,0,0,0,0,0,0,0,0,1,0,0,450,100,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,-0.005072464705637353,0.001675031496343963,0.4955802259081205
0,0,0,1,0,0,0,0,1,0,0,0,470,100,31,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,-0.005625872146889826,0.001094520492332944,0.5664337261266028
0,1,0,0,0,0,0,0,1,0,0,0,800,100,73,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0.010253800738007244,0.0013244463312379658,0.5208275557863495
0,0,1,0,0,0,1,0,0,0,0,0,3860,100,37,0.2857143,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,-0.03449216427033645,4.7015079510773076e-4,0.35825058341987187
0,1,0,0,0,0,0,0,1,0,0,0,8510,100,30,0.42857143,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,-0.01565987848009951,2.6485725453495514e-4,0.5358014273237092
0,0,0,0,0,1,0,0,1,0,0,0,3850,95,62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,-0.008647669012657965,6.225263278810747e-4,0.5641709737262248
1,0,0,0,0,0,0,0,0,0,1,0,1060,100,25,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,-0.01600932472426685,5.294108981902749e-4,0.288094662729421
1,0,0,0,0,0,0,0,1,0,0,0,1e3,100,25,0.14285715,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,-0.013922486138629082,2.1419079886174713e-4,0.5939762016493874
0,0,1,0,0,0,0,0,0,0,1,0,430,100,24,0.2857143,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.027032302292631722,3.090517810745372e-4,0.3000539623420751
0,0,0,1,0,0,0,0,0,0,1,0,640,100,59,0.85714287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,-0.005195433392154032,0.0021515992094913957,0.2846195161100218
0,0,1,0,0,0,0,0,1,0,0,0,1070,70,51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,-0.025479202998273387,4.2542131199944596e-4,0.5560939898419739
0,0,0,0,0,1,0,0,1,0,0,0,1010,70,39,0.42857143,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,-0.017608352259456513,4.944245050622725e-4,0.5684163171603277
0,0,0,0,1,0,1,0,0,0,0,0,460,70,39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,-0.022381727074316262,0.0011802847869723837,0.3266608751987705
0,0,1,0,0,0,0,0,0,0,0,1,1640,100,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,-0.03458432204445626,8.110265177934293e-4,0.5354468257347735
0,0,0,0,1,0,0,0,0,0,0,1,2500,100,53,0.14285715,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,-0.02513186583006989,5.089864737346151e-4,0.45956789419304955
0,1,0,0,0,0,0,0,0,0,0,1,5500,100,53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,-0.015597793775408167,4.785952530876095e-4,0.45140652186896396
0,0,0,0,1,0,0,0,1,0,0,0,330,100,55,0.2857143,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,-0.007866775615117765,9.479122149159802e-4,0.5646159553702766
0,0,0,1,0,0,0,0,0,1,0,0,1030,100,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,7.296814863522212e-4,1.7794300352451747e-4,0.4909268693695629
0,0,1,0,0,0,0,0,1,0,0,0,2090,100,45,0.2857143,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,-0.02117589266559327,3.176087160106909e-4,0.608773970905347
0,1,0,0,0,0,0,0,0,1,0,0,2345,100,46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,-0.01110592483501441,9.42310023789838e-5,0.43939082598761064
0,0,0,0,0,1,0,0,0,0,0,1,3460,100,80,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,-0.009646812256088719,6.919200874230145e-4,0.4863426303095564
0,0,0,0,0,1,0,0,0,1,0,0,3636.6666666666665,100,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,-0.0247105328353489,6.465758941437255e-4,0.48245499639833433
1,0,0,0,0,0,0,0,0,1,0,0,1943.3333333333333,100,54,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.002900732336526949,6.487635761273428e-4,0.46206608703551794
0,0,1,0,0,0,0,0,0,1,0,0,2185,100,50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,-0.02658067659636357,5.075263358320158e-4,0.5724697329556365
0,0,0,1,0,0,0,0,0,0,0,1,330,100,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,-0.008467024443852575,4.736470805261062e-4,0.4854654132010169
0,0,0,0,1,0,1,0,0,0,0,0,1140,100,47,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,-0.01028010743275782,9.520242570324946e-4,0.3361220586795176
0,0,0,0,1,0,0,0,0,1,0,0,1580,100,29,0.14285715,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,-0.023565863899299624,3.3194302546360515e-4,0.502765459182114
0,0,0,0,0,1,0,0,1,0,0,0,9860,100,43,0.14285715,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,-0.012340780447127626,3.268396123497432e-4,0.576247890070669
0,1,0,0,0,0,0,0,0,1,0,0,1370,90,32,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,-0.012004491336902312,1.0578381177195932e-4,0.41398548682076447
0,1,0,0,0,0,0,0,1,0,0,0,2130,50,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,-0.015446529588385329,1.0780970495332229e-4,0.5732845257890307
0,0,0,0,1,0,0,0,0,0,1,0,1200,100,54,0.2857143,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,4.5111418071841605e-4,8.435039203477033e-4,0.24800102151787667
0,0,0,0,1,0,0,1,0,0,0,0,840,100,45,0.2857143,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,-0.0011650312511936513,5.207941980636543e-4,0.3993010372709685
0,1,0,0,0,0,0,0,1,0,0,0,4565,90,44,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,-0.017687468549953754,4.091986435579297e-4,0.5097784958227929
0,0,1,0,0,0,0,0,1,0,0,0,1980,100,33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,-0.030069240739939503,3.3178255838049676e-4,0.6411678390970977
0,0,0,0,1,0,0,0,1,0,0,0,5263.333333333333,100,46,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.026108489468370574,5.973848680856175e-4,0.5511492600944202
0,0,0,0,0,1,0,0,1,0,0,0,2e3,100,39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,-0.01408578600478326,1.7554020553886695e-4,0.6507836274221048
0,0,0,0,0,1,0,0,0,1,0,0,860,80,47,0.5714286,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,-0.006031144091404959,1.5687469867502074e-4,0.43964661371981817
0,1,0,0,0,0,0,0,1,0,0,0,2330,70,57,0.5714286,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,-0.012827732993828403,2.1226155402244933e-4,0.5826781639225103
0,0,0,0,1,0,1,0,0,0,0,0,2810,90,52,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,-0.024103264665353428,5.230072881718674e-4,0.3646276816160794
0,0,0,1,0,0,0,0,0,0,1,0,470,100,64,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,-0.005639569540391816,0.0010400533332918349,0.26505919876663464
0,0,0,1,0,0,0,0,0,0,0,1,690,50,22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0.0060460018327837,0.001265205206199794,0.5061589385337052
1,0,0,0,0,0,0,0,0,0,1,0,330,90,47,0.14285715,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.004547142845285553,8.418359192303603e-4,0.23102158666643813
0,1,0,0,0,0,0,0,0,0,0,1,1176.6666666666667,100,28,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,-0.022253893826241117,2.6667449617013406e-4,0.4520721798699367
1,0,0,0,0,0,0,0,0,0,1,0,1830,100,18,0.85714287,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,-0.0034733498392053685,1.328101523911302e-4,0.2466403163802761
0,0,1,0,0,0,0,0,0,1,0,0,1110,70,22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,-0.029080307636352158,3.4259870066632043e-4,0.5194912464628092
0,0,0,0,0,1,0,0,0,1,0,0,4200,100,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,-0.023555096976183625,7.109706282968255e-4,0.49664640113016006
0,0,0,1,0,0,0,0,0,0,0,1,1830,100,63,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-3.9154853467671146e-4,3.5023944428377824e-4,0.4480555947992622
0,0,0,0,1,0,1,0,0,0,0,0,1620,100,41,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,-0.015378690074042738,8.424479765626981e-4,0.3583932182388075
0,0,0,0,1,0,0,0,0,1,0,0,1090,100,26,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,-0.023495486217501155,3.1716927934166635e-4,0.5015045247617117
0,0,0,0,0,1,0,0,0,0,0,1,1060,100,64,0.14285715,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0.0017801815302220412,0.001121389150648787,0.4560277833413064
0,0,0,1,0,0,0,0,0,0,1,0,130,100,55,0.42857143,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,-0.005340949983136116,5.033867086272495e-4,0.27488425379042386
0,0,0,0,1,0,0,0,0,1,0,0,1080,100,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,-0.009378447903858902,8.842683410397877e-5,0.4459812881646377
1,0,0,0,0,0,0,0,0,0,1,0,1550,80,43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,-0.005005155774127822,3.24827592821134e-4,0.23194739535103562
0,0,0,0,1,0,0,0,1,0,0,0,1e3,80,46,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,-0.010729776582683861,2.694794058712717e-4,0.5846767215834064
0,0,0,1,0,0,1,0,0,0,0,0,3750,75,62,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,-0.0038074144489110176,0.0010570868185545497,0.3773834136914851
0,0,0,0,0,1,0,0,1,0,0,0,100,100,27,0.14285715,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,-0.011042151084886372,0.0010255869036726283,0.5953436596349513
1,0,0,0,0,0,0,0,1,0,0,0,1060,100,42,0.14285715,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,-0.0062007931476449705,2.3000278993098064e-4,0.5865939735806455
0,0,0,1,0,0,0,0,0,0,0,1,1170,100,20,0.14285715,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.0043410189974119676,3.85866732006104e-4,0.5676266864306638
0,1,0,0,0,0,0,0,1,0,0,0,2760,90,21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,-0.024423156581314488,1.983722232572859e-4,0.5910444134165631
0,0,1,0,0,0,0,0,0,1,0,0,660,100,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,-0.032994380455228046,6.089129865380051e-4,0.5402305862422128
0,1,0,0,0,0,0,0,1,0,0,0,510,100,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-0.00394559536232149,3.1372393321646983e-4,0.540009295225296
0,0,0,1,0,0,0,0,1,0,0,0,690,80,37,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0.009189789836323698,0.0013638353157630061,0.4713363836000567
0,0,0,0,1,0,0,1,0,0,0,0,2010,50,70,0.42857143,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,-0.009338334023238434,6.512342854704581e-4,0.4401375898739517
1,0,0,0,0,0,0,0,0,1,0,0,430,100,35,0.2857143,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,-0.008086556756343339,2.427289283447845e-4,0.5042994020074116
1,0,0,0,0,0,0,0,0,0,1,0,330,80,43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,-0.010440064158616131,5.291372106597526e-4,0.23295202011856078
0,1,0,0,0,0,0,0,1,0,0,0,1440,100,61,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.006550022334783128,7.856124938095874e-4,0.526344787212523
0,0,0,1,0,0,0,0,1,0,0,0,100,50,52,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,-0.00884511961777337,8.364487797690024e-4,0.5563162466578753
0,0,1,0,0,0,0,0,1,0,0,0,950,100,28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-0.03781671812043997,5.864766962798941e-4,0.6100555271725941
0,0,0,1,0,0,0,1,0,0,0,0,2850,100,55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,-0.002198165088287769,4.1843539641264445e-4,0.48335196353784954
0,1,0,0,0,0,0,0,1,0,0,0,3160,100,51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-0.01520209616646325,4.988275893176818e-4,0.5839603091098898
0,0,0,1,0,0,1,0,0,0,0,0,1180,75,60,0.2857143,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,-8.012333504235575e-4,0.0021244683220286976,0.32196626815818635
0,0,0,1,0,0,0,0,1,0,0,0,1020,100,55,0.14285715,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,8.425038041133519e-5,1.742445560670734e-4,0.59084292564312
1,0,0,0,0,0,0,0,0,0,1,0,1740,100,50,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.0044343082663343995,0.001038088359416557,0.2560349855166674
1,0,0,0,0,0,0,0,0,1,0,0,1230,90,44,0.42857143,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,-0.021318760531307678,2.857806326558009e-4,0.47288868175364746
0,0,1,0,0,0,0,0,1,0,0,0,1e3,100,74,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,-0.007022131977103745,0.0010261425108335734,0.5535150353579956
1,0,0,0,0,0,0,0,0,0,1,0,1090,100,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.009886094461325769,3.1946240111354815e-4,0.26819239294736563
1,0,0,0,0,0,0,0,0,0,1,0,1830,100,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-0.011374238846986273,8.189692031011621e-4,0.2561516824075089
0,0,1,0,0,0,0,0,1,0,0,0,5890,90,61,0.14285715,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.020182573193262533,4.165668885113939e-4,0.511780848977874
0,0,0,0,0,1,0,0,0,1,0,0,350,100,42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,-0.010974028529287598,3.622506258320841e-4,0.4271712754128123
0,0,1,0,0,0,0,0,0,1,0,0,3840,100,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,-0.03539803123765269,1.6196626394465356e-4,0.5064326611955944
0,0,0,1,0,0,0,0,0,1,0,0,4970,100,64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,4.43159478487e-4,3.355154038063163e-4,0.4486363881261025
0,0,0,0,0,1,0,0,1,0,0,0,1050,100,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,-0.013981743208163793,1.699150889932088e-4,0.5469448766830143
