
="",="(1)",="(2)",="(3)"
="",="",="",=""

="ATE",="59.9***",="615.2***",="16.0***"
="",="(10.9)",="(149.1)",="(2.89)"

="ToT",="21.2",="219.2",="11.4"
="",="(91.2)",="(1423.6)",="(22.7)"

="TuT",="64.6***",="662.5***",="16.6***"
="",="(11.5)",="(134.7)",="(2.95)"

="E[Y1]",="-262.7***",="-2436.2***",="32.5***"
="",="(8.06)",="(83.3)",="(2.18)"

="E[Y0]",="-202.7***",="-1821.0***",="48.6***"
="",="(7.28)",="(123.7)",="(1.90)"

="ToT-TuT",="-43.4",="-443.3",="-5.15"
="",="(96.5)",="(1484.8)",="(23.8)"

="ASB",="54.3",="905.6",="7.37"
="",="(95.6)",="(1475.0)",="(23.6)"

="ASL",="11.0",="462.2**",="2.21"
="",="(17.7)",="(186.4)",="(4.78)"

="N",="6304",="6304",="6304"
="Control Mean",="-262.7",="-2436.2",="32.5"
="H_0 : ATE-TuT=0",="0.65",="0.76",="0.83"
="H_0 : ATE-ToT=0",="0.65",="0.77",="0.83"
="H_0 : ToT-TuT=0",="0.65",="0.77",="0.83"
="H_0 : ToT-TuT$\geq$ 0",="0.67",="0.62",="0.59"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
