
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="",="",="",="",="",="",="",=""

="main",="",="",="",="",="",="",="",=""
="x1",="132.7*",="",="15.4",="",="-38.7*",="",="-668.3",=""
="",="(67.8)",="",="(20.4)",="",="(21.5)",="",="(1085.4)",=""

="z1",="35.6***",="",="13.3***",="",="-7.68***",="",="-389.4***",=""
="",="(8.30)",="",="(2.56)",="",="(2.50)",="",="(117.6)",=""

="ATE",="",="35.6***",="",="13.3***",="",="-7.68***",="",="-389.4***"
="",="",="(8.30)",="",="(2.56)",="",="(2.50)",="",="(117.6)"

="ToT",="",="132.7*",="",="15.4",="",="-38.7*",="",="-668.3"
="",="",="(67.8)",="",="(20.4)",="",="(21.5)",="",="(1085.4)"

="TuT",="",="24.0***",="",="13.1***",="",="-3.98*",="",="-356.1***"
="",="",="(8.20)",="",="(2.71)",="",="(2.40)",="",="(107.8)"

="E[Y1]",="",="-183.5***",="",="43.3***",="",="43.5***",="",="1851.0***"
="",="",="(5.92)",="",="(1.95)",="",="(1.69)",="",="(69.4)"

="E[Y0]",="",="-147.9***",="",="56.6***",="",="35.8***",="",="1461.6***"
="",="",="(5.82)",="",="(1.65)",="",="(1.84)",="",="(94.9)"

="ToT-TuT",="",="108.7",="",="2.37",="",="-34.7",="",="-312.2"
="",="",="(70.9)",="",="(21.6)",="",="(22.5)",="",="(1132.4)"

="ASB",="",="-122.3*",="",="-2.23",="",="40.6*",="",="77.9"
="",="",="(70.5)",="",="(21.3)",="",="(22.2)",="",="(1127.5)"

="ASL",="",="-13.6",="",="0.14",="",="5.90",="",="-234.3"
="",="",="(15.9)",="",="(4.62)",="",="(4.29)",="",="(154.4)"

="b1",="",="",="",="",="",="",="",=""
="_cons",="-183.5***",="",="43.3***",="",="43.5***",="",="1851.0***",=""
="",="(5.82)",="",="(1.65)",="",="(1.84)",="",="(94.9)",=""

="tut",="",="",="",="",="",="",="",=""
="x0",="24.0***",="",="13.1***",="",="-3.98*",="",="-356.1***",=""
="",="(8.20)",="",="(2.71)",="",="(2.40)",="",="(107.8)",=""

="z0",="35.6***",="",="13.3***",="",="-7.68***",="",="-389.4***",=""
="",="(8.30)",="",="(2.56)",="",="(2.50)",="",="(117.6)",=""

="b0",="",="",="",="",="",="",="",=""
="_cons",="-147.9***",="",="56.6***",="",="35.8***",="",="1461.6***",=""
="",="(5.92)",="",="(1.95)",="",="(1.69)",="",="(69.4)",=""

="N",="6304",="6304",="6304",="6304",="6304",="6304",="6304",="6304"
="R-sq",="",="",="",="",="",="",="",=""
="Control Mean",="-183.5",="",="-183.5",="",="-183.5",="",="-183.5",=""
=": ATE-TuT=0$",="0.13",="0.13",="0.91",="0.91",="0.12",="0.12",="0.78",="0.78"
=": ATE-ToT=0$",="0.13",="0.13",="0.91",="0.91",="0.12",="0.13",="0.78",="0.78"
=": TuT-ToT=0$",="0.13",="0.13",="0.91",="0.91",="0.12",="0.12",="0.78",="0.78"
=": TuT-ToT\geq0$",="0.063",=".",="0.46",=".",="0.94",=".",="0.61",="."

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
