
="",="(1)",="(2)",="(3)",="(4)"
="",="des_c",="des_c",="des_c",="des_c"

="1.t_producto",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.t_producto",="0.057*",="0.074***",="0.082***",="0.11***"
="",="(0.029)",="(0.024)",="(0.025)",="(0.026)"

="3.t_producto",="-0.054**",="-0.0063",="-0.0046",="0.013"
="",="(0.026)",="(0.023)",="(0.024)",="(0.024)"

="4.t_producto",="0.0069",="0.018",="0.018",="0.017"
="",="(0.024)",="(0.021)",="(0.021)",="(0.021)"

="5.t_producto",="-0.0098",="-0.010",="-0.0050",="-0.0026"
="",="(0.026)",="(0.022)",="(0.023)",="(0.023)"

="0.naiveness_1",="0",="",="",=""
="",="(.)",="",="",=""

="1.naiveness_1",="-0.13***",="",="",=""
="",="(0.029)",="",="",=""

="1.t_producto#0.naiveness_1",="0",="",="",=""
="",="(.)",="",="",=""

="1.t_producto#1.naiveness_1",="0",="",="",=""
="",="(.)",="",="",=""

="2.t_producto#0.naiveness_1",="0",="",="",=""
="",="(.)",="",="",=""

="2.t_producto#1.naiveness_1",="0.16***",="",="",=""
="",="(0.043)",="",="",=""

="3.t_producto#0.naiveness_1",="0",="",="",=""
="",="(.)",="",="",=""

="3.t_producto#1.naiveness_1",="0.14***",="",="",=""
="",="(0.048)",="",="",=""

="4.t_producto#0.naiveness_1",="0",="",="",=""
="",="(.)",="",="",=""

="4.t_producto#1.naiveness_1",="0.014",="",="",=""
="",="(0.038)",="",="",=""

="5.t_producto#0.naiveness_1",="0",="",="",=""
="",="(.)",="",="",=""

="5.t_producto#1.naiveness_1",="0.022",="",="",=""
="",="(0.042)",="",="",=""

="dummy_dow1",="-0.00061",="0.00028",="0.0023",="0.0059"
="",="(0.022)",="(0.020)",="(0.019)",="(0.020)"

="dummy_dow2",="-0.029",="-0.023",="-0.019",="-0.020"
="",="(0.023)",="(0.021)",="(0.019)",="(0.019)"

="dummy_dow3",="-0.021",="-0.022",="-0.019",="-0.025"
="",="(0.024)",="(0.022)",="(0.021)",="(0.023)"

="dummy_dow4",="-0.0025",="-0.012",="-0.010",="0.00044"
="",="(0.024)",="(0.021)",="(0.021)",="(0.022)"

="dummy_dow5",="-0.024",="-0.028",="-0.026",="-0.017"
="",="(0.023)",="(0.020)",="(0.019)",="(0.020)"

="dummy_dow6",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="0.014",="0.064***",="0.069***",="0.042*"
="",="(0.025)",="(0.021)",="(0.020)",="(0.023)"

="dummy_suc2",="-0.036",="0.045*",="0.042*",="-0.000092"
="",="(0.027)",="(0.024)",="(0.023)",="(0.026)"

="dummy_suc3",="-0.0066",="0.021",="0.026",="0.016"
="",="(0.024)",="(0.023)",="(0.022)",="(0.023)"

="dummy_suc4",="-0.067***",="-0.0088",="-0.0018",="-0.017"
="",="(0.022)",="(0.020)",="(0.020)",="(0.021)"

="dummy_suc5",="-0.028",="0.017",="0.038*",="0.030"
="",="(0.024)",="(0.022)",="(0.021)",="(0.022)"

="dummy_suc6",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="0.069***",="0.050***",="0.066***",="0.073***"
="",="(0.020)",="(0.018)",="(0.017)",="(0.018)"

="num_arms_d4",="0.040",="0.022",="0.034",="0.037"
="",="(0.027)",="(0.027)",="(0.026)",="(0.026)"

="num_arms_d5",="0.15***",="0.11***",="0.094**",="0.098**"
="",="(0.041)",="(0.039)",="(0.036)",="(0.039)"

="num_arms_d6",="-0.061",="0.021",="0.028",="0.0019"
="",="(0.058)",="(0.052)",="(0.052)",="(0.053)"

="visit_number_d2",="-0.0039",="0.00032",="-0.00032",="-0.0066"
="",="(0.021)",="(0.021)",="(0.020)",="(0.021)"

="visit_number_d3",="-0.0040",="-0.0078",="-0.0046",="-0.0099"
="",="(0.033)",="(0.032)",="(0.031)",="(0.031)"

="visit_number_d4",="-0.016",="-0.020",="-0.011",="-0.018"
="",="(0.048)",="(0.049)",="(0.048)",="(0.047)"

="visit_number_d5",="0.047",="0.022",="0.031",="0.037"
="",="(0.060)",="(0.059)",="(0.055)",="(0.057)"

="visit_number_d6",="-0.065",="-0.11",="-0.083",="-0.072"
="",="(0.073)",="(0.073)",="(0.069)",="(0.069)"

="visit_number_d7",="0.025",="-0.0064",="-0.023",="-0.025"
="",="(0.060)",="(0.061)",="(0.060)",="(0.061)"

="0.naiveness_2",="",="0",="",=""
="",="",="(.)",="",=""

="1.naiveness_2",="",="-0.42***",="",=""
="",="",="(0.027)",="",=""

="1.t_producto#0.naiveness_2",="",="0",="",=""
="",="",="(.)",="",=""

="1.t_producto#1.naiveness_2",="",="0",="",=""
="",="",="(.)",="",=""

="2.t_producto#0.naiveness_2",="",="0",="",=""
="",="",="(.)",="",=""

="2.t_producto#1.naiveness_2",="",="-0.049",="",=""
="",="",="(0.044)",="",=""

="3.t_producto#0.naiveness_2",="",="0",="",=""
="",="",="(.)",="",=""

="3.t_producto#1.naiveness_2",="",="-0.011",="",=""
="",="",="(0.043)",="",=""

="4.t_producto#0.naiveness_2",="",="0",="",=""
="",="",="(.)",="",=""

="4.t_producto#1.naiveness_2",="",="-0.053",="",=""
="",="",="(0.034)",="",=""

="5.t_producto#0.naiveness_2",="",="0",="",=""
="",="",="(.)",="",=""

="5.t_producto#1.naiveness_2",="",="0.020",="",=""
="",="",="(0.035)",="",=""

="0.naiveness_3",="",="",="0",=""
="",="",="",="(.)",=""

="1.naiveness_3",="",="",="-0.46***",=""
="",="",="",="(0.024)",=""

="1.t_producto#0.naiveness_3",="",="",="0",=""
="",="",="",="(.)",=""

="1.t_producto#1.naiveness_3",="",="",="0",=""
="",="",="",="(.)",=""

="2.t_producto#0.naiveness_3",="",="",="0",=""
="",="",="",="(.)",=""

="2.t_producto#1.naiveness_3",="",="",="-0.076*",=""
="",="",="",="(0.041)",=""

="3.t_producto#0.naiveness_3",="",="",="0",=""
="",="",="",="(.)",=""

="3.t_producto#1.naiveness_3",="",="",="-0.0049",=""
="",="",="",="(0.039)",=""

="4.t_producto#0.naiveness_3",="",="",="0",=""
="",="",="",="(.)",=""

="4.t_producto#1.naiveness_3",="",="",="-0.047",=""
="",="",="",="(0.031)",=""

="5.t_producto#0.naiveness_3",="",="",="0",=""
="",="",="",="(.)",=""

="5.t_producto#1.naiveness_3",="",="",="0.010",=""
="",="",="",="(0.034)",=""

="0.naiveness_4",="",="",="",="0"
="",="",="",="",="(.)"

="1.naiveness_4",="",="",="",="-0.42***"
="",="",="",="",="(0.023)"

="1.t_producto#0.naiveness_4",="",="",="",="0"
="",="",="",="",="(.)"

="1.t_producto#1.naiveness_4",="",="",="",="0"
="",="",="",="",="(.)"

="2.t_producto#0.naiveness_4",="",="",="",="0"
="",="",="",="",="(.)"

="2.t_producto#1.naiveness_4",="",="",="",="-0.091**"
="",="",="",="",="(0.043)"

="3.t_producto#0.naiveness_4",="",="",="",="0"
="",="",="",="",="(.)"

="3.t_producto#1.naiveness_4",="",="",="",="-0.028"
="",="",="",="",="(0.034)"

="4.t_producto#0.naiveness_4",="",="",="",="0"
="",="",="",="",="(.)"

="4.t_producto#1.naiveness_4",="",="",="",="-0.029"
="",="",="",="",="(0.031)"

="5.t_producto#0.naiveness_4",="",="",="",="0"
="",="",="",="",="(.)"

="5.t_producto#1.naiveness_4",="",="",="",="0.032"
="",="",="",="",="(0.034)"

="_cons",="0.49***",="0.52***",="0.54***",="0.50***"
="",="(0.030)",="(0.026)",="(0.026)",="(0.027)"

="N",="13444",="13444",="13444",="13444"
="R-sq",="0.027",="0.149",="0.205",="0.147"
="Dep Var Mean",="0.45",="0.45",="0.45",="0.45"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
