
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="des_c",="des_c",="dias_al_desempenyo",="dias_al_desempenyo",="num_p",="num_p",="sum_porcp_c",="sum_porcp_c",="ref_c",="ref_c",="reincidence",="reincidence"

="1.t_producto",="0",="",="0",="",="0",="",="0",="",="0",="",="0",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="2.t_producto",="0.11***",="",="-8.61***",="",="0.74***",="",="0.076***",="",="-0.058**",="",="0.062***",=""
="",="(0.023)",="",="(2.83)",="",="(0.19)",="",="(0.026)",="",="(0.022)",="",="(0.012)",=""

="3.t_producto",="-0.0014",="",="-0.23",="",="0.62***",="",="-0.0072",="",="0.027",="",="-0.0072",=""
="",="(0.021)",="",="(3.31)",="",="(0.21)",="",="(0.025)",="",="(0.024)",="",="(0.012)",=""

="4.t_producto",="0.0064",="",="0.97",="",="0.71***",="",="-0.0025",="",="0.019",="",="0.013",=""
="",="(0.020)",="",="(3.06)",="",="(0.26)",="",="(0.021)",="",="(0.021)",="",="(0.011)",=""

="5.t_producto",="-0.0027",="",="-2.87",="",="0.26",="",="-0.015",="",="-0.012",="",="0.0091",=""
="",="(0.021)",="",="(3.35)",="",="(0.19)",="",="(0.024)",="",="(0.023)",="",="(0.010)",=""

="prestamo",="0.0000087***",="0.0000089***",="-0.000051",="-0.000052",="0.000089***",="0.000094***",="0.0000092***",="0.0000093***",="0.0000013",="0.0000014",="0.0000026*",="0.0000026*"
="",="(0.0000018)",="(0.0000018)",="(0.00027)",="(0.00027)",="(0.000025)",="(0.000026)",="(0.0000023)",="(0.0000023)",="(0.0000019)",="(0.0000019)",="(0.0000015)",="(0.0000015)"

="dummy_dow1",="0.0030",="0.0033",="0.16",="0.099",="0.27",="0.28",="0.035",="0.035",="-0.00018",="0.00019",="-0.0045",="-0.0039"
="",="(0.023)",="(0.022)",="(3.07)",="(3.08)",="(0.28)",="(0.28)",="(0.025)",="(0.025)",="(0.024)",="(0.024)",="(0.013)",="(0.013)"

="dummy_dow2",="-0.029",="-0.030",="-2.83",="-3.02",="-0.050",="-0.010",="-0.0076",="-0.0079",="0.017",="0.018",="-0.0092",="-0.0094"
="",="(0.024)",="(0.024)",="(3.57)",="(3.58)",="(0.26)",="(0.26)",="(0.025)",="(0.025)",="(0.025)",="(0.025)",="(0.014)",="(0.013)"

="dummy_dow3",="-0.020",="-0.021",="-6.72**",="-6.81**",="-0.30",="-0.29",="-0.029",="-0.029",="-0.043*",="-0.042*",="-0.0086",="-0.0087"
="",="(0.025)",="(0.024)",="(3.23)",="(3.24)",="(0.34)",="(0.32)",="(0.028)",="(0.028)",="(0.025)",="(0.025)",="(0.014)",="(0.014)"

="dummy_dow4",="0.00076",="0.0023",="2.12",="1.87",="-0.21",="-0.14",="0.0023",="0.0028",="-0.021",="-0.019",="0.010",="0.010"
="",="(0.024)",="(0.024)",="(3.44)",="(3.42)",="(0.25)",="(0.25)",="(0.028)",="(0.028)",="(0.023)",="(0.023)",="(0.014)",="(0.014)"

="dummy_dow5",="-0.021",="-0.019",="-1.88",="-2.17",="-0.28",="-0.20",="-0.013",="-0.012",="-0.017",="-0.014",="-0.013",="-0.013"
="",="(0.023)",="(0.023)",="(3.21)",="(3.18)",="(0.26)",="(0.26)",="(0.025)",="(0.025)",="(0.024)",="(0.024)",="(0.013)",="(0.013)"

="dummy_dow6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="-0.018",="-0.010",="12.3***",="11.6***",="-0.071",="0.25",="0.058**",="0.061**",="0.14***",="0.15***",="0.25***",="0.25***"
="",="(0.026)",="(0.025)",="(2.98)",="(3.06)",="(0.21)",="(0.21)",="(0.029)",="(0.029)",="(0.027)",="(0.027)",="(0.017)",="(0.017)"

="dummy_suc2",="-0.075***",="-0.071***",="25.2***",="24.5***",="0.38**",="0.63***",="-0.013",="-0.013",="0.26***",="0.27***",="0.18***",="0.18***"
="",="(0.027)",="(0.027)",="(3.11)",="(3.10)",="(0.18)",="(0.19)",="(0.032)",="(0.032)",="(0.026)",="(0.026)",="(0.016)",="(0.016)"

="dummy_suc3",="-0.019",="-0.014",="11.7***",="11.0***",="0.80***",="1.03***",="0.043",="0.044*",="0.090***",="0.096***",="-0.017*",="-0.017*"
="",="(0.024)",="(0.024)",="(3.25)",="(3.27)",="(0.29)",="(0.31)",="(0.027)",="(0.027)",="(0.023)",="(0.023)",="(0.0096)",="(0.0096)"

="dummy_suc4",="-0.074***",="-0.066***",="10.9***",="9.77***",="0.51***",="0.93***",="-0.0058",="-0.0035",="0.15***",="0.17***",="0.0057",="0.0050"
