
="",="(1)"
="",="sum_profits"

="2.t_producto",="-259.5**"
="",="(131.2)"

="4.t_producto",="44.1"
="",="(152.2)"

="N",="4441"
="R-sq",="0.002"
="Control Mean",="1792.1"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
