
="visit_number_75_d2",="0.072",="0.037",="0.13",="0.039",="0.031",="-0.0090",="0.069",="0.068",="0.047",="0.030",="0.021",="0.043"
="",="(0.027)",="(0.025)",="(0.024)",="(0.076)",="(0.022)",="(0.056)",="(0.021)",="(0.022)",="(0.031)",="(0.022)",="(0.024)",="(0.028)"

="visit_number_75_d3",="0.14",="0.087",="0.20",="0.31",="0.15",="0.24",="0.17",="0.18",="0.100",="0.075",="0.090",="0.086"
="",="(0.043)",="(0.039)",="(0.037)",="(0.14)",="(0.047)",="(0.15)",="(0.036)",="(0.038)",="(0.052)",="(0.040)",="(0.044)",="(0.049)"

="visit_number_75_d4",="0.32",="0.20",="0.19",="0.14",="0.23",="-0.082",="0.29",="0.30",="0.21",="0.12",="0.14",="0.17"
="",="(0.062)",="(0.059)",="(0.048)",="(0.17)",="(0.069)",="(0.10)",="(0.057)",="(0.059)",="(0.079)",="(0.059)",="(0.067)",="(0.068)"

="visit_number_75_d5",="0.36",="0.28",="0.23",="0.58",="0.39",="0.53",="0.26",="0.29",="0.31",="0.31",="0.35",="0.32"
="",="(0.094)",="(0.091)",="(0.071)",="(0.28)",="(0.11)",="(0.23)",="(0.082)",="(0.088)",="(0.12)",="(0.10)",="(0.11)",="(0.12)"

="visit_number_75_d6",="0.22",="0.030",="0.38",="-0.36",="0.33",="0",="0.31",="0.27",="0.19",="0.24",="0.29",="0.054"
="",="(0.11)",="(0.095)",="(0.11)",="(0.10)",="(0.14)",="(.)",="(0.13)",="(0.14)",="(0.14)",="(0.13)",="(0.13)",="(0.12)"

="visit_number_75_d7",="0.60",="0.23",="0.55",="0.93",="0.53",="0.88",="0.59",="0.58",="0.68",="0.54",="0.61",="0.55"
="",="(0.15)",="(0.14)",="(0.13)",="(0.050)",="(0.16)",="(0.053)",="(0.15)",="(0.15)",="(0.21)",="(0.13)",="(0.14)",="(0.18)"

="pro_3",="",="",="",="",="0.0031",="-0.035",="",="",="",="",="",=""
="",="",="",="",="",="(0.0097)",="(0.027)",="",="",="",="",="",=""

="pro_4",="",="",="",="",="",="",="0.020",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.0090)",="",="",="",="",=""

="pro_6",="",="",="",="",="",="",="",="0.020",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.0094)",="",="",="",=""

="pro_7",="",="",="",="",="",="",="",="",="0.017",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.019)",="",="",=""

="pro_5",="",="",="",="",="",="",="",="",="",="0.0096",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.0086)",="",=""

="pro_8",="",="",="",="",="",="",="",="",="",="",="0.018",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.0098)",=""

="pro_9",="",="",="",="",="",="",="",="",="",="",="",="-0.0045"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.012)"

="_cons",="-0.0056",="-0.013",="0.027",="-0.067",="0.11",="0.069",="0.062",="0.063",="0.0057",="0.097",="0.070",="0.062"
="",="(0.016)",="(0.014)",="(0.014)",="(0.096)",="(0.024)",="(0.083)",="(0.020)",="(0.021)",="(0.019)",="(0.026)",="(0.023)",="(0.028)"

="N",="2652",="2652",="2652",="244",="2271",="179",="3020",="2799",="1457",="2559",="2129",="1679"
="R-sq",="0.178",="0.129",="0.144",="0.222",="0.150",="0.299",="0.112",="0.120",="0.112",="0.097",="0.106",="0.119"
="Control Mean",="0.061",="0.052",="0.029",="0.11",="0.061",="0.11",="0.061",="0.061",="0.061",="0.061",="0.061",="0.061"

="Standard errors in parentheses"
