
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="",="",="",="",="",="",="",="",="(90.5)",="(95.0)",="(92.8)",="(57.7)",="(59.5)",="(57.3)",="(.)",="(0.24)",="(.)",="(.)",="(.)",="(.)"

="b1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="-249.1***",="-258.1***",="-242.7***",="-248.5***",="0.44***",="0.41***",="0.43***",="0.41***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(4.87)",="(5.99)",="(4.48)",="(5.53)",="(0.015)",="(0.018)",="(0.013)",="(0.016)",="",="",="",="",="",="",="",="",="",="",="",=""

="tut",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="x0",="44.9***",="52.1***",="36.4***",="41.1***",="0.12***",="0.15***",="0.11***",="0.12***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(8.83)",="(9.65)",="(6.75)",="(7.25)",="(0.025)",="(0.028)",="(0.021)",="(0.023)",="",="",="",="",="",="",="",="",="",="",="",=""

="z0",="32.8***",="43.3***",="32.9***",="40.2***",="0.11***",="0.15***",="0.12***",="0.15***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(6.79)",="(7.87)",="(6.20)",="(7.29)",="(0.023)",="(0.027)",="(0.020)",="(0.023)",="",="",="",="",="",="",="",="",="",="",="",=""

="b0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="-216.3***",="-214.8***",="-209.9***",="-208.3***",="0.54***",="0.56***",="0.55***",="0.56***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(4.73)",="(5.11)",="(4.29)",="(4.75)",="(0.018)",="(0.020)",="(0.015)",="(0.016)",="",="",="",="",="",="",="",="",="",="",="",=""

="N",="8510",="6299",="5941",="4438",="8510",="6299",="5941",="4438",="8510",="6299",="8510",="5941",="4438",="5941",="8510",="6299",="8510",="5941",="4438",="5941"
="R-sq",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Control Mean",="-249.1",="-258.1",="-242.3",="-248.5",="-249.1",="-258.1",="-242.3",="-248.5",="",="",="",="",="",="",="",="",="",="",="",=""
="ToT",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="p-value",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TuT",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="p-value",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ToT-TuT",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="F p-value",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Bootstrap (normal) p-val",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Bootstrap (percentile) p-val",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RI p-val",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
