
="",="(1)",="(2)",="(3)",="(4)"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="685.month",="-0.013",="-0.020",="-0.00091",="-0.029"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="686.month",="-0.012",="-0.028",="-0.0048",="-0.034"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="687.month",="-0.016",="-0.028",="-0.00086",="-0.040"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="688.month",="-0.016",="-0.029",="0.00030",="-0.040"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="689.month",="-0.015",="-0.031",="-0.0045",="-0.040"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="690.month",="-0.017",="-0.033",="-0.0095",="-0.041"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="691.month",="-0.018",="-0.031",="-0.0090",="-0.040"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="692.month",="-0.024",="-0.032",="-0.014",="-0.043"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="693.month",="-0.019",="-0.032",="-0.011",="-0.041"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="694.month",="-0.021",="-0.029",="-0.012",="-0.039"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="695.month",="-0.020",="-0.033",="-0.012",="-0.042"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="696.month",="-0.020",="-0.0017",="-0.010",="-0.011"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="697.month",="-0.0022",="0.019",="0.00036",="0.017"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="698.month",="-0.00025",="0.027",="0.011",="0.022"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="699.month",="0.0040",="-0.0050",="0.029",="-0.017"
="",="(0.013)",="(0.013)",="(0.014)",="(0.015)"

="700.month",="-0.0075",="-0.015",="0.017",="-0.029"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="701.month",="-0.0086",="-0.0015",="0.0046",="-0.010"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="702.month",="-0.012",="-0.012",="0.00064",="-0.021"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="703.month",="-0.0094",="0.014",="-0.0013",="0.0074"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="704.month",="-0.0081",="-0.0036",="0.0022",="-0.010"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="705.month",="-0.011",="-0.025",="0.0047",="-0.035"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="706.month",="-0.020",="-0.030",="0.0026",="-0.046"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="707.month",="-0.017",="-0.028",="-0.0051",="-0.038"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="708.month",="-0.024",="-0.016",="-0.015",="-0.026"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="709.month",="-0.014",="-0.014",="-0.0081",="-0.020"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="710.month",="-0.015",="-0.025",="-0.0047",="-0.034"
="",="(0.013)",="(0.013)",="(0.014)",="(0.013)"

="711.month",="-0.022",="-0.020",="-0.0062",="-0.032"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="712.month",="-0.017",="-0.034",="-0.0029",="-0.045"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="713.month",="-0.019",="-0.020",="-0.0061",="-0.031"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="714.month",="-0.017",="-0.030",="-0.0044",="-0.040"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="715.month",="-0.019",="-0.020",="-0.0029",="-0.032"
="",="(0.013)",="(0.014)",="(0.014)",="(0.013)"

="716.month",="-0.016",="-0.033",="-0.0070",="-0.041"
