
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo"

="active_pastn",="0.093***",="",="0.020***",="",="0.019***",="",="0.020***",="",="0.022***",="",="0.024***",=""
="",="(0.0018)",="",="(0.00065)",="",="(0.00067)",="",="(0.00073)",="",="(0.00082)",="",="(0.00091)",=""

="2913.date_opening",="0",="0",="0",="0",="0",="0",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",=""

="2914.date_opening",="0.011",="-0.022",="-0.0050",="0.030",="-0.0064",="2.7e-12",="0",="0",="",="",="",=""
="",="(0.027)",="(0.019)",="(0.0048)",="(0.030)",="(0.0060)",="(0.000098)",="(.)",="(.)",="",="",="",=""

="2915.date_opening",="-0.012",="0.021",="-0.0049",="0.022",="-0.0062",="1.8e-12",="-0.0067",="-6.1e-13",="0",="0",="",=""
="",="(0.020)",="(0.028)",="(0.0045)",="(0.022)",="(0.0057)",="(0.000094)",="(0.0055)",="(0.00059)",="(.)",="(.)",="",=""

="2916.date_opening",="0.0066",="-0.018",="-0.0058",="3.6e-12",="-0.0055",="-2.5e-12",="0.0013",="2.0e-11",="-5.5e-13",="3.8e-13",="0",="0"
="",="(0.023)",="(0.019)",="(0.0042)",="(0.000064)",="(0.0057)",="(0.000093)",="(0.0060)",="(0.00065)",="(.)",="(0.0000045)",="(.)",="(.)"

="2917.date_opening",="-0.0075",="0.0034",="-0.0054",="0.026*",="-0.0053",="1.1e-12",="-0.0027",="-6.1e-13",="0.0031",="5.8e-12",="7.7e-13",="1.3e-12"
="",="(0.022)",="(0.017)",="(0.0039)",="(0.015)",="(0.0057)",="(0.000093)",="(0.0057)",="(0.00062)",="(0.0021)",="(0.00017)",="(.)",="(.)"

="2918.date_opening",="0.0068",="-0.010",="-0.0058",="0.013",="-0.0038",="0.010",="0.0033",="-6.1e-13",="0.0029",="-1.2e-11",="0.0024",="-5.8e-13"
