
="",="(0.013)",="(0.018)",="(0.032)",="(0.021)",="(0.016)",="(0.017)",="(0.028)",="(0.018)",="(0.0031)",="(0.0042)",="(0.0038)",="(0.0067)",="(0.013)",="(0.015)",="(0.018)"

="dummy_dow5",="0.0097",="0.015",="0.000013",="0.0000032",="0.0000023",="-0.0000043",="0",="7.8e-17",="0",="-0.0013",="-0.0000083",="-0.013",="-0.012",="-0.019",="-0.037"
="",="(0.0093)",="(0.013)",="(0.025)",="(0.022)",="(0.019)",="(0.013)",="(0.023)",="(0.018)",="(0.0030)",="(0.0047)",="(0.0043)",="(0.0083)",="(0.014)",="(0.016)",="(0.017)"

="dummy_dow6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="-0.28",="-0.24",="-0.28",="-0.23",="-0.21",="-0.24",="0",="-7.8e-17",="0",="-0.0065",="-0.0026",="-0.016",="-0.062",="-0.063",="-0.054"
="",="(0.031)",="(0.054)",="(0.051)",="(0.021)",="(0.024)",="(0.016)",="(0.13)",="(0.23)",="(0.043)",="(0.0067)",="(0.0059)",="(0.011)",="(0.010)",="(0.013)",="(0.0067)"

="dummy_suc2",="-0.30",="-0.26",="-0.30",="-0.27",="-0.29",="-0.26",="0",="7.4e-17",="0",="-0.051",="-0.18",="-0.037",="-0.082",="-0.082",="-0.054"
="",="(0.027)",="(0.023)",="(0.038)",="(0.047)",="(0.042)",="(0.045)",="(0.014)",="(0.022)",="(0.0097)",="(0.050)",="(0.050)",="(0.049)",="(0.011)",="(0.014)",="(0.0099)"

="dummy_suc3",="-0.14",="-0.13",="-0.11",="-0.039",="-0.046",="-0.043",="0",="1.7e-16",="0",="-0.011",="-0.0077",="-0.016",="-0.060",="-0.061",="-0.052"
="",="(0.045)",="(0.046)",="(0.058)",="(0.025)",="(0.028)",="(0.025)",="(0.095)",="(0.12)",="(0.041)",="(0.0069)",="(0.0062)",="(0.011)",="(0.012)",="(0.015)",="(0.0068)"

="dummy_suc4",="-0.30",="-0.27",="-0.31",="-0.24",="-0.21",="-0.28",="0",="7.4e-17",="0",="-0.016",="-0.013",="-0.021",="-0.044",="-0.046",="-0.027"
="",="(0.027)",="(0.021)",="(0.037)",="(0.046)",="(0.041)",="(0.034)",="(0.089)",="(0.12)",="(0.035)",="(0.0074)",="(0.0067)",="(0.012)",="(0.013)",="(0.015)",="(0.013)"

="dummy_suc5",="-0.17",="-0.18",="-0.16",="-0.032",="-0.040",="-0.045",="0",="3.7e-18",="0",="-0.012",="-0.0086",="-0.016",="-0.064",="-0.060",="-0.054"
="",="(0.042)",="(0.037)",="(0.054)",="(0.022)",="(0.021)",="(0.035)",="(0.088)",="(0.12)",="(0.035)",="(0.0068)",="(0.0058)",="(0.011)",="(0.0096)",="(0.013)",="(0.0074)"

="dummy_suc6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="0.018",="0.026",="0.0058",="-0.0073",="-0.012",="0.0000043",="0",="-8.1e-17",="0",="0.0089",="0.0051",="0.018",="0.047",="0.038",="0.030"
="",="(0.0068)",="(0.015)",="(0.018)",="(0.025)",="(0.022)",="(0.020)",="(0.023)",="(0.011)",="(0.0024)",="(0.0034)",="(0.0026)",="(0.0065)",="(0.0090)",="(0.011)",="(0.0097)"

="num_arms_d4",="0.091",="0.12",="0.065",="0.0000029",="0.012",="0.021",="0",="1.9e-17",="0",="0.0046",="0.0043",="0.018",="0.050",="0.048",="0.037"
="",="(0.034)",="(0.047)",="(0.044)",="(0.031)",="(0.024)",="(0.024)",="(0.027)",="(0.011)",="(0.0032)",="(0.0047)",="(0.0045)",="(0.0079)",="(0.019)",="(0.020)",="(0.015)"

="num_arms_d5",="0.16",="0.18",="0.11",="0.019",="0.022",="0.066",="0.023",="1.3e-16",="0",="0.0081",="-0.00056",="0.036",="0.085",="0.066",="0.088"
="",="(0.034)",="(0.040)",="(0.061)",="(0.034)",="(0.035)",="(0.035)",="(0.082)",="(0.015)",="(0.029)",="(0.0074)",="(0.0097)",="(0.013)",="(0.020)",="(0.020)",="(0.0091)"

="num_arms_d6",="0.13",="0.18",="0.065",="0.039",="0.069",="0.18",="0",="-7.8e-17",="-0.15",="0.00062",="0.0020",="0.013",="0.024",="0.037",="0.12"
="",="(0.16)",="(0.043)",="(0.12)",="(0.083)",="(0.054)",="(0.044)",="(0.10)",="(0.019)",="(0.065)",="(0.047)",="(0.049)",="(0.13)",="(0.037)",="(0.024)",="(0.015)"

="visit_number_d2",="0.024",="0.038",="0.0091",="0.037",="0.059",="0.010",="0",="0",="0",="0.00013",="0.0034",="-0.0025",="-0.0026",="0.0017",="-0.0026"
="",="(0.023)",="(0.030)",="(0.029)",="(0.026)",="(0.023)",="(0.021)",="(0.084)",="(0.11)",="(0.028)",="(0.0035)",="(0.0026)",="(0.0062)",="(0.0057)",="(0.012)",="(0.0083)"

="visit_number_d3",="0.019",="0.0031",="0.033",="0.013",="0.022",="-0.021",="0",="-1.6e-16",="0",="-0.012",="-0.024",="-0.036",="-0.058",="-0.057",="-0.057"
="",="(0.042)",="(0.029)",="(0.056)",="(0.029)",="(0.047)",="(0.038)",="(0.032)",="(0.015)",="(0.0034)",="(0.0083)",="(0.0099)",="(0.0087)",="(0.016)",="(0.014)",="(0.017)"

="visit_number_d4",="0.16",="0.19",="0.22",="0.037",="0.053",="0.030",="0",="0.023",="0.15",="0.0017",="0.0017",="-0.0024",="-0.040",="-0.049",="-0.015"
="",="(0.063)",="(0.041)",="(0.054)",="(0.038)",="(0.034)",="(0.034)",="(0.032)",="(0.11)",="(0.062)",="(0.0097)",="(0.0041)",="(0.0078)",="(0.029)",="(0.021)",="(0.022)"

="visit_number_d5",="0.091",="0.073",="0.12",="0.041",="0.035",="0.030",="0.16",="0.19",="0.19",="0.0044",="0.0074",="-0.012",="-0.012",="-0.053",="-0.043"
="",="(0.034)",="(0.071)",="(0.065)",="(0.036)",="(0.032)",="(0.037)",="(0.099)",="(0.14)",="(0.014)",="(0.0065)",="(0.0099)",="(0.016)",="(0.057)",="(0.095)",="(0.0100)"

="visit_number_d6",="-0.086",="-0.12",="-0.078",="0.020",="0.010",="-0.18",="0",="-5.6e-17",="0.20",="0.031",="0.032",="0.089",="-0.023",="-0.041",="0.012"
="",="(0.055)",="(0.22)",="(0.045)",="(0.041)",="(0.084)",="(0.060)",="(0.038)",="(0.029)",="(0.14)",="(0.011)",="(0.015)",="(0.018)",="(0.043)",="(0.023)",="(0.019)"

="visit_number_d7",="-0.18",="0.14",="-0.17",="0",="0.050",="-0.23",="0.16",="0.19",="0.15",="0.018",="0.033",="-0.023",="0.077",="0.10",="-0.100"
="",="(0.035)",="(0.055)",="(0.12)",="(0.12)",="(0.041)",="(0.15)",="(0.11)",="(0.12)",="(0.067)",="(0.014)",="(0.017)",="(0.012)",="(0.10)",="(0.022)",="(0.017)"

="pro_8",="",="0.027",="",="",="0.015",="",="",="-1.9e-18",="",="",="0.0043",="",="",="0.000021",=""
="",="",="(0.011)",="",="",="(0.012)",="",="",="(0.0068)",="",="",="(0.0022)",="",="",="(0.0061)",=""

="pro_9",="",="",="-0.0016",="",="",="4.2e-17",="",="",="0",="",="",="0.016",="",="",="0.026"
="",="",="",="(0.014)",="",="",="(0.012)",="",="",="(0.0017)",="",="",="(0.0078)",="",="",="(0.0052)"

="_cons",="-1.61",="-1.65",="-1.59",="-1.43",="-1.46",="-1.43",="-1.43",="-1.43",="-1.43",="-1.23",="-1.23",="-1.22",="-1.16",="-1.15",="-1.15"
="",="(0.028)",="(0.024)",="(0.043)",="(0.021)",="(0.026)",="(0.016)",="(0.025)",="(0.017)",="(0.0027)",="(0.0077)",="(0.0067)",="(0.012)",="(0.015)",="(0.019)",="(0.018)"

="N",="5340",="4483",="3442",="5340",="4483",="3442",="5340",="4483",="3442",="5340",="4483",="3442",="5340",="4483",="3442"
="R-sq",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Control Mean",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45",="-1.45"

="Standard errors in parentheses"
