
="visit_number_d7",="0.0058",="0.088",="-0.062",="-0.097",="0.037",="-0.23",="0.0021",="0.12",="-0.10"
="",="(0.058)",="(0.048)",="(0.072)",="(0.098)",="(0.062)",="(0.12)",="(0.080)",="(0.063)",="(0.099)"

="pro_8",="",="0.012",="",="",="0.014",="",="",="0.014",=""
="",="",="(0.013)",="",="",="(0.016)",="",="",="(0.018)",=""

="pro_9",="",="",="0.00055",="",="",="-0.022",="",="",="-0.0023"
="",="",="",="(0.014)",="",="",="(0.023)",="",="",="(0.022)"

="_cons",="-1.47",="-1.58",="-1.57",="-1.68",="-1.70",="-1.61",="-1.57",="-1.51",="-1.59"
="",="(0.021)",="(0.020)",="(0.023)",="(0.026)",="(0.031)",="(0.040)",="(0.026)",="(0.039)",="(0.035)"

="N",="5340",="4483",="3442",="2774",="2289",="1851",="3607",="3061",="2323"
="R-sq",="0.035",="0.037",="0.043",="0.036",="0.040",="0.040",="0.051",="0.052",="0.062"
="Control Mean",="-1.45",="-1.45",="-1.45",="-1.52",="-1.52",="-1.52",="-1.46",="-1.46",="-1.46"
="p-value",="",="",="0.78",="",="",="0.95",="",="",="0.75"

="Standard errors in parentheses"
