
="",="(1)",="(2)",="(3)"
="",="",="",=""

="ATE",="55.7***",="510.0***",="11.7***"
="",="(11.2)",="(123.5)",="(2.57)"

="ToT",="7.38",="194.4",="22.1"
="",="(112.1)",="(1252.7)",="(22.2)"

="TuT",="61.5***",="547.7***",="10.5***"
="",="(13.0)",="(130.0)",="(2.71)"

="E[Y1]",="-227.7***",="-2073.6***",="49.0***"
="",="(7.73)",="(74.5)",="(1.85)"

="E[Y0]",="-172.0***",="-1563.6***",="60.7***"
="",="(8.06)",="(98.5)",="(1.79)"

="ToT-TuT",="-54.1",="-353.3",="11.6"
="",="(119.7)",="(1324.7)",="(23.5)"

="ASB",="53.5",="661.6",="-15.7"
="",="(118.2)",="(1320.1)",="(23.2)"

="ASL",="-0.63",="308.3*",="-4.09"
="",="(19.2)",="(169.0)",="(4.49)"

="N",="6304",="6304",="6304"
="Control Mean",="-227.7",="-2073.6",="49.0"
="H_0 : ATE-TuT=0",="0.65",="0.79",="0.62"
="H_0 : ATE-ToT=0",="0.65",="0.79",="0.62"
="H_0 : ToT-TuT=0",="0.65",="0.79",="0.62"
="H_0 : ToT-TuT$\geq$ 0",="0.67",="0.61",="0.31"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
