
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="dias_primer_pago",="first_pay_porc",="rec_fd",="num_v",="num_v_d",="num_v_r",="mn_p_c_p",="dias_al_desempenyo",="dias_ultimo_mov",="sum_porcp_c",="sum_porcp_c_d",="pay_default",="zero_pay_default",="zero_pay_default_d"

="3.t_producto",="-5.38***",="-0.042*",="-0.039*",="0.079*",="-0.036",="0.21***",="-0.042**",="-1.35",="-0.21",="0.0040",="-0.0029",="-0.025",="0.016",="0.039"
="",="(1.48)",="(0.022)",="(0.020)",="(0.041)",="(0.057)",="(0.045)",="(0.021)",="(3.25)",="(2.87)",="(0.023)",="(0.015)",="(0.020)",="(0.020)",="(0.030)"

="5.t_producto",="-2.56**",="-0.011",="-0.0098",="0.00037",="-0.042",="0.050",="-0.017",="-3.52",="-1.95",="-0.011",="-0.0068",="-0.014",="0.016",="0.029"
="",="(1.24)",="(0.023)",="(0.021)",="(0.033)",="(0.048)",="(0.041)",="(0.022)",="(3.22)",="(2.82)",="(0.022)",="(0.013)",="(0.019)",="(0.019)",="(0.027)"

="N",="5081",="7525",="7525",="7525",="4265",="3260",="7525",="3260",="6978",="7525",="4265",="7525",="7525",="4265"
="R-sq",="0.034",="0.018",="0.023",="0.021",="0.047",="0.037",="0.019",="0.025",="0.031",="0.014",="0.042",="0.038",="0.018",="0.058"
="Control Mean",="82.5",="0.48",="0.34",="0.99",="0.75",="1.30",="0.52",="92.5",="116.1",="0.64",="0.18",="0.25",="0.31",="0.55"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
