
="",="(1)"
="",="def_c"

="1.Class",=""
="choose_commitment",="-1.73"
="",="(0.76)"

="faltas",="3.93"
="",="(3.28)"

="pb",="0.48"
="",="(0.63)"

="0.plan_gasto",="0"
="",="(.)"

="1.plan_gasto",="-1.11"
="",="(0.71)"

="2.plan_gasto",="0.070"
="",="(0.54)"

="pres_antes",="-2.88"
="",="(2.36)"

="pr_recup",="-0.011"
="",="(0.014)"

="edad",="-0.031"
="",="(0.023)"

="genero",="-0.34"
="",="(0.45)"

="masqueprepa",="-1.00"
="",="(0.76)"

="_cons",="6.72"
="",="(3.19)"

="2b.Class",=""
="choose_commitment",="0"
="",="(.)"

="faltas",="0"
="",="(.)"

="pb",="0"
="",="(.)"

="0.plan_gasto",="0"
="",="(.)"

="1.plan_gasto",="0"
="",="(.)"

="2.plan_gasto",="0"
="",="(.)"

="pres_antes",="0"
="",="(.)"

="pr_recup",="0"
="",="(.)"

="edad",="0"
="",="(.)"

="genero",="0"
="",="(.)"

="masqueprepa",="0"
="",="(.)"

="_cons",="0"
="",="(.)"

="def_c",=""
="1.Class#c.log_prestamo",="-0.94"
="",="(0.47)"

="2.Class#c.log_prestamo",="4.24"
="",="(1.68)"

="1.Class#c.val_pren_pr",="0.00012"
="",="(0.000082)"

="2.Class#c.val_pren_pr",="-0.00080"
="",="(0.00035)"

="1.Class",="7.31"
="",="(3.36)"

="2.Class",="-29.5"
="",="(11.5)"

="N",="786"
="prop_def1",="0.70"
="prop_def1_lw",="0.58"
="prop_def1_hi",="0.81"

="Standard errors in parentheses"
