
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_survey_disc",="fc_survey_disc",="fc_survey_disc",="fc_trans_disc",="fc_trans_disc",="fc_trans_disc",="fc_survey_pospay",="fc_survey_pospay",="fc_survey_pospay"

="pro_4",="-84.1",="",="",="-22.5",="",="",="-142.6",="",="",="-180.1",="",=""
="",="(121.1)",="",="",="(192.9)",="",="",="(244.9)",="",="",="(211.2)",="",=""

="dummy_dow1",="425.5",="-22.5",="601.8",="224.9",="-182.1",="-529.9",="-13.4",="-123.7",="-41.0",="-179.5",="-240.7",="-166.6"
="",="(190.6)",="(210.3)",="(279.8)",="(266.5)",="(330.0)",="(478.0)",="(299.5)",="(328.8)",="(444.7)",="(286.3)",="(300.0)",="(339.1)"

="dummy_dow2",="330.0",="-133.6",="768.7",="310.6",="-36.3",="0",="-196.9",="-239.9",="0",="-242.5",="-292.7",="360.9"
="",="(217.6)",="(245.5)",="(299.5)",="(343.4)",="(406.4)",="(.)",="(381.7)",="(421.3)",="(.)",="(334.7)",="(356.0)",="(443.8)"

="dummy_dow3",="0",="-428.3",="0",="0",="-312.7",="-594.4",="-293.1",="-289.1",="-479.9",="-432.3",="-439.7",="33.5"
="",="(.)",="(213.5)",="(.)",="(.)",="(367.7)",="(449.2)",="(413.9)",="(454.7)",="(477.6)",="(305.2)",="(332.2)",="(365.2)"

="dummy_dow4",="465.5",="0",="436.0",="508.0",="150.5",="-258.7",="-93.2",="-152.7",="-287.7",="0",="0",="-17.8"
="",="(211.3)",="(.)",="(269.5)",="(305.2)",="(372.1)",="(492.1)",="(372.8)",="(396.9)",="(496.3)",="(.)",="(.)",="(379.5)"

="dummy_dow5",="464.0",="11.5",="546.8",="741.1",="413.9",="-181.9",="601.6",="585.5",="230.6",="529.4",="519.2",="494.4"
="",="(172.6)",="(192.3)",="(235.8)",="(315.0)",="(386.7)",="(446.8)",="(393.3)",="(423.8)",="(463.3)",="(376.8)",="(394.4)",="(418.0)"

="dummy_dow6",="364.8",="-69.2",="307.9",="303.7",="0",="-297.2",="0",="0",="406.4",="-382.2",="-372.4",="0"
="",="(191.8)",="(226.2)",="(245.0)",="(345.4)",="(.)",="(492.0)",="(.)",="(.)",="(538.0)",="(298.6)",="(312.9)",="(.)"

="dummy_suc1",="30.6",="69.3",="0",="861.1",="357.2",="-702.9",="1336.5",="142.7",="1173.8",="1353.1",="1489.1",="-998.6"
