
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="des_c",="fc_admin",="fc_admin_disc",="fc_survey",="fc_trans",="num_p",="sum_porcp_c",="mn_p_c",="mn_pdisc_c",="dias_al_desempenyo",="reincidence"

="fee",="0.078***",="-260.9***",="-255.0***",="378.9",="-221.1**",="0.099***",="0.059***",="22.1",="26.0",="-0.60",="0.030***"
="",="(0.015)",="(70.1)",="(65.8)",="(325.6)",="(105.2)",="(0.029)",="(0.015)",="(29.7)",="(24.9)",="(1.81)",="(0.0073)"

="dummy_dow1",="0.014",="193.4*",="169.7",="-663.1",="238.0",="0.051",="-0.013",="60.2",="46.6",="1.56",="-0.0061"
="",="(0.018)",="(115.4)",="(105.8)",="(425.6)",="(165.9)",="(0.042)",="(0.020)",="(42.6)",="(35.3)",="(2.52)",="(0.013)"

="dummy_dow2",="0.0066",="145.6",="142.7",="180.7",="170.6",="0.015",="-0.015",="50.6",="39.2",="1.92",="-0.0069"
="",="(0.018)",="(115.5)",="(103.4)",="(542.4)",="(183.7)",="(0.039)",="(0.019)",="(41.4)",="(34.3)",="(2.52)",="(0.013)"

="dummy_dow3",="0",="-33.5",="0",="-15.8",="0",="0",="-0.037*",="0",="0",="0",="0.0088"
="",="(.)",="(109.5)",="(.)",="(678.5)",="(.)",="(.)",="(0.020)",="(.)",="(.)",="(.)",="(0.013)"

="dummy_dow4",="0.018",="2.25",="19.0",="-407.9",="59.7",="-0.014",="-0.028",="5.98",="3.38",="5.41**",="0.023*"
="",="(0.019)",="(108.2)",="(97.5)",="(462.5)",="(178.6)",="(0.039)",="(0.022)",="(40.7)",="(33.5)",="(2.56)",="(0.013)"

="dummy_dow5",="0.00038",="148.3",="141.5",="-88.8",="429.7***",="-0.014",="-0.027",="33.3",="21.9",="0.70",="-0.0088"
="",="(0.017)",="(108.9)",="(97.1)",="(547.7)",="(160.0)",="(0.041)",="(0.019)",="(42.1)",="(34.7)",="(2.47)",="(0.013)"

="dummy_dow6",="0.031*",="0",="-17.8",="0",="167.5",="0.076*",="0",="34.0",="25.9",="4.40",="0"
="",="(0.018)",="(.)",="(102.5)",="(.)",="(171.2)",="(0.042)",="(.)",="(46.0)",="(38.1)",="(2.68)",="(.)"

="dummy_suc1",="-0.079***",="953.3***",="744.6***",="523.4",="576.7***",="-0.0073",="0.0018",="134.0***",="96.2***",="13.7***",="0"
="",="(0.019)",="(111.4)",="(139.2)",="(433.4)",="(218.7)",="(0.053)",="(0.024)",="(42.5)",="(35.4)",="(2.60)",="(.)"

="dummy_suc2",="-0.044**",="639.0***",="417.5***",="117.7",="557.2**",="-0.0099",="0.034",="132.3***",="92.0**",="15.4***",="-0.054***"
="",="(0.020)",="(108.9)",="(137.9)",="(340.4)",="(226.3)",="(0.053)",="(0.024)",="(43.4)",="(36.2)",="(2.62)",="(0.019)"

="dummy_suc3",="0",="0",="-140.1",="524.7",="-243.9",="0",="0.056**",="0",="0",="11.7***",="-0.22***"
="",="(.)",="(.)",="(143.4)",="(448.3)",="(214.1)",="(.)",="(0.027)",="(.)",="(.)",="(3.19)",="(0.016)"

="dummy_suc4",="-0.066***",="75.4",="-67.3",="410.3",="-143.0",="-0.0055",="-0.0075",="-90.2**",="-81.7**",="10.9***",="-0.21***"
="",="(0.021)",="(111.0)",="(132.0)",="(308.7)",="(188.6)",="(0.056)",="(0.024)",="(43.3)",="(36.2)",="(2.77)",="(0.016)"

="dummy_suc5",="-0.012",="197.3",="-4.32",="0",="-303.1",="-0.14**",="0.058**",="92.0",="59.5",="13.1***",="-0.21***"
="",="(0.021)",="(121.6)",="(135.5)",="(.)",="(190.5)",="(0.055)",="(0.026)",="(56.3)",="(44.9)",="(3.27)",="(0.016)"

="dummy_suc6",="0.012",="122.7",="0",="1294.5",="0",="-0.22***",="0",="-23.8",="-11.7",="0",="-0.21***"
="",="(0.024)",="(152.4)",="(.)",="(982.4)",="(.)",="(0.061)",="(.)",="(50.7)",="(42.1)",="(.)",="(0.017)"

="num_arms_d3",="0.064***",="-303.5***",="-311.4***",="-265.4",="-116.7",="0.088**",="0.098***",="56.3",="46.6",="-2.29",=""
="",="(0.015)",="(99.5)",="(93.6)",="(247.5)",="(143.7)",="(0.038)",="(0.016)",="(40.9)",="(33.7)",="(2.10)",=""

="num_arms_d4",="0.051**",="32.6",="3.66",="1853.0**",="175.5",="-0.055",="0.092***",="35.8",="26.1",="-1.07",=""
="",="(0.023)",="(140.1)",="(132.0)",="(931.5)",="(183.8)",="(0.051)",="(0.025)",="(47.8)",="(39.2)",="(3.43)",=""

="num_arms_d5",="0.18***",="-370.4",="-478.0**",="8.15",="-628.4**",="0.078",="0.20***",="224.7*",="169.7*",="0.11",=""
="",="(0.034)",="(246.9)",="(191.8)",="(658.5)",="(289.4)",="(0.074)",="(0.036)",="(124.8)",="(94.3)",="(5.59)",=""

="num_arms_d6",="-0.057",="746.1*",="743.0*",="6835.0",="556.1",="0.13",="0.021",="-28.4",="-22.9",="-16.2**",=""
="",="(0.063)",="(387.5)",="(383.4)",="(4340.1)",="(647.8)",="(0.16)",="(0.063)",="(76.7)",="(64.6)",="(6.38)",=""

="visit_number_d2",="-0.012",="112.4",="96.8",="-659.2***",="183.4",="0.0022",="0.010",="20.6",="9.79",="2.03",=""
="",="(0.012)",="(83.5)",="(79.4)",="(230.2)",="(141.5)",="(0.028)",="(0.015)",="(34.6)",="(27.7)",="(1.87)",=""

="visit_number_d3",="-0.016",="393.3**",="381.8**",="-1201.1***",="310.9",="0.0087",="-0.00037",="-9.79",="-14.8",="0.96",=""
="",="(0.019)",="(168.5)",="(162.6)",="(420.2)",="(220.3)",="(0.043)",="(0.022)",="(51.2)",="(41.4)",="(3.16)",=""

="visit_number_d4",="-0.025",="16.8",="8.12",="795.5",="133.8",="-0.056",="0.013",="-9.49",="-17.7",="0.57",=""
="",="(0.027)",="(187.5)",="(164.1)",="(2200.8)",="(239.7)",="(0.057)",="(0.030)",="(70.5)",="(55.2)",="(3.84)",=""

="visit_number_d5",="0.0081",="223.8",="192.5",="-1760.8***",="762.4",="0.047",="0.0061",="-31.6",="-32.9",="2.89",=""
="",="(0.032)",="(351.2)",="(343.2)",="(545.2)",="(580.0)",="(0.083)",="(0.036)",="(82.8)",="(65.9)",="(5.52)",=""

="visit_number_d6",="-0.089**",="165.8",="231.4",="-1242.0",="469.7",="0.0094",="-0.079*",="-220.4**",="-173.0**",="-18.8***",=""
="",="(0.042)",="(369.6)",="(354.5)",="(1365.0)",="(493.9)",="(0.13)",="(0.043)",="(86.7)",="(71.5)",="(5.66)",=""

="visit_number_d7",="-0.058",="-600.3***",="-475.4**",="-3084.0***",="-332.6",="-0.12",="-0.056",="-152.4",="-99.1",="-13.2**",=""
="",="(0.035)",="(219.0)",="(204.1)",="(1052.6)",="(323.2)",="(0.087)",="(0.038)",="(126.5)",="(107.6)",="(6.00)",=""

="num_arms_75_d3",="",="",="",="",="",="",="",="",="",="",="-0.035*"
="",="",="",="",="",="",="",="",="",="",="",="(0.020)"

="num_arms_75_d4",="",="",="",="",="",="",="",="",="",="",="-0.079**"
="",="",="",="",="",="",="",="",="",="",="",="(0.038)"

="num_arms_75_d5",="",="",="",="",="",="",="",="",="",="",="-0.11"
="",="",="",="",="",="",="",="",="",="",="",="(0.072)"

="num_arms_75_d6",="",="",="",="",="",="",="",="",="",="",="0.073"
="",="",="",="",="",="",="",="",="",="",="",="(0.16)"

="visit_number_75_d2",="",="",="",="",="",="",="",="",="",="",="0.098***"
="",="",="",="",="",="",="",="",="",="",="",="(0.016)"

="visit_number_75_d3",="",="",="",="",="",="",="",="",="",="",="0.23***"
="",="",="",="",="",="",="",="",="",="",="",="(0.028)"

="visit_number_75_d4",="",="",="",="",="",="",="",="",="",="",="0.36***"
="",="",="",="",="",="",="",="",="",="",="",="(0.041)"

="visit_number_75_d5",="",="",="",="",="",="",="",="",="",="",="0.37***"
="",="",="",="",="",="",="",="",="",="",="",="(0.062)"

="visit_number_75_d6",="",="",="",="",="",="",="",="",="",="",="0.41***"
="",="",="",="",="",="",="",="",="",="",="",="(0.079)"

="visit_number_75_d7",="",="",="",="",="",="",="",="",="",="",="0.64***"
="",="",="",="",="",="",="",="",="",="",="",="(0.081)"

="_cons",="0.41***",="2950.0***",="2831.6***",="3742.5***",="2967.9***",="1.28***",="0.66***",="680.4***",="564.5***",="77.9***",="0.22***"
="",="(0.021)",="(121.0)",="(143.5)",="(519.1)",="(235.8)",="(0.059)",="(0.025)",="(41.8)",="(34.8)",="(2.99)",="(0.018)"

="N",="26177",="25920",="25914",="14757",="8505",="26177",="26012",="26177",="26177",="10516",="6818"
="R-sq",="0.019",="0.016",="0.016",="0.030",="0.019",="0.004",="0.014",="0.003",="0.003",="0.012",="0.185"
="Control Mean",="0.38",="3627.2",="3306.3",="3814.0",="3397.3",="1.27",="0.68",="810.3",="654.2",="92.7",="0.085"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
