
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="pago_frec_vol_fee",="pago_frec_vol_fee",="pago_frec_vol_fee",="pago_frec_vol_fee",="pago_frec_vol_fee",="pago_frec_vol_fee",="tau_hat_oobpredictions",="tau_hat_oobpredictions",="def_c",="def_c",="def_c",="def_c",="def_c",="def_c"

="pr_recup",="0.00017",="-0.00081",="",="",="",="",="-1.02",="-0.90",="-0.0032***",="-0.0033***",="",="",="",=""
="",="(0.00040)",="(0.00078)",="",="",="",="",="(0.68)",="(0.69)",="(0.00075)",="(0.00075)",="",="",="",=""

="dummy_dow1",="-0.057**",="-0.031",="-0.023",="-0.077",="-0.098**",="-0.012",="116.9**",="114.1**",="-0.12**",="-0.12**",="-0.13**",="-0.13**",="-0.12**",="-0.12**"
="",="(0.026)",="(0.064)",="(0.039)",="(0.081)",="(0.047)",="(0.068)",="(51.7)",="(51.7)",="(0.054)",="(0.054)",="(0.053)",="(0.053)",="(0.054)",="(0.054)"

="dummy_dow2",="-0.051**",="-0.013",="0.026",="-0.043",="-0.053",="0.016",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(0.025)",="(0.066)",="(0.039)",="(0.079)",="(0.046)",="(0.066)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_dow3",="0",="0.043",="0.078",="0",="0",="0.063",="52.0",="46.7",="-0.024",="-0.023",="-0.028",="-0.028",="-0.0092",="-0.0098"
="",="(.)",="(0.094)",="(0.051)",="(.)",="(.)",="(0.096)",="(52.2)",="(51.9)",="(0.051)",="(0.051)",="(0.051)",="(0.051)",="(0.051)",="(0.051)"

="dummy_dow4",="-0.055**",="0",="0",="-0.059",="-0.078",="0",="132.2***",="128.5**",="-0.11**",="-0.11**",="-0.13**",="-0.13**",="-0.11**",="-0.11**"
="",="(0.026)",="(.)",="(.)",="(0.096)",="(0.051)",="(.)",="(50.6)",="(50.6)",="(0.052)",="(0.052)",="(0.052)",="(0.052)",="(0.052)",="(0.052)"

="dummy_dow5",="-0.077***",="-0.070",="-0.034",="-0.12",="-0.11**",="-0.060",="8.71",="5.18",="-0.025",="-0.024",="-0.037",="-0.040",="-0.030",="-0.031"
="",="(0.023)",="(0.067)",="(0.037)",="(0.079)",="(0.044)",="(0.069)",="(55.4)",="(55.2)",="(0.053)",="(0.053)",="(0.053)",="(0.053)",="(0.053)",="(0.053)"

="dummy_dow6",="-0.026",="0.0035",="0.067",="-0.035",="-0.012",="0.038",="57.7",="56.2",="-0.065",="-0.064",="-0.072",="-0.074",="-0.065",="-0.065"
="",="(0.028)",="(0.074)",="(0.044)",="(0.093)",="(0.050)",="(0.084)",="(59.4)",="(59.2)",="(0.057)",="(0.057)",="(0.058)",="(0.058)",="(0.058)",="(0.058)"

="dummy_suc1",="-0.0097",="0.015",="0.10***",="0.024",="0.10***",="0.10*",="110.1*",="104.6*",="-0.18***",="-0.18***",="-0.12**",="-0.12**",="-0.18***",="-0.18***"
="",="(0.026)",="(0.058)",="(0.032)",="(0.061)",="(0.033)",="(0.060)",="(60.7)",="(60.9)",="(0.057)",="(0.057)",="(0.058)",="(0.059)",="(0.057)",="(0.057)"

="dummy_suc2",="0",="0",="0.10***",="0",="0.088**",="0.055",="-108.1",="-110.8",="-0.073",="-0.073",="-0.0046",="-0.00077",="-0.048",="-0.048"
="",="(.)",="(.)",="(0.035)",="(.)",="(0.035)",="(0.056)",="(68.1)",="(68.3)",="(0.060)",="(0.060)",="(0.060)",="(0.060)",="(0.059)",="(0.059)"

="dummy_suc3",="0.037",="0.12*",="0.19***",="0.10*",="0.21***",="0.20***",="89.4",="86.4",="-0.074",="-0.074",="-0.018",="-0.018",="-0.071",="-0.071"
="",="(0.026)",="(0.068)",="(0.037)",="(0.060)",="(0.038)",="(0.066)",="(59.4)",="(59.2)",="(0.057)",="(0.057)",="(0.057)",="(0.058)",="(0.057)",="(0.057)"

="dummy_suc4",="-0.12***",="-0.14**",="-0.045**",="-0.12**",="-0.044**",="-0.041",="73.6",="71.0",="-0.084",="-0.085",="-0.043",="-0.045",="-0.067",="-0.068"
="",="(0.021)",="(0.054)",="(0.021)",="(0.048)",="(0.021)",="(0.044)",="(57.7)",="(58.0)",="(0.054)",="(0.054)",="(0.055)",="(0.055)",="(0.054)",="(0.054)"

="dummy_suc5",="-0.080***",="-0.094",="0",="-0.080",="0",="0",="105.0*",="97.5*",="0.015",="0.014",="0.055",="0.047",="0.022",="0.021"
="",="(0.024)",="(0.058)",="(.)",="(0.057)",="(.)",="(.)",="(57.7)",="(58.3)",="(0.056)",="(0.057)",="(0.056)",="(0.057)",="(0.056)",="(0.057)"

="dummy_suc6",="0.23***",="0.20***",="0.29***",="0.21***",="0.30***",="0.29***",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(0.034)",="(0.069)",="(0.045)",="(0.063)",="(0.045)",="(0.063)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="-0.019",="-0.016",="-0.0082",="-0.016",="-0.012",="-0.017",="9.37",="6.51",="-0.012",="-0.012",="-0.012",="-0.011",="-0.014",="-0.014"
="",="(0.017)",="(0.033)",="(0.029)",="(0.035)",="(0.029)",="(0.035)",="(36.7)",="(36.7)",="(0.043)",="(0.043)",="(0.043)",="(0.043)",="(0.044)",="(0.044)"

="num_arms_d4",="0.035",="0.15**",="0.092",="0.15**",="0.087",="0.15*",="-36.2",="-33.8",="-0.11",="-0.11",="-0.10",="-0.10",="-0.12",="-0.12"
