
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="demand_past_immn",="def",="def",="def",="def",="demand_past_immn",="def",="def",="def",="def",="demand_past_immn",="def",="def",="def",="def",="demand_past_immn",="def",="def",="def",="def"

="active_pastn",="0.029",="",="",="-0.019",="-0.0098",="0.012",="",="",="-0.0036",="-0.0060",="0.028",="",="",="-0.020",="-0.011",="0.011",="",="",="-0.0053",="-0.0073"
="",="(0.00087)",="",="",="(0.0032)",="(0.0032)",="(0.0010)",="",="",="(0.0049)",="(0.0050)",="(0.00092)",="",="",="(0.0034)",="(0.0034)",="(0.0011)",="",="",="(0.0054)",="(0.0054)"

="demand_past_immn",="",="-0.67",="",="",="",="",="-0.31",="",="",="",="",="-0.70",="",="",="",="",="-0.47",="",="",=""
="",="",="(0.11)",="",="",="",="",="(0.42)",="",="",="",="",="(0.12)",="",="",="",="",="(0.48)",="",="",=""

="residual",="",="0.33",="",="",="",="",="0.44",="",="",="",="",="0.38",="",="",="",="",="0.63",="",="",=""
="",="",="(0.11)",="",="",="",="",="(0.42)",="",="",="",="",="(0.12)",="",="",="",="",="(0.48)",="",="",=""

="pr",="",="",="-0.34",="",="",="",="",="-0.51",="",="",="",="",="-0.39",="",="",="",="",="-0.66",="",=""
="",="",="",="(0.11)",="",="",="",="",="(0.42)",="",="",="",="",="(0.12)",="",="",="",="",="(0.49)",="",=""

="_cons",="-0.0011",="0.74",="0.74",="0.74",="0.74",="0.014",="0.70",="0.71",="0.69",="0.71",="-0.0012",="0.75",="0.75",="0.75",="0.75",="0.013",="0.72",="0.73",="0.71",="0.72"
="",="(0.000100)",="(0.0025)",="(0.0025)",="(0.0026)",="(0.0026)",="(0.00059)",="(0.0086)",="(0.0086)",="(0.0029)",="(0.0028)",="(0.00011)",="(0.0026)",="(0.0026)",="(0.0027)",="(0.0027)",="(0.00065)",="(0.0095)",="(0.0094)",="(0.0031)",="(0.0031)"

="N",="73984",="73984",="72807",="73984",="72807",="27768",="27768",="26885",="27768",="26885",="64785",="64785",="63774",="64785",="63774",="22442",="22442",="21750",="22442",="21750"
="R-sq",="0.019",="0.016",="0.007",="0.007",="0.007",="0.494",="0.562",="0.557",="0.561",="0.557",="0.020",="0.016",="0.007",="0.007",="0.007",="0.524",="0.579",="0.575",="0.578",="0.575"
="DepVarMean",="0.016",="0.73",="0.74",="0.73",="0.74",="0.020",="0.69",="0.70",="0.69",="0.70",="0.016",="0.74",="0.75",="0.74",="0.75",="0.020",="0.71",="0.72",="0.71",="0.72"

="Standard errors in parentheses"
