
="",="(0.010)",="(0.010)",="(0.012)",="(0.0027)",="(0.0032)",="(0.0050)",="(0.077)",="(0.15)",="(0.0084)",="(0.019)",="(0.026)",="(0.034)",="(0.0066)",="(0.0083)",="(0.012)"

="num_arms_d4",="-0.044",="-0.055",="-0.047",="-0.0096",="-0.0089",="-0.0078",="2.8e-16",="0",="0",="-0.0046",="-0.012",="-0.039",="-0.072",="-0.068",="-0.048"
="",="(0.015)",="(0.016)",="(0.021)",="(0.0046)",="(0.0041)",="(0.0056)",="(0.19)",="(0.27)",="(0.016)",="(0.021)",="(0.023)",="(0.041)",="(0.020)",="(0.0084)",="(0.052)"

="num_arms_d5",="-0.063",="-0.063",="-0.081",="-0.0087",="-0.013",="-0.0052",="0",="0",="0",="-0.0062",="-0.012",="-0.050",="-0.12",="-0.052",="-0.080"
="",="(0.018)",="(0.018)",="(0.023)",="(0.0054)",="(0.0067)",="(0.019)",="(0.29)",="(0.32)",="(0.020)",="(0.028)",="(0.025)",="(0.051)",="(0.038)",="(0.026)",="(0.066)"

="num_arms_d6",="-0.091",="-0.091",="-0.12",="0.076",="0.17",="-0.0069",="0.19",="0.19",="0.050",="0.22",="0.23",="-0.039",="-0.0026",="-0.0026",="-0.034"
="",="(0.022)",="(0.040)",="(0.043)",="(0.11)",="(0.12)",="(0.14)",="(1.49)",="(0.32)",="(0.098)",="(0.024)",="(0.026)",="(0.098)",="(0.0073)",="(0.0088)",="(0.073)"

="visit_number_d2",="0.012",="0.011",="0.0026",="0.000010",="0.0015",="-0.0034",="-2.8e-17",="0",="0",="-0.0073",="-0.012",="-0.021",="-0.0052",="-0.0063",="0.012"
="",="(0.0094)",="(0.010)",="(0.012)",="(0.0024)",="(0.0028)",="(0.0051)",="(0.090)",="(0.20)",="(0.042)",="(0.018)",="(0.021)",="(0.036)",="(0.011)",="(0.012)",="(0.021)"

="visit_number_d3",="0.038",="0.044",="0.072",="0.010",="0.0089",="0.034",="-2.8e-16",="0",="0",="0.0025",="0.0089",="0.024",="0.0063",="0.015",="-0.014"
="",="(0.013)",="(0.013)",="(0.017)",="(0.0066)",="(0.010)",="(0.045)",="(0.28)",="(1.42)",="(0.033)",="(0.029)",="(0.024)",="(0.055)",="(0.026)",="(0.011)",="(0.036)"

="visit_number_d4",="0.027",="0.020",="0.042",="0.00098",="0.0015",="-0.0000050",="-0.15",="-0.0093",="-0.050",="-0.042",="-0.037",="-0.029",="-0.19",="-0.20",="-0.21"
="",="(0.022)",="(0.027)",="(0.026)",="(0.0037)",="(0.0052)",="(0.0068)",="(1.45)",="(9.60)",="(0.057)",="(0.027)",="(0.028)",="(0.050)",="(0.038)",="(0.083)",="(0.048)"

="visit_number_d5",="0.067",="0.064",="0.058",="-0.0054",="0.0033",="-0.010",="-0.011",="-0.011",="-0.19",="-0.040",="-0.034",="-0.018",="-0.079",="-0.14",="-0.19"
="",="(0.018)",="(0.018)",="(0.031)",="(0.0060)",="(0.0082)",="(0.019)",="(1.50)",="(9.98)",="(0.049)",="(0.084)",="(0.071)",="(0.048)",="(0.064)",="(0.056)",="(0.088)"

="visit_number_d6",="-0.10",="-0.11",="0.016",="-0.16",="-0.15",="-0.088",="-0.20",="-0.19",="-0.20",="-0.034",="-0.029",="-0.018",="0.11",="0.11",="0.073"
="",="(0.036)",="(0.019)",="(0.062)",="(0.015)",="(0.0086)",="(0.064)",="(1.37)",="(9.92)",="(0.12)",="(0.11)",="(0.063)",="(0.30)",="(0.041)",="(0.10)",="(0.061)"

="visit_number_d7",="-0.0064",="-0.016",="0.080",="-0.061",="-0.061",="-0.0091",="-0.19",="-0.19",="-0.18",="-0.18",="-0.18",="-0.17",="-0.079",="-0.16",="-0.22"
="",="(0.040)",="(0.039)",="(0.025)",="(0.013)",="(0.017)",="(0.021)",="(0.24)",="(.)",="(0.089)",="(0.070)",="(0.071)",="(0.14)",="(0.22)",="(0.24)",="(0.070)"

="pro_6",="",="-0.0059",="",="",="-0.0030",="",="",="0",="",="",="0.0023",="",="",="0.00000036",=""
="",="",="(0.0050)",="",="",="(0.0025)",="",="",="(0.18)",="",="",="(0.016)",="",="",="(0.0034)",=""

="pro_7",="",="",="-0.063",="",="",="-0.078",="",="",="-0.11",="",="",="-0.058",="",="",="-0.23"
="",="",="",="(0.0078)",="",="",="(0.0050)",="",="",="(0.038)",="",="",="(0.024)",="",="",="(0.027)"

="_cons",="1.13",="1.14",="1.14",="1.22",="1.23",="1.23",="1.43",="1.43",="1.43",="1.43",="1.44",="1.45",="1.63",="1.64",="1.65"
="",="(0.014)",="(0.019)",="(0.027)",="(0.0087)",="(0.0065)",="(0.0083)",="(1.81)",="(9.87)",="(0.045)",="(0.021)",="(0.026)",="(0.043)",="(0.041)",="(0.040)",="(0.059)"

="N",="5992",="5647",="2930",="5992",="5647",="2930",="5992",="5647",="2930",="5992",="5647",="2930",="5992",="5647",="2930"
="R-sq",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Control Mean",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45",="1.45"

="Standard errors in parentheses"
