
="",="(1)",="(2)",="(3)"
="38.week",="0.068",="0.068",="0.10"
="",="(0.028)",="(0.029)",="(0.029)"

="39.week",="0.056",="0.044",="0.10"
="",="(0.028)",="(0.029)",="(0.029)"

="40.week",="0.024",="0.0072",="0.066"
="",="(0.028)",="(0.029)",="(0.029)"

="41.week",="0.025",="0.013",="0.078"
="",="(0.028)",="(0.029)",="(0.029)"

="42.week",="0.053",="0.049",="0.098"
="",="(0.028)",="(0.030)",="(0.029)"

="43.week",="0.063",="0.058",="0.10"
="",="(0.028)",="(0.029)",="(0.029)"

="44.week",="0.0075",="-0.0066",="0.046"
="",="(0.029)",="(0.030)",="(0.029)"

="45.week",="0.041",="0.048",="0.087"
="",="(0.029)",="(0.030)",="(0.030)"

="46.week",="0.0099",="0.0063",="0.058"
="",="(0.028)",="(0.029)",="(0.029)"

="47.week",="0.047",="0.063",="0.089"
="",="(0.029)",="(0.030)",="(0.030)"

="48.week",="0.0061",="0.012",="0.068"
="",="(0.029)",="(0.030)",="(0.030)"

="49.week",="-0.031",="-0.021",="0.015"
="",="(0.029)",="(0.030)",="(0.029)"

="50.week",="-0.0022",="-0.0023",="0.057"
="",="(0.029)",="(0.031)",="(0.030)"

="51.week",="-0.026",="0.0081",="0.023"
="",="(0.028)",="(0.030)",="(0.029)"

="52.week",="-0.0070",="0.021",="0.049"
="",="(0.029)",="(0.030)",="(0.030)"

="1.idsucursal",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="3.idsucursal",="0.31",="0.52",="0.51"
="",="(0.044)",="(0.058)",="(0.057)"

="4.idsucursal",="0.17",="0.59",="0.57"
="",="(0.045)",="(0.066)",="(0.064)"

="5.idsucursal",="0.51",="0.76",="0.75"
="",="(0.039)",="(0.053)",="(0.051)"

="7.idsucursal",="0.58",="0.80",="0.79"
="",="(0.036)",="(0.048)",="(0.048)"

="10.idsucursal",="0.41",="0.64",="0.63"
="",="(0.042)",="(0.052)",="(0.051)"

="15.idsucursal",="0.078",="0.40",="0.35"
="",="(0.045)",="(0.063)",="(0.062)"

="20.idsucursal",="0.43",="0.77",="0.77"
="",="(0.042)",="(0.063)",="(0.062)"

="21.idsucursal",="-0.061",="0.36",="0.35"
="",="(0.043)",="(0.062)",="(0.060)"

="31.idsucursal",="0.47",="0.84",="0.82"
="",="(0.041)",="(0.064)",="(0.062)"

="32.idsucursal",="-0.14",="0.24",="0.21"
="",="(0.041)",="(0.063)",="(0.062)"

="34.idsucursal",="0.51",="0.84",="0.83"
="",="(0.039)",="(0.052)",="(0.052)"

="39.idsucursal",="0.19",="0.51",="0.46"
="",="(0.045)",="(0.063)",="(0.062)"

="42.idsucursal",="0.53",="0.89",="0.88"
="",="(0.038)",="(0.057)",="(0.056)"

="44.idsucursal",="0.38",="0.65",="0.61"
="",="(0.043)",="(0.060)",="(0.060)"

="49.idsucursal",="-0.18",="0.30",="0.29"
="",="(0.039)",="(0.065)",="(0.063)"

="51.idsucursal",="0.19",="0.64",="0.61"
="",="(0.045)",="(0.064)",="(0.063)"

="60.idsucursal",="0.25",="0.63",="0.60"
="",="(0.045)",="(0.064)",="(0.064)"

="63.idsucursal",="0.022",="0.47",="0.43"
="",="(0.044)",="(0.066)",="(0.065)"

="66.idsucursal",="0.074",="0.46",="0.43"
="",="(0.045)",="(0.066)",="(0.065)"

="67.idsucursal",="0.47",="0.82",="0.77"
="",="(0.041)",="(0.062)",="(0.062)"

="68.idsucursal",="0.21",="0.60",="0.56"
="",="(0.045)",="(0.066)",="(0.065)"

="72.idsucursal",="0.40",="0.83",="0.81"
="",="(0.042)",="(0.065)",="(0.064)"

="73.idsucursal",="-0.013",="0.47",="0.45"
="",="(0.044)",="(0.067)",="(0.066)"

="78.idsucursal",="0.55",="0.78",="0.77"
="",="(0.037)",="(0.058)",="(0.056)"

="79.idsucursal",="0.078",="0.44",="0.40"
="",="(0.045)",="(0.065)",="(0.064)"

="80.idsucursal",="0.017",="0.36",="0.35"
="",="(0.044)",="(0.063)",="(0.062)"

="85.idsucursal",="0.12",="0.41",="0.40"
="",="(0.045)",="(0.063)",="(0.062)"

="89.idsucursal",="0.43",="0.86",="0.86"
="",="(0.042)",="(0.065)",="(0.063)"

="90.idsucursal",="-0.18",="0.28",="0.26"
="",="(0.039)",="(0.066)",="(0.063)"

="93.idsucursal",="0.42",="0.69",="0.67"
="",="(0.042)",="(0.057)",="(0.057)"

="96.idsucursal",="0.017",="0.40",="0.37"
="",="(0.044)",="(0.068)",="(0.066)"

="97.idsucursal",="0.54",="0.89",="0.86"
="",="(0.038)",="(0.063)",="(0.061)"

="99.idsucursal",="0.40",="0.79",="0.78"
="",="(0.043)",="(0.065)",="(0.063)"

="104.idsucursal",="0.022",="0.47",="0.45"
="",="(0.045)",="(0.068)",="(0.067)"

="110.idsucursal",="0.50",="0.93",="0.92"
="",="(0.039)",="(0.063)",="(0.062)"

="114.idsucursal",="0.46",="0.80",="0.79"
="",="(0.041)",="(0.060)",="(0.059)"

="128.idsucursal",="0.054",="0.52",="0.54"
="",="(0.045)",="(0.066)",="(0.065)"

="131.idsucursal",="-0.14",="0.15",="0.12"
="",="(0.041)",="(0.062)",="(0.060)"

="136.idsucursal",="0.29",="0.65",="0.65"
="",="(0.044)",="(0.065)",="(0.063)"

="140.idsucursal",="-0.078",="0.28",="0.25"
="",="(0.042)",="(0.066)",="(0.064)"

="144.idsucursal",="0.15",="0.59",="0.57"
="",="(0.045)",="(0.065)",="(0.064)"

="145.idsucursal",="0.0043",="0.42",="0.43"
="",="(0.044)",="(0.068)",="(0.066)"

="148.idsucursal",="0.39",="0.75",="0.75"
="",="(0.043)",="(0.058)",="(0.057)"

="151.idsucursal",="0.026",="0.27",="0.24"
="",="(0.045)",="(0.060)",="(0.058)"

="171.idsucursal",="-0.022",="0.32",="0.31"
="",="(0.044)",="(0.066)",="(0.063)"

="172.idsucursal",="0.14",="0.52",="0.48"
="",="(0.045)",="(0.068)",="(0.067)"

="176.idsucursal",="0.16",="0.63",="0.61"
="",="(0.045)",="(0.070)",="(0.068)"

="177.idsucursal",="-0.039",="0.39",="0.39"
="",="(0.043)",="(0.067)",="(0.065)"

="179.idsucursal",="0.10",="0.49",="0.47"
