
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment",="choose_commitment"

="genero",="0.013",="",="0.0064",="",="0.0075",="",="0.028",="0.015",="0.035",="",="0.023",="0.0027"
="",="(0.018)",="",="(0.020)",="",="(0.030)",="",="(0.023)",="",="(0.025)",="",="(0.039)",=""

="edad",="0.00045",="",="-0.0010",="-0.00067",="0.0024**",="0.0012",="0.00013",="",="-0.0018**",="-0.00084",="0.0029**",="0.0021"
="",="(0.00062)",="",="(0.00062)",="",="(0.0010)",="",="(0.00080)",="",="(0.00083)",="",="(0.0014)",=""

="dif_value",="-0.00039",="",="0.019",="0.00060",="-0.0069",="",="0.013",="",="0.027",="",="-0.011",=""
="",="(0.025)",="",="(0.027)",="",="(0.041)",="",="(0.032)",="",="(0.035)",="",="(0.055)",=""

="pres_antes",="-0.033",="",="-0.034",="-0.018",="-0.0033",="",="-0.072**",="-0.054",="-0.042",="",="-0.059",="-0.030"
="",="(0.028)",="",="(0.034)",="",="(0.043)",="",="(0.036)",="",="(0.045)",="",="(0.054)",=""

="confidence",="-0.010",="",="0.030*",="0.020",="-0.037",="-0.0075",="-0.061**",="-0.048",="-0.012",="",="-0.11***",="-0.090"
="",="(0.017)",="",="(0.017)",="",="(0.028)",="",="(0.024)",="",="(0.027)",="",="(0.040)",=""

="masqueprepa",="0.076***",="0.050",="0.060***",="0.052",="0.10***",="0.067",="0.060***",="0.047",="0.063***",="0.037",="0.061",="0.037"
="",="(0.017)",="",="(0.017)",="",="(0.028)",="",="(0.022)",="",="(0.023)",="",="(0.038)",=""

="t_consis1",="",="",="",="",="",="",="0.035",="0.025",="0.021",="",="0.059",="0.042"
="",="",="",="",="",="",="",="(0.023)",="",="(0.026)",="",="(0.038)",=""

="_cons",="0.19***",="0.20",="0.12**",="0.12",="0.21***",="0.26",="0.27***",="0.28",="0.17**",="0.16",="0.31***",="0.33"
="",="(0.046)",="",="(0.053)",="",="(0.073)",="",="(0.060)",="",="(0.071)",="",="(0.096)",=""

="N",="2844",="2844",="1522",="1522",="1322",="1322",="1736",="1736",="962",="962",="774",="774"
="R-sq",="0.008",="",="0.014",="",="0.013",="",="0.013",="",="0.017",="",="0.022",=""
="Dependent Variable Mean",="0.23",="",="0.13",="",="0.35",="",="0.25",="",="0.15",="",="0.37",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
