
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="des_c",="log_fc_admin",="log_fc_admin_disc",="log_fc_survey",="num_p",="sum_porcp_c",="mn_p_c",="mn_pdisc_c",="dias_al_desempenyo",="reincidence"

="pro_2",="0.16***",="-0.10***",="-0.11***",="-0.12***",="0.26***",="0.12***",="58.1",="72.8",="-8.51***",="0.054***"
="",="(0.025)",="(0.037)",="(0.038)",="(0.040)",="(0.052)",="(0.021)",="(70.2)",="(57.8)",="(2.68)",="(0.015)"

="dummy_dow1",="0.012",="0.011",="-0.099",="-0.036",="-0.095",="0.042",="329.7***",="262.2**",="-1.63",="0.049**"
="",="(0.044)",="(0.058)",="(0.062)",="(0.068)",="(0.11)",="(0.036)",="(126.2)",="(105.3)",="(6.33)",="(0.024)"

="dummy_dow2",="0.00057",="0.11",="0",="0.087",="0.0055",="0.022",="195.2*",="142.4*",="0",="0.023"
="",="(0.053)",="(0.075)",="(.)",="(0.086)",="(0.11)",="(0.037)",="(104.5)",="(80.5)",="(.)",="(0.024)"

="dummy_dow3",="-0.059",="-0.018",="-0.11",="-0.041",="-0.21*",="-0.029",="116.2",="98.6",="-9.21",="0.066**"
="",="(0.045)",="(0.073)",="(0.075)",="(0.083)",="(0.11)",="(0.040)",="(102.7)",="(87.8)",="(5.83)",="(0.027)"

="dummy_dow4",="0.023",="-0.014",="-0.13*",="-0.025",="-0.17",="0.065",="66.9",="41.7",="-0.29",="0.085***"
="",="(0.047)",="(0.062)",="(0.069)",="(0.071)",="(0.11)",="(0.041)",="(85.7)",="(71.1)",="(6.08)",="(0.027)"

="dummy_dow5",="-0.017",="0.073",="-0.030",="0.051",="-0.090",="0.033",="96.7",="61.2",="-4.99",="0.038"
="",="(0.044)",="(0.070)",="(0.078)",="(0.078)",="(0.12)",="(0.037)",="(101.7)",="(83.5)",="(5.70)",="(0.026)"

="dummy_dow6",="0",="0",="-0.10",="0",="0",="0",="0",="0",="-7.61",="0"
="",="(.)",="(.)",="(0.076)",="(.)",="(.)",="(.)",="(.)",="(.)",="(6.13)",="(.)"

="dummy_suc1",="0.0044",="-0.043",="-0.051",="0.029",="-0.039",="0.020",="78.1",="37.6",="12.5**",="0.083**"
="",="(0.047)",="(0.075)",="(0.077)",="(0.079)",="(0.11)",="(0.040)",="(121.5)",="(102.1)",="(5.15)",="(0.038)"

="dummy_suc2",="-0.11**",="0",="0",="0",="0.16",="-0.077*",="115.2",="56.1",="27.0***",="0"
="",="(0.051)",="(.)",="(.)",="(.)",="(0.13)",="(0.044)",="(172.9)",="(145.8)",="(5.50)",="(.)"

="dummy_suc3",="0.00096",="-0.18**",="-0.18**",="-0.10",="0.14",="0.046",="-54.0",="-72.4",="17.5***",="-0.24***"
="",="(0.046)",="(0.073)",="(0.076)",="(0.081)",="(0.11)",="(0.034)",="(145.7)",="(121.0)",="(5.86)",="(0.032)"

="dummy_suc4",="-0.095**",="-0.11*",="-0.097",="-0.039",="0.23**",="-0.064*",="-246.2**",="-223.9**",="14.8***",="-0.24***"
="",="(0.045)",="(0.064)",="(0.067)",="(0.071)",="(0.10)",="(0.032)",="(116.7)",="(98.8)",="(4.95)",="(0.032)"

="dummy_suc5",="-0.10**",="0.038",="0.042",="0.053",="0.025",="-0.014",="24.9",="-25.0",="18.1***",="-0.24***"
="",="(0.046)",="(0.069)",="(0.072)",="(0.075)",="(0.100)",="(0.030)",="(133.1)",="(109.9)",="(4.87)",="(0.031)"

="dummy_suc6",="0",="-0.10",="-0.083",="-0.036",="0",="0",="0",="0",="0",="-0.22***"
="",="(.)",="(0.085)",="(0.087)",="(0.095)",="(.)",="(.)",="(.)",="(.)",="(.)",="(0.035)"

="num_arms_d3",="-0.00018",="-0.050",="-0.049",="-0.041",="-0.063",="0.0081",="82.4",="62.6",="-3.28",=""
