
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc"

="pro_3",="43.1",="-5.34",="-164.3",="-231.0",="-214.4"
="",="(32.7)",="(35.2)",="(66.5)",="(121.8)",="(147.9)"

="dummy_dow1",="95.0",="123.0",="252.7",="481.6",="710.5"
="",="(51.4)",="(57.9)",="(104.7)",="(236.8)",="(165.6)"

="dummy_dow2",="63.6",="143.6",="500.5",="850.5",="1177.9"
="",="(52.6)",="(75.6)",="(119.7)",="(262.6)",="(274.5)"

="dummy_dow3",="39.0",="126.0",="50.7",="189.2",="327.7"
="",="(57.3)",="(59.8)",="(96.2)",="(221.9)",="(260.7)"

="dummy_dow4",="57.1",="141.4",="275.3",="170.4",="278.1"
="",="(55.8)",="(59.6)",="(102.6)",="(190.4)",="(220.5)"

="dummy_dow5",="143.0",="256.7",="411.1",="538.7",="1076.4"
="",="(61.3)",="(63.3)",="(100.8)",="(238.2)",="(320.4)"

="dummy_dow6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="158.9",="150.6",="175.8",="490.8",="632.0"
="",="(72.1)",="(73.3)",="(148.4)",="(268.4)",="(387.3)"

="dummy_suc2",="140.5",="238.2",="377.9",="655.7",="713.0"
="",="(87.9)",="(66.8)",="(151.6)",="(232.3)",="(415.4)"

="dummy_suc3",="-43.0",="4.17",="-7.74",="-121.9",="-57.1"
="",="(46.6)",="(48.4)",="(104.9)",="(199.8)",="(243.9)"

="dummy_suc4",="22.3",="93.3",="85.9",="-0.63",="-142.7"
="",="(45.6)",="(52.1)",="(105.9)",="(203.2)",="(231.8)"

="dummy_suc5",="85.6",="140.6",="96.5",="9.28",="-93.0"
="",="(53.7)",="(65.5)",="(127.4)",="(203.6)",="(254.3)"

="dummy_suc6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="-8.31",="65.8",="39.8",="-93.6",="261.6"
="",="(53.9)",="(52.8)",="(100.7)",="(201.2)",="(233.7)"

="num_arms_d4",="5.84",="57.7",="150.4",="245.5",="654.8"
="",="(72.8)",="(58.7)",="(134.4)",="(260.0)",="(283.7)"

="num_arms_d5",="-42.7",="-10.3",="-129.5",="253.5",="864.0"
="",="(85.4)",="(70.8)",="(155.4)",="(351.5)",="(233.6)"

="num_arms_d6",="241.1",="101.9",="360.2",="926.0",="1772.7"
="",="(131.5)",="(144.5)",="(395.3)",="(403.4)",="(765.4)"

="visit_number_d2",="-9.33",="-50.2",="-151.3",="-362.8",="-892.0"
="",="(59.7)",="(54.6)",="(110.1)",="(198.1)",="(202.0)"

="visit_number_d3",="55.1",="37.1",="102.0",="135.4",="512.8"
="",="(90.5)",="(61.6)",="(180.7)",="(380.3)",="(509.0)"

="visit_number_d4",="48.9",="41.0",="-354.9",="-639.6",="-1106.9"
="",="(119.5)",="(106.0)",="(136.8)",="(371.0)",="(525.2)"

="visit_number_d5",="-290.3",="-394.1",="-361.4",="-1415.7",="-2366.6"
="",="(80.9)",="(135.1)",="(293.5)",="(283.7)",="(409.4)"

="visit_number_d6",="-102.0",="-133.8",="-247.0",="-1311.5",="-2251.0"
="",="(112.8)",="(166.1)",="(173.1)",="(341.6)",="(294.3)"

="visit_number_d7",="-200.2",="-127.5",="312.0",="-1102.8",="-2079.6"
="",="(148.6)",="(247.4)",="(371.8)",="(348.6)",="(503.9)"

="_cons",="728.6",="932.3",="1875.3",="3504.1",="4480.8"
="",="(61.1)",="(64.5)",="(122.0)",="(246.7)",="(254.2)"

="N",="4705",="4705",="4705",="4705",="4705"
="R-sq",="",="",="",="",=""
="Control Mean",="3159.4",="3159.4",="3159.4",="3159.4",="3159.4"

="Standard errors in parentheses"
