
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_tc",="eff_tc",="eff_tc",="eff_pospay",="eff_pospay",="eff_pospay"

="pro_4",="0.0082",="",="",="0.0020",="",="",="0.011",="",=""
="",="(0.011)",="",="",="(0.015)",="",="",="(0.015)",="",=""

="dummy_dow1",="0.0032",="-0.029",="0.041",="-0.062",="-0.058",="-0.092",="0.0080",="0.00080",="0.019"
="",="(0.017)",="(0.017)",="(0.026)",="(0.023)",="(0.023)",="(0.035)",="(0.025)",="(0.024)",="(0.037)"

="dummy_dow2",="0.014",="-0.011",="0.028",="-0.023",="-0.012",="-0.071",="0.023",="0.027",="-0.0010"
="",="(0.016)",="(0.017)",="(0.024)",="(0.021)",="(0.022)",="(0.032)",="(0.023)",="(0.024)",="(0.035)"

="dummy_dow3",="0.013",="-0.013",="0",="-0.035",="-0.031",="-0.084",="0.018",="0.020",="-0.044"
="",="(0.021)",="(0.023)",="(.)",="(0.023)",="(0.024)",="(0.028)",="(0.030)",="(0.032)",="(0.038)"

="dummy_dow4",="0",="-0.026",="0.028",="-0.025",="-0.028",="-0.056",="0",="0",="0"
="",="(.)",="(0.018)",="(0.026)",="(0.028)",="(0.028)",="(0.031)",="(.)",="(.)",="(.)"

="dummy_dow5",="0.0018",="-0.020",="0.031",="-0.045",="-0.044",="-0.029",="0.00094",="0.0063",="0.0052"
="",="(0.017)",="(0.018)",="(0.023)",="(0.026)",="(0.027)",="(0.028)",="(0.025)",="(0.025)",="(0.032)"

="dummy_dow6",="0.031",="0",="0.064",="0",="0",="0",="0.041",="0.037",="0.045"
="",="(0.017)",="(.)",="(0.030)",="(.)",="(.)",="(.)",="(0.025)",="(0.025)",="(0.041)"

="dummy_suc1",="-0.090",="0.046",="0.074",="0.044",="-0.10",="0.096",="0.052",="0.060",="0"
="",="(0.018)",="(0.019)",="(0.029)",="(0.022)",="(0.027)",="(0.025)",="(0.026)",="(0.024)",="(.)"

="dummy_suc2",="-0.13",="0",="0",="0",="-0.14",="0",="0",="0",="-0.10"
="",="(0.020)",="(.)",="(.)",="(.)",="(0.025)",="(.)",="(.)",="(.)",="(0.039)"

="dummy_suc3",="-0.030",="0.10",="0.090",="0.12",="-0.017",="0.14",="0.13",="0.13",="0.022"
="",="(0.015)",="(0.018)",="(0.023)",="(0.023)",="(0.029)",="(0.034)",="(0.026)",="(0.026)",="(0.041)"

="dummy_suc4",="-0.11",="0.037",="0.025",="0.030",="-0.11",="0.058",="0.019",="0.035",="-0.070"
="",="(0.019)",="(0.020)",="(0.028)",="(0.025)",="(0.028)",="(0.034)",="(0.030)",="(0.028)",="(0.044)"

="dummy_suc5",="-0.050",="0.091",="0.071",="0.11",="-0.029",="0.14",="0.099",="0.11",="-0.012"
="",="(0.015)",="(0.017)",="(0.022)",="(0.023)",="(0.027)",="(0.034)",="(0.026)",="(0.023)",="(0.037)"

="dummy_suc6",="0",="0.14",="0.10",="0.12",="0",="0.13",="0.18",="0.19",="0.027"
="",="(.)",="(0.019)",="(0.024)",="(0.027)",="(.)",="(0.032)",="(0.029)",="(0.028)",="(0.040)"

="num_arms_d3",="0.022",="0.026",="0.0042",="0.037",="0.035",="0.0074",="0.032",="0.038",="0.0061"
="",="(0.014)",="(0.015)",="(0.021)",="(0.018)",="(0.019)",="(0.026)",="(0.020)",="(0.021)",="(0.030)"

="num_arms_d4",="0.044",="0.049",="0.050",="0.038",="0.040",="0.080",="0.070",="0.081",="0.075"
="",="(0.019)",="(0.020)",="(0.023)",="(0.026)",="(0.027)",="(0.035)",="(0.028)",="(0.029)",="(0.034)"

="num_arms_d5",="0.054",="0.051",="0.064",="0.057",="0.045",="0.096",="0.080",="0.076",="0.087"
="",="(0.032)",="(0.032)",="(0.032)",="(0.037)",="(0.039)",="(0.047)",="(0.043)",="(0.043)",="(0.048)"

="num_arms_d6",="-0.092",="-0.10",="0.030",="0.16",="0.16",="0.12",="-0.12",="-0.13",="0.083"
="",="(0.11)",="(0.11)",="(0.065)",="(0.052)",="(0.054)",="(0.060)",="(0.13)",="(0.13)",="(0.14)"

="visit_number_d2",="0.0093",="0.012",="0.022",="-0.020",="-0.011",="-0.011",="0.0076",="0.011",="0.025"
="",="(0.015)",="(0.015)",="(0.023)",="(0.021)",="(0.021)",="(0.031)",="(0.021)",="(0.021)",="(0.032)"

="visit_number_d3",="-0.027",="-0.030",="-0.054",="-0.040",="-0.043",="-0.077",="-0.041",="-0.047",="-0.077"
="",="(0.026)",="(0.026)",="(0.033)",="(0.038)",="(0.039)",="(0.055)",="(0.037)",="(0.038)",="(0.050)"

="visit_number_d4",="0.074",="0.081",="0.070",="0.069",="0.079",="0.030",="0.11",="0.13",="0.11"
="",="(0.029)",="(0.029)",="(0.031)",="(0.027)",="(0.027)",="(0.038)",="(0.039)",="(0.040)",="(0.044)"

="visit_number_d5",="0.037",="0.049",="0.057",="-0.043",="-0.020",="-0.061",="0.051",="0.068",="0.070"
="",="(0.045)",="(0.040)",="(0.053)",="(0.081)",="(0.070)",="(0.097)",="(0.058)",="(0.050)",="(0.073)"

="visit_number_d6",="0.070",="0.065",="0.012",="-0.13",="-0.10",="-0.15",="0.073",="0.066",="-0.0067"
="",="(0.087)",="(0.090)",="(0.12)",="(0.16)",="(0.18)",="(0.18)",="(0.11)",="(0.11)",="(0.14)"

