
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="apr",="apr",="apr",="apr",="apr",="apr",="",="",="apr",="apr",="apr",="apr",="apr",="apr",="",="",="",=""

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="choice_nsq",="1.20*",="1.06*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.68)",="(0.64)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="dummy_dow1",="",="-0.028",="",="-0.0056",="",="-0.0075",="",="-1.03***",="",="-0.039",="",="-0.0070",="",="-0.0075",="",="-1.05***",="",="-1.29***"
="",="",="(0.11)",="",="(0.100)",="",="(0.10)",="",="(0.100)",="",="(0.13)",="",="(0.10)",="",="(0.10)",="",="(0.11)",="",="(0.11)"

="dummy_dow2",="",="-0.031",="",="0.042",="",="0.034",="",="-0.98***",="",="0.014",="",="0.037",="",="0.034",="",="-1.01***",="",="-1.25***"
="",="",="(0.11)",="",="(0.10)",="",="(0.10)",="",="(0.10)",="",="(0.12)",="",="(0.10)",="",="(0.10)",="",="(0.12)",="",="(0.11)"

="dummy_dow3",="",="-0.066",="",="-0.11",="",="-0.10",="",="-1.13***",="",="-0.15",="",="-0.11",="",="-0.10",="",="-1.16",="",="-1.40"
="",="",="(0.16)",="",="(0.12)",="",="(0.12)",="",="(0.12)",="",="(0.14)",="",="(0.12)",="",="(0.12)",="",="(.)",="",="(.)"

="dummy_dow4",="",="0.13",="",="0.060",="",="0.040",="",="-0.96***",="",="0.054",="",="0.046",="",="0.040",="",="-1.01***",="",="-1.25***"
="",="",="(0.13)",="",="(0.11)",="",="(0.11)",="",="(0.11)",="",="(0.14)",="",="(0.11)",="",="(0.11)",="",="(0.12)",="",="(0.12)"

="dummy_dow5",="",="-0.055",="",="-0.040",="",="-0.062",="",="-1.06***",="",="-0.023",="",="-0.056",="",="-0.062",="",="-1.10***",="",="-1.34***"
="",="",="(0.11)",="",="(0.11)",="",="(0.11)",="",="(0.11)",="",="(0.13)",="",="(0.10)",="",="(0.11)",="",="(0.12)",="",="(0.12)"

="dummy_dow6",="",="0",="",="0",="",="0",="",="-1.02",="",="0",="",="0",="",="0",="",="-1.00***",="",="-1.22***"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(0.13)",="",="(0.13)"

="dummy_suc1",="",="0.35***",="",="0.42***",="",="0.32***",="",="0.42***",="",="0.39***",="",="0.35***",="",="0.32***",="",="0.018",="",="-0.027"
="",="",="(0.13)",="",="(0.12)",="",="(0.10)",="",="(0.12)",="",="(0.13)",="",="(0.100)",="",="(0.10)",="",="(0.11)",="",="(0.14)"

="dummy_suc2",="",="0.19",="",="0.24*",="",="0.16",="",="0.24*",="",="0.22",="",="0.18",="",="0.16",="",="-0.15",="",="-0.20"
="",="",="(0.15)",="",="(0.14)",="",="(0.14)",="",="(0.14)",="",="(0.16)",="",="(0.13)",="",="(0.14)",="",="(0.14)",="",="(0.15)"

="dummy_suc3",="",="0.20",="",="0.25**",="",="0.19",="",="0.25**",="",="0.26*",="",="0.21*",="",="0.19",="",="-0.12",="",="-0.18"
="",="",="(0.13)",="",="(0.12)",="",="(0.12)",="",="(0.12)",="",="(0.15)",="",="(0.12)",="",="(0.12)",="",="(0.13)",="",="(0.14)"

="dummy_suc4",="",="0.21",="",="0.19",="",="0.067",="",="0.19",="",="0.099",="",="0.10",="",="0.067",="",="-0.22*",="",="-0.26"
="",="",="(0.18)",="",="(0.15)",="",="(0.12)",="",="(0.15)",="",="(0.14)",="",="(0.11)",="",="(0.12)",="",="(0.13)",="",="(0.16)"

="dummy_suc5",="",="0.15",="",="0.17",="",="0.066",="",="0.17",="",="0.18",="",="0.098",="",="0.066",="",="-0.23*",="",="-0.28*"
