
="",="(803.7)",="(904.1)",="(1022.9)",="(812.0)",="(898.0)",="(1127.9)",="(1075.0)",="(1162.1)",="(1658.0)",="(703.1)",="(772.6)",="(1031.6)"

="visit_number_d2",="-298.7",="-284.2",="-380.2",="-243.9",="-275.5",="-179.8",="-194.0",="-207.7",="-178.3",="-107.0",="-121.9",="-249.2"
="",="(152.5)",="(165.4)",="(221.3)",="(214.0)",="(233.0)",="(304.9)",="(287.4)",="(297.0)",="(407.7)",="(211.4)",="(243.2)",="(287.7)"

="visit_number_d3",="165.3",="227.0",="476.8",="518.6",="505.3",="825.9",="37.3",="41.0",="-194.2",="786.0",="863.0",="986.1"
="",="(346.6)",="(380.7)",="(488.1)",="(620.1)",="(688.6)",="(841.5)",="(509.2)",="(556.4)",="(706.3)",="(765.8)",="(829.8)",="(944.3)"

="visit_number_d4",="103.5",="16.8",="-458.5",="-188.3",="-586.3",="-645.1",="22.3",="-696.1",="-400.9",="-12.2",="-341.4",="-963.0"
="",="(669.2)",="(706.5)",="(679.3)",="(663.7)",="(677.4)",="(770.1)",="(749.2)",="(748.8)",="(990.8)",="(683.8)",="(700.0)",="(497.1)"

="visit_number_d5",="-1020.2",="-1207.4",="-953.6",="-1207.9",="-1542.1",="-1128.6",="-882.8",="-1081.6",="-790.5",="-1391.4",="-1695.2",="-1601.7"
="",="(406.1)",="(447.2)",="(506.6)",="(489.8)",="(518.0)",="(672.8)",="(655.7)",="(725.8)",="(981.2)",="(535.7)",="(595.0)",="(682.9)"

="visit_number_d6",="-1021.4",="-967.2",="-1390.7",="-1009.3",="-1155.3",="-1072.8",="-319.7",="-397.5",="-708.2",="-777.9",="-1118.6",="-704.7"
="",="(550.1)",="(608.1)",="(558.9)",="(724.0)",="(797.3)",="(853.4)",="(994.3)",="(1150.4)",="(1101.7)",="(861.9)",="(976.2)",="(1042.5)"

="visit_number_d7",="-1103.2",="-1303.5",="-977.0",="-1659.3",="-2131.7",="-1754.9",="-1188.1",="-1534.1",="-1861.0",="-1074.3",="-1821.4",="-984.0"
="",="(508.9)",="(599.5)",="(578.4)",="(508.3)",="(596.4)",="(671.2)",="(620.8)",="(738.4)",="(874.4)",="(583.8)",="(775.4)",="(789.4)"

="pro_8",="",="-124.4",="",="",="-197.0",="",="",="-379.3",="",="",="-228.9",=""
="",="",="(132.4)",="",="",="(170.3)",="",="",="(209.3)",="",="",="(203.0)",=""

="pro_9",="",="",="-64.2",="",="",="-19.4",="",="",="116.8",="",="",="-253.0"
="",="",="",="(173.4)",="",="",="(262.3)",="",="",="(339.4)",="",="",="(227.4)"

="_cons",="3183.7",="3333.8",="3734.0",="4195.0",="4142.5",="3534.4",="4025.8",="3953.2",="2552.7",="4319.5",="4388.3",="4139.0"
="",="(216.8)",="(225.6)",="(383.4)",="(568.9)",="(671.4)",="(523.7)",="(537.0)",="(510.9)",="(305.5)",="(746.0)",="(852.6)",="(605.1)"

="N",="5316",="4463",="3419",="3832",="3143",="2529",="2374",="1947",="1599",="2552",="2122",="1662"
="R-sq",="0.017",="0.019",="0.020",="0.023",="0.027",="0.029",="0.032",="0.031",="0.043",="0.040",="0.050",="0.048"
="Control Mean",="3157.4",="3157.4",="3157.4",="3576.0",="3576.0",="3576.0",="3637.0",="3637.0",="3637.0",="3484.1",="3484.1",="3484.1"
="p-value",="",="",="0.83",="",="",="0.67",="",="",="0.26",="",="",="0.46"

="Standard errors in parentheses"
