
="",="(1)",="(2)",="(3)"
="",="pago_fijo",="def",="def"

="pf_suc",="0.064***",="",=""
="",="(0.00086)",="",=""

="pago_fijo",="",="-0.17***",="-0.16***"
="",="",="(0.025)",="(0.0044)"

="residual",="",="0.014",=""
="",="",="(0.025)",=""

="_cons",="0.00016***",="0.46***",="0.46***"
="",="(0.000038)",="(0.0012)",="(0.0010)"

="N",="843338",="843338",="843338"
="R-sq",="0.045",="0.007",="0.007"
="DepVarMean",="0.025",="0.46",="0.46"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
