
="dummy_suc6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.producto",="",="0",="",="0",="",="0",="",="0",="",="0",="",="0"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="2.producto",="",="0.16***",="",="-8.58***",="",="0.11***",="",="0.99***",="",="0.11***",="",="0.064***"
="",="",="(0.026)",="",="(2.84)",="",="(0.022)",="",="(0.25)",="",="(0.022)",="",="(0.016)"

="3.producto",="",="0.012",="",="-0.41",="",="0.014",="",="0.98***",="",="0.014",="",="-0.0096"
="",="",="(0.025)",="",="(3.31)",="",="(0.023)",="",="(0.27)",="",="(0.023)",="",="(0.016)"

="4.producto",="",="-0.0068",="",="1.97",="",="-0.0041",="",="0.41",="",="-0.0041",="",="-0.0053"
="",="",="(0.024)",="",="(3.24)",="",="(0.021)",="",="(0.29)",="",="(0.021)",="",="(0.015)"

="5.producto",="",="0.21***",="",="-5.45",="",="0.10***",="",="6.32***",="",="0.10***",="",="0.020"
="",="",="(0.037)",="",="(4.29)",="",="(0.027)",="",="(1.60)",="",="(0.027)",="",="(0.031)"

="6.producto",="",="0.025",="",="-1.06",="",="0.0095",="",="-0.11",="",="0.0095",="",="0.0049"
="",="",="(0.028)",="",="(3.84)",="",="(0.025)",="",="(0.32)",="",="(0.025)",="",="(0.016)"

="7.producto",="",="-0.023",="",="-6.93*",="",="-0.0085",="",="1.65***",="",="-0.0085",="",="-0.012"
="",="",="(0.029)",="",="(3.76)",="",="(0.027)",="",="(0.43)",="",="(0.027)",="",="(0.020)"

="_cons",="0.70***",="0.68***",="82.4***",="83.4***",="0.037",="0.031",="2.59***",="2.02***",="1.04***",="1.03***",="0.060***",="0.059***"
="",="(0.033)",="(0.033)",="(3.81)",="(3.82)",="(0.026)",="(0.026)",="(0.41)",="(0.44)",="(0.026)",="(0.026)",="(0.019)",="(0.019)"

="N",="9981",="9981",="6116",="6116",="9981",="9981",="9981",="9981",="9981",="9981",="5004",="5004"
="R-sq",="0.029",="0.034",="0.024",="0.025",="0.031",="0.033",="0.007",="0.020",="0.031",="0.033",="0.124",="0.124"
="Dependent Var Mean",="0.61",="",="91.1",="",="0.0052",="",="3.47",="",="1.01",="",="0.15",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
