
="0.des_c",="",="",="",="",="",="",="",="0"
="",="",="",="",="",="",="",="",="(.)"

="1.des_c",="",="",="",="",="",="",="",="1.05"
="",="",="",="",="",="",="",="",="(0.011)"

="0.pro_5#0.des_c",="",="",="",="",="",="",="",="0"
="",="",="",="",="",="",="",="",="(.)"

="0.pro_5#1.des_c",="",="",="",="",="",="",="",="0"
="",="",="",="",="",="",="",="",="(.)"

="1.pro_5#0.des_c",="",="",="",="",="",="",="",="0"
="",="",="",="",="",="",="",="",="(.)"

="1.pro_5#1.des_c",="",="",="",="",="",="",="",="-0.0011"
="",="",="",="",="",="",="",="",="(0.015)"

="_cons",="92.5",="1.14",="708.0",="89.4",="101.2",="0.77",="0.66",="0.14"
="",="(1.03)",="(0.078)",="(66.8)",="(9.97)",="(4.57)",="(0.023)",="(0.034)",="(0.014)"

="N",="5254",="5369",="5369",="2787",="2330",="5369",="5340",="5340"
="R-sq",="0.019",="0.015",="0.018",="0.018",="0.028",="0.020",="0.016",="0.885"
="Control Mean",="90.0",="1.06",="764.5",="75.1",="92.6",="0.69",="0.64",="0.64"

="Standard errors in parentheses"
