
="",="(1)",="(2)",="(3)"
="",="des_c",="num_p",="sum_porcp_c"

="nochoice_fee",="0.047",="0.68**",="0.22***"
="",="(0.048)",="(0.28)",="(0.054)"

="choice_fee",="0.016",="0.42",="0.10*"
="",="(0.055)",="(0.37)",="(0.063)"

="nochoice_promise",="-0.0047",="2.09**",="0.14**"
="",="(0.060)",="(0.96)",="(0.066)"

="choice_promise",="0.059",="0.17",="0.076"
="",="(0.067)",="(0.33)",="(0.076)"

="1.producto",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="2.producto",="0.14",="0.10",="0.15"
="",="(0.15)",="(1.29)",="(0.16)"

="3.producto",="0.042",="-0.17",="0.015"
="",="(0.12)",="(1.01)",="(0.13)"

="4.producto",="0.13",="-0.42",="0.13"
="",="(0.11)",="(0.77)",="(0.12)"

="6.producto",="0.38***",="-1.12*",="0.44***"
="",="(0.13)",="(0.65)",="(0.12)"

="7.producto",="-0.040",="1.45",="-0.12"
="",="(0.23)",="(3.91)",="(0.26)"

="prestamo",="0.000016**",="0.0000034",="0.000000065"
="",="(0.0000072)",="(0.000049)",="(0.0000086)"

="1.dow",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="2.dow",="0.076",="-0.33",="0.34***"
="",="(0.066)",="(0.55)",="(0.074)"

="3.dow",="0.052",="0.42",="0.10"
="",="(0.056)",="(0.41)",="(0.064)"

="4.dow",="-0.055",="-0.45",="-0.022"
="",="(0.054)",="(0.38)",="(0.063)"

="5.dow",="0.13**",="0.23",="0.100"
="",="(0.066)",="(0.72)",="(0.072)"

="6.dow",="-0.079",="-0.29",="-0.094"
="",="(0.069)",="(0.63)",="(0.082)"

="3.suc",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="5.suc",="-0.062",="-0.71**",="-0.024"
="",="(0.040)",="(0.36)",="(0.047)"

="42.suc",="0.15",="-0.88",="-0.057"
="",="(0.10)",="(0.67)",="(0.11)"

="78.suc",="0.063",="0.87",="0.055"
="",="(0.11)",="(0.93)",="(0.11)"

="80.suc",="0.17*",="-0.54",="0.054"
="",="(0.094)",="(0.55)",="(0.10)"

="104.suc",="0.10",="0.67",="-0.027"
="",="(0.12)",="(1.46)",="(0.13)"

="_cons",="0.21***",="2.13***",="0.49***"
="",="(0.059)",="(0.38)",="(0.067)"

="N",="709",="709",="709"
="R-sq",="0.093",="0.049",="0.116"
="Dependent Var Mean",="0.32",="2.29",="0.69"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
