
="visit_number_d6",="-496.8",="-11.8",="-137.1",="-859.8",="-1415.5",="-1498.8",="-1280.9",="-1195.0",="-1216.8"
="",="(279.9)",="(4.11)",="(105.0)",="(345.4)",="(417.3)",="(718.8)",="(1094.1)",="(914.3)",="(835.5)"

="visit_number_d7",="-417.8",="-8.46",="-205.9",="-161.6",="-987.1",="-2118.1",="-2235.7",="-1970.2",="-2342.8"
="",="(295.6)",="(4.50)",="(65.0)",="(453.7)",="(501.1)",="(592.5)",="(804.0)",="(705.1)",="(680.7)"

="_cons",="831.3",="7.94",="472.6",="2497.8",="3477.1",="4282.3",="4031.3",="4628.1",="3889.5"
="",="(122.2)",="(2.63)",="(68.7)",="(250.2)",="(276.5)",="(527.3)",="(451.5)",="(667.8)",="(398.7)"

="N",="5033",="5085",="5085",="5085",="5033",="3520",="2322",="2370",="2792"
="R-sq",="0.016",="0.129",="0.031",="0.016",="0.016",="0.024",="0.024",="0.042",="0.029"
="Control Mean",="931.2",="0",="272.5",="2008.7",="3157.4",="3576.0",="3637.0",="3484.1",="3576.0"

="Standard errors in parentheses"
