iter	Logloss
0	0.6821234567
1	0.6677906173
2	0.6537526676
3	0.6470815114
4	0.6401002066
5	0.6303299495
6	0.6231333869
7	0.6148066521
8	0.6058665684
9	0.5951089859
10	0.5922605651
11	0.5851274218
12	0.5820496423
13	0.5773834501
14	0.572341374
15	0.5667038645
16	0.5591125488
17	0.5538084166
18	0.5517966747
19	0.5492411682
20	0.5450686727
21	0.5438460963
22	0.5396055494
23	0.5370966366
24	0.534394707
25	0.5311615467
26	0.5282979012
27	0.5236867496
28	0.5215836593
29	0.5193319661
30	0.5163958413
31	0.5134406771
32	0.5089768001
33	0.5067003795
34	0.5038457598
35	0.5010495526
36	0.4985009602
37	0.4954156535
38	0.4929969651
39	0.4896615914
40	0.4847268377
41	0.4823925155
42	0.4797410284
43	0.4775881767
44	0.4752235753
45	0.471006121
46	0.4699947834
47	0.4631303719
48	0.4619447844
49	0.4609696865
50	0.460281304
51	0.4567608833
52	0.4558685848
53	0.4549065317
54	0.4505016463
55	0.4461369514
56	0.4430408478
57	0.4391452926
58	0.4355592046
59	0.4333147662
60	0.4321272373
61	0.4295880454
62	0.4280578068
63	0.4267866271
64	0.4225060599
65	0.4206129142
66	0.4189566204
67	0.4154910019
68	0.4139641694
69	0.4119301523
70	0.4103013788
71	0.4075043542
72	0.4059715271
73	0.4041588306
74	0.4021307741
75	0.4007369791
76	0.3967742239
77	0.3939424583
78	0.3913981574
79	0.3881327765
80	0.3869350638
81	0.3832455363
82	0.3803611142
83	0.3760689327
84	0.3743548734
85	0.3726898261
86	0.3713375841
87	0.3695114681
88	0.3667720386
89	0.3648618971
90	0.3625975336
91	0.3619631359
92	0.3597178119
93	0.3579756873
94	0.3554830551
95	0.3524421283
96	0.3512752737
97	0.3504583495
98	0.3478924206
99	0.3465370451
100	0.3456056118
101	0.3446618489
102	0.3435075624
103	0.340276071
104	0.3368646417
105	0.3356229918
106	0.3345582485
107	0.332722187
108	0.3316257681
109	0.3301449503
110	0.3293554783
111	0.3279413155
112	0.3272438049
113	0.3257002149
114	0.3241803987
115	0.3205667904
116	0.3194471768
117	0.3165683746
118	0.315537623
119	0.3149141584
120	0.3131732259
121	0.312575783
122	0.3110332148
123	0.3093241964
124	0.3082042762
125	0.3072410992
126	0.3043455396
127	0.303460598
128	0.3027870655
129	0.3016496045
130	0.3001186507
131	0.2973781313
132	0.2956958158
133	0.2944279398
134	0.2936410223
135	0.2922413009
136	0.2907977104
137	0.2879349845
138	0.2855006456
139	0.2842370272
140	0.2836340836
141	0.2826776164
142	0.2820466927
143	0.2807223797
144	0.2798565456
145	0.2792686054
146	0.2782617296
147	0.2770360538
148	0.2754514217
149	0.2741065707
150	0.2733843497
151	0.2730499506
152	0.2724604947
153	0.271236011
154	0.2703873941
155	0.2677704947
156	0.2663682018
157	0.2648478576
158	0.2638875927
159	0.2627657652
160	0.2615277427
161	0.2599443197
162	0.2583399841
163	0.2579596383
164	0.2567732675
165	0.2553567205
166	0.2548102311
167	0.2536931719
168	0.2517862661
169	0.250041553
170	0.2496646132
171	0.2493633202
172	0.2470389434
173	0.2460360186
