iter	Logloss
174	0.2447864328
175	0.2431602819
176	0.242308276
177	0.2415818146
178	0.2404042312
179	0.239640287
180	0.2377078193
181	0.235620107
182	0.234966244
183	0.2342430523
184	0.2329302515
185	0.2321173123
186	0.2313012736
187	0.2307829516
188	0.2297817469
189	0.2289737633
190	0.2273822171
191	0.2263406004
192	0.2256446396
193	0.2251773221
194	0.2245693207
195	0.2233001845
196	0.2224081584
197	0.2213104963
198	0.2206772566
199	0.2194870881
200	0.2191967794
201	0.2179329566
202	0.2172780037
203	0.2156033516
204	0.2154150179
205	0.2149708612
206	0.2146151577
207	0.2136867046
208	0.2127077069
209	0.2115841082
210	0.2108193466
211	0.2094351224
212	0.2089249917
213	0.2081764426
214	0.2072399173
215	0.2060825825
216	0.205589618
217	0.2040428775
218	0.2032315561
219	0.2021975006
220	0.2013725894
221	0.1998742649
222	0.199541143
223	0.1986375366
224	0.1975847994
225	0.196829864
226	0.1956414495
227	0.1951571533
228	0.1947484016
229	0.1935431617
230	0.1924137047
231	0.1915268898
232	0.1908313717
233	0.1903190442
234	0.1893009799
235	0.1884412084
236	0.1870128768
237	0.1863807951
238	0.1851734774
239	0.1845214878
240	0.1835062844
241	0.1826508726
242	0.1820086752
243	0.1814667157
244	0.1810417686
245	0.1802834783
246	0.1800086498
247	0.1797569139
248	0.1791713919
249	0.1786061355
250	0.1773395368
251	0.1766881091
252	0.175632034
253	0.1748076848
254	0.1739776134
255	0.1727476631
256	0.172177996
257	0.1717729739
258	0.1710477386
259	0.1706883056
260	0.1699704613
261	0.169555647
262	0.1690676553
263	0.1687212501
264	0.167797855
265	0.1674247469
266	0.1667399066
267	0.1657788754
268	0.1650296279
269	0.1645087685
270	0.1642085825
271	0.1631670168
272	0.1624216352
273	0.1615754536
274	0.1612586634
275	0.1608656134
276	0.1598108155
277	0.1587432453
278	0.1581245831
279	0.1576286725
280	0.1574672631
281	0.1571824551
282	0.1569309916
283	0.1560987915
284	0.1556435653
285	0.1548055581
286	0.1538424322
287	0.1526488917
288	0.152271986
289	0.152019671
290	0.1514213085
291	0.1510166952
292	0.1507869448
293	0.1506588629
294	0.1499015944
295	0.1494014604
296	0.1491530112
297	0.1487795966
298	0.1479369572
299	0.1477463756
300	0.1468812227
301	0.146330016
302	0.1458964348
303	0.1450778076
304	0.1442666224
305	0.1440696716
306	0.1437398366
307	0.1435427325
308	0.1431582655
309	0.1424997875
310	0.141923087
311	0.1414517931
312	0.1406348092
313	0.1401654312
314	0.140015517
315	0.1393279689
316	0.1386487569
317	0.1378515788
318	0.1375301906
319	0.1367554069
320	0.1362085853
321	0.1358255489
322	0.1354790415
323	0.1352130771
324	0.1346923624
325	0.1341660193
326	0.1331971458
327	0.1327841112
328	0.1322894267
329	0.1320278474
330	0.1314697947
331	0.1311889717
332	0.1307401146
333	0.1304052217
334	0.1298702359
335	0.1292745045
336	0.1287982038
337	0.1283600501
338	0.1281959755
339	0.1279126321
340	0.1273135117
341	0.1271179063
342	0.1268960663
343	0.1263529062
344	0.1258633307
345	0.1255100114
346	0.1252702134
347	0.1249679838
348	0.1244744148
349	0.123654936
350	0.1233787537
351	0.1225216644
352	0.1222626822
353	0.1218450751
354	0.1214896611
355	0.1212357879
356	0.1208493369
357	0.1207607474
358	0.1206275054
359	0.1202083826
360	0.1200420516
361	0.1195969837
362	0.1192147817
363	0.118978313
364	0.1186765858
365	0.1183967079
366	0.1180778061
367	0.1178287012
368	0.1171385901
369	0.1165808354
370	0.1160564508
371	0.1153510979
372	0.1143674595
373	0.1138535653
374	0.1137098244
375	0.1133515324
376	0.1131974459
377	0.1127754876
378	0.112292426
379	0.1116380351
380	0.1115062577
381	0.1111189127
382	0.1104732496
383	0.1103703805
384	0.1100966675
385	0.1093808923
386	0.1091498733
387	0.1090038078
388	0.1085971168
389	0.1080641406
390	0.1079005684
391	0.1073878578
392	0.1069452507
393	0.1066172464
394	0.1064372914
395	0.1056908369
396	0.1049793277
397	0.1044543726
398	0.1041164739
399	0.1038442084
400	0.1034354227
401	0.1030970642
402	0.1029062952
403	0.1025234546
404	0.1022371479
405	0.101976897
406	0.1018298013
407	0.1015969004
408	0.1013580646
409	0.1012160437
410	0.1009024722
411	0.1005590132
412	0.1004573447
413	0.1003530196
414	0.1001779182
415	0.1000363742
416	0.09948962075
417	0.09930548498
418	0.09914467164
419	0.0987232072
420	0.0983832734
421	0.09812569618
422	0.09765410423
423	0.09751991715
424	0.09740686417
425	0.09683796338
426	0.09653795617
427	0.09646970885
428	0.09602311679
429	0.09581036227
430	0.09557778495
431	0.09546131747
432	0.09536471537
433	0.09499429805
434	0.09481084347
435	0.09445903982
436	0.09398437398
437	0.09357278688
438	0.09337779454
439	0.09308949539
440	0.09289569514
441	0.09259590081
442	0.09235400813
443	0.09192460775
444	0.09162302528
445	0.09146722725
446	0.09112553937
447	0.09087380341
448	0.09067069633
449	0.09029364586
450	0.0900200946
451	0.08971464634
452	0.08941297872
453	0.08913833754
454	0.08857849666
455	0.08821624517
456	0.08815493754
457	0.0879164253
458	0.08777184146
459	0.08742403133
460	0.08716252872
461	0.08692095961
462	0.08654130357
463	0.08630872624
464	0.08610504014
465	0.08577041967
466	0.08562925884
467	0.08545067481
468	0.08533248731
469	0.08518012932
470	0.08511515175
471	0.08486265796
472	0.08459956305
473	0.08411317212
474	0.083946211
475	0.08367455006
476	0.08345527308
477	0.08311550958
478	0.08286758832
479	0.08247229031
480	0.0820589321
481	0.08181797607
482	0.08162064212
483	0.08144528525
484	0.08116877079
485	0.08074104786
486	0.08029946259
487	0.0798400385
488	0.07974874973
489	0.07951887165
490	0.0794335774
491	0.07934298686
492	0.07889211178
493	0.07867266451
494	0.07860428946
495	0.07825880391
496	0.07809833118
497	0.07792914765
498	0.07756303889
499	0.07729330233
