iter	Passed	Remaining
398	118156	29909
399	118535	29633
400	118821	29335
401	119138	29043
402	119435	28747
403	119767	28459
404	120048	28159
405	120359	27866
406	120636	27565
407	120940	27270
408	121267	26981
409	121601	26693
410	121911	26399
411	122211	26103
412	122487	25802
413	122806	25510
414	123086	25210
415	123428	24922
416	123745	24630
417	124006	24326
418	124293	24028
419	124585	23730
420	124863	23430
421	125125	23127
422	125486	22842
423	125780	22545
424	126050	22244
425	126320	21942
426	126610	21645
427	126907	21348
428	127154	21044
429	127480	20752
430	127769	20455
431	128073	20159
432	128370	19863
433	128671	19567
434	128966	19270
435	129285	18977
436	129592	18682
437	129933	18392
438	130245	18097
439	130528	17799
440	130833	17503
441	131207	17217
442	131471	16916
443	131735	16615
444	132024	16317
445	132287	16016
446	132559	15717
447	132951	15431
448	133357	15147
449	133719	14857
450	134050	14564
451	134431	14275
452	134784	13984
453	135045	13683
454	135299	13381
455	135588	13083
456	135876	12784
457	136173	12487
458	136477	12190
459	136786	11894
460	137062	11595
461	137338	11296
462	137723	11006
463	137995	10706
464	138321	10411
465	138585	10111
466	138863	9812
467	139133	9513
468	139427	9215
469	139775	8921
470	140064	8623
471	140395	8328
472	140647	8028
473	140992	7733
474	141293	7436
475	141562	7137
476	141905	6842
477	142200	6544
478	142502	6247
479	142747	5947
480	143014	5649
481	143269	5350
482	143584	5053
483	143847	4755
484	144190	4459
485	144431	4160
486	144680	3862
487	144976	3564
488	145253	3267
489	145569	2970
490	145829	2673
491	146060	2374
492	146337	2077
493	146609	1780
494	146849	1483
495	147189	1187
496	147570	890
497	147809	593
498	148148	296
499	148484	0
